dataset_set,mass_GeV,mass_MeV,sigma_mass_res_GeV,sigma_mass_res_min_GeV,confidence_level,cls_alpha,cls_statistic,cls_calibration,combined_mode,eps2_obs_95_ee_channel,minimal_visible_factor,N_eff_BR,BR_ee_minimal,dimuon_correction_applied,eps2_obs_95_minimal_visible,eps2_obs_90_ee_channel_reference,eps2_obs_90_minimal_visible_reference,eps2_95_over_90,p0_analytic,Z_analytic,p0_source,gp_state_sha256_by_dataset,profile_cache_limit_calls,profile_cache_asimov_fixed_nodes
2015+2016,0.049000000000000002,49,0.0023013924385470001,0.0020872780708900002,0.94999999999999996,0.050000000000000003,tilde_q_mu,asymptotic,count_scale,7.5561702038154481e-06,1,1,1,False,7.5561702038154481e-06,6.5098513034046651e-06,6.5098513034046651e-06,1.160728540736953,0.24156443928924931,0.70127906086317671,accepted fixed-reviewed v4.1/v4.2 shared-epsilon2 observed scan,"{""2015"": ""689dcdfca223b39c0a01cf1eb7d48ed3ca6c1a80b50613465e80876339ac5874"", ""2016"": ""67aa76c74e5e83845631a436bef6db272c230d545d85ceb5466830ef5cd39da8""}",1,22
2015+2016+2021,0.050000000000000003,50,0.0022282419633566,0.0019941874999999001,0.94999999999999996,0.050000000000000003,tilde_q_mu,asymptotic,count_scale,9.8073401099816644e-06,1,1,1,False,9.8073401099816644e-06,8.8084759846554863e-06,8.8084759846554863e-06,1.1133980642129486,0.030015763366390801,1.8805619873210484,accepted fixed-reviewed v4.1/v4.2 shared-epsilon2 observed scan,"{""2015"": ""5481710629bd0c58e549286106e27286ad76a030bb4a86cb0922510d626d8113"", ""2016"": ""ce64e3c3e73a3dff92f30884683d78afc1210a60abdab0061a52b5ac6a96cb50"", ""2021"": ""d71c4301421145c19b759eb343d0aab57512175a086482ce8495d45dc1f04052""}",1,23
2015+2016+2021,0.050999999999999997,51,0.0022599838186085001,0.0020014858749999001,0.94999999999999996,0.050000000000000003,tilde_q_mu,asymptotic,count_scale,1.0768354476742012e-05,1,1,1,False,1.0768354476742012e-05,9.7998719933794203e-06,9.7998719933794203e-06,1.0988260340560445,0.0086216185747851008,2.3814797848747125,accepted fixed-reviewed v4.1/v4.2 shared-epsilon2 observed scan,"{""2015"": ""139c6b48ab3f1458c5b09bfea36fb7779dae668837fa9f5ccf56cd25f1a46dcc"", ""2016"": ""19e8aeddf94ddd187bfe0364fe342b227b10904e459c3dc7fc3b82f560716084"", ""2021"": ""3be0af678fa034a176d212a08ba84d3088549d6081f3a5c2cbdebdd8a37f123f""}",1,23
2015+2016+2021,0.051999999999999998,52,0.0022918433080137001,0.0020089560000000001,0.94999999999999996,0.050000000000000003,tilde_q_mu,asymptotic,count_scale,9.1018219840240167e-06,1,1,1,False,9.1018219840240167e-06,8.1688789870086897e-06,8.1688789870086897e-06,1.1142069797458165,0.031157141977240801,1.864052842683549,accepted fixed-reviewed v4.1/v4.2 shared-epsilon2 observed scan,"{""2015"": ""1cf46d16185948cf0e078e88da741971e0ff2b9a633adbc2d8ad70d6635aa099"", ""2016"": ""c49b482eb7c22f2e37552899d4389c127203fad91cf5457a25fd92e9f2b046f0"", ""2021"": ""5d166fe4c8c8779d4a1b6b6916a26b96ba9bca3d57043be7fe4831e843338c0d""}",1,23
2015+2016+2021,0.052999999999999999,53,0.0023238228342523002,0.0020165978750000002,0.94999999999999996,0.050000000000000003,tilde_q_mu,asymptotic,count_scale,7.2865601081351547e-06,1,1,1,False,7.2865601081351547e-06,6.4091330800327293e-06,6.4091330800327293e-06,1.1369026071304396,0.1049034973116522,1.2540963287315596,accepted fixed-reviewed v4.1/v4.2 shared-epsilon2 observed scan,"{""2015"": ""a55ac95fc6aaaf58ea58fdd4ee5242757e1baca601187fadd0cdb705a5994950"", ""2016"": ""d87adb9d883fe82433f4053072425e3269809f7cf9962b986df8a057be3bd76f"", ""2021"": ""04a6b97c523de07d5c4fa0db96f3a1541c7331f509fb9b1a18afb05cac4ee6a0""}",1,22
2015+2016+2021,0.053999999999999999,54,0.0023559247111242,0.0020244115,0.94999999999999996,0.050000000000000003,tilde_q_mu,asymptotic,count_scale,5.3243083460144169e-06,1,1,1,False,5.3243083460144169e-06,4.5334450482882263e-06,4.5334450482882263e-06,1.1744508402114218,0.3428113610235296,0.4048024577641039,accepted fixed-reviewed v4.1/v4.2 shared-epsilon2 observed scan,"{""2015"": ""eb55a79c8e7cc6725a57d90759bb780c82b65e9c67b6aa6b9f4d07cde1e14f6f"", ""2016"": ""8ea1a57b906bf8c52963996a56b529f725cadc79f65b1341b818e8ab72fde502"", ""2021"": ""88955434ab686fe95a835f5a57037e04b72999a939c8365dfbf68c447ad032a4""}",1,22
2015+2016+2021,0.055,55,0.0023881511635494,0.0020323968750000001,0.94999999999999996,0.050000000000000003,tilde_q_mu,asymptotic,count_scale,3.6692205680167014e-06,1,1,1,False,3.6692205680167014e-06,3.0339045073039063e-06,3.0339045073039063e-06,1.2094054243247661,0.49986225840519077,0.00034526698300120002,accepted fixed-reviewed v4.1/v4.2 shared-epsilon2 observed scan,"{""2015"": ""a1a31cb448f2fc35b2de7da438eef9ce4b74de7ee8345b94e53157e4cc625f85"", ""2016"": ""24ff4c687280c76e307e89e2a56bed76e17cd5e910d367e878c65f722bf1d38b"", ""2021"": ""3ac594c5fab374c0fa25df83c4ac2db978beea5b627b1a5fe57f17f6c08c42c9""}",1,22
2015+2016+2021,0.056000000000000001,56,0.002420504327568,0.002040554,0.94999999999999996,0.050000000000000003,tilde_q_mu,asymptotic,count_scale,3.1043697290264436e-06,1,1,1,False,3.1043697290264436e-06,2.5575514240834826e-06,2.5575514240834826e-06,1.2138053998812233,0.5,0,accepted fixed-reviewed v4.1/v4.2 shared-epsilon2 observed scan,"{""2015"": ""fda6af1aabde683857b8b7478fa748df11a76065b404fb7074370cb59c977483"", ""2016"": ""6d1d3a72e8b4670997ab444b804c93ac6753e38abe363fe0239bcd1fa3a1abeb"", ""2021"": ""d3101ffa5b4cc46e588c202d2ad32f10b88abad5d23b10117ea8df86aeef4dff""}",1,22
2015+2016+2021,0.057000000000000002,57,0.0024529862503399002,0.0020488828750000001,0.94999999999999996,0.050000000000000003,tilde_q_mu,asymptotic,count_scale,2.6128443984031776e-06,1,1,1,False,2.6128443984031776e-06,2.1524290091894478e-06,2.1524290091894478e-06,1.2139050288060886,0.5,0,accepted fixed-reviewed v4.1/v4.2 shared-epsilon2 observed scan,"{""2015"": ""36c3c4cad84a81d6a617c2126655d6569a318a45b8a4599b39c4bc222c02def9"", ""2016"": ""9106b0a7b3841e321cf81ea07b0cc140ab582460d4326ef50e0d97993ad8cac0"", ""2021"": ""962655a2d0d4c813f6d9a20279c0099354f246060ebc2df63d37f7b611b2ab80""}",1,22
2015+2016+2021,0.058000000000000003,58,0.0024855988901450001,0.0020573835,0.94999999999999996,0.050000000000000003,tilde_q_mu,asymptotic,count_scale,2.4858426924099812e-06,1,1,1,False,2.4858426924099812e-06,2.0488407757413198e-06,2.0488407757413198e-06,1.2132922781715645,0.5,0,accepted fixed-reviewed v4.1/v4.2 shared-epsilon2 observed scan,"{""2015"": ""9e91507c29685d60168d21a6e0a0a2550eb12823de4e20bb67bd3313bd740c5b"", ""2016"": ""df8190bc2cb10d94ada0ba9eb9fe0c5fcfb21846c3fd7adb3fcc763d4a246e50"", ""2021"": ""5f877536cf2aef1c2ba0c9f70fb88ae900587f5af52b0a94c7cdceaf41ad142d""}",1,22
2015+2016+2021,0.058999999999999997,59,0.0025183441163837,0.0020660558750000002,0.94999999999999996,0.050000000000000003,tilde_q_mu,asymptotic,count_scale,2.4241131616216396e-06,1,1,1,False,2.4241131616216396e-06,1.997579847592649e-06,1.997579847592649e-06,1.2135250385825729,0.5,0,accepted fixed-reviewed v4.1/v4.2 shared-epsilon2 observed scan,"{""2015"": ""7f2810d00906e06fc6e9a7bcfb9ab80e8c7aad1b1a37f2d590e6c01f3727b8d3"", ""2016"": ""ff95117598ab10d290c3f38174b6af47a9d3da3e2abc4d9d42072f4e29a5b42c"", ""2021"": ""e37ad2480aafa817403ad3950f1889d98367d65f2a31ecbda9113af00659fc54""}",1,22
2015+2016+2021,0.059999999999999998,60,0.0025512237095756001,0.0020749000000000002,0.94999999999999996,0.050000000000000003,tilde_q_mu,asymptotic,count_scale,2.5020763914700573e-06,1,1,1,False,2.5020763914700573e-06,2.0616705652776222e-06,2.0616705652776222e-06,1.2136160032595364,0.5,0,accepted fixed-reviewed v4.1/v4.2 shared-epsilon2 observed scan,"{""2015"": ""2fc68b31b25316e135cce370bea882f9c3c2e32bdf4e07652211cc4d2600dbba"", ""2016"": ""22994e1d90ec0ec60d9780f2767cf1d1ff3697c5e5855fc2869aa98d33e29ab8"", ""2021"": ""34501b85e44609ca5b59c1a0dca6ed374191033ceabc7207964400d067ae4459""}",1,22
