mass_MeV,observed_counts,smooth_truth_counts,truth_gp_variance,signal_m66_counts,signal_m78_counts,signal_m80_counts
200.0625,78299.0,77619.49403049024,2000.98047890481,0.0,0.0,0.0
200.6875,76184.0,76302.41002260408,1962.8170430514315,0.0,0.0,0.0
201.3125,74552.0,75006.5082692608,1925.088069133372,0.0,0.0,0.0
201.9375,73643.0,73731.44367306876,1887.7735415177376,0.0,0.0,0.0
202.5625,72525.0,72476.87794484441,1850.8633200678485,0.0,0.0,0.0
203.1875,70915.0,71242.47944283672,1814.3564978104819,0.0,0.0,0.0
203.8125,70370.0,70027.92309088609,1778.260699829207,0.0,0.0,0.0
204.4375,68520.0,68832.8902182055,1742.5912997350838,0.0,0.0,0.0
205.0625,67784.0,67657.06842158135,1707.3702177057003,0.0,0.0,0.0
205.6875,66485.0,66500.15144866529,1672.625961577549,0.0,0.0,0.0
206.3125,65116.0,65361.83907246196,1638.3905711039508,0.0,0.0,0.0
206.9375,64553.0,64241.83690681955,1604.700045873409,0.0,0.0,0.0
207.5625,63111.0,63139.856361261285,1571.5917665148356,0.0,0.0,0.0
208.1875,62152.0,62055.61442374245,1539.1042737171144,0.0,0.0,0.0
208.8125,61299.0,60988.83355706108,1507.2745581697086,0.0,0.0,0.0
209.4375,60343.0,59939.24161323233,1476.1382192235335,0.0,0.0,0.0
210.06249999999991,59115.0,58906.57161543058,1445.7274052967095,0.0,0.0,0.0
210.6875,57519.0,57890.5616956122,1416.0704763013607,0.0,0.0,0.0
211.3125,56799.0,56890.95493391397,1387.1903796729496,0.0,0.0,0.0
211.9375,55808.0,55907.4992629325,1359.1044995818352,0.0,0.0,0.0
212.5625,55096.0,54939.947265643634,1331.8234852104229,0.0,0.0,0.0
213.1875,53965.0,53988.05616989908,1305.3515166607199,0.0,0.0,0.0
213.8125,53182.0,53051.58759957923,1279.6860370128409,0.0,0.0,0.0
214.4375,52369.0,52130.30755910581,1254.8169779882082,0.0,0.0,0.0
215.0625,51259.0,51223.98623427186,1230.7276392683361,0.0,0.0,0.0
215.6875,50630.0,50332.397918511255,1207.3946718890345,0.0,0.0,0.0
216.3125,49234.0,49455.32090843624,1184.7889309760112,0.0,0.0,0.0
216.9375,48778.0,48592.537344873024,1162.87541751005,0.0,0.0,0.0
217.5625,47294.0,47743.83313489526,1141.6143551754637,0.0,0.0,0.0
218.1875,46826.0,46908.997862323056,1120.9620709907695,0.0,0.0,0.0
218.8125,46240.0,46087.82464130064,1100.8718762309122,0.0,0.0,0.0
219.4375,45081.0,45280.11003349823,1081.2947274518774,0.0,0.0,0.0
220.0625,44353.0,44485.6539622117,1062.180544567196,0.0,0.0,0.0
220.6875,43762.0,43704.25958642792,1043.4789553279543,0.0,0.0,0.0
221.3125,42840.0,42935.733240639485,1025.1404200043585,0.0,0.0,0.0
221.9375,42029.0,42179.88432604027,1007.1170190691255,0.0,0.0,0.0
222.5625,41355.0,41436.52520323066,989.3633922577994,0.0,0.0,0.0
223.1875,40620.0,40705.47116014486,971.8375319331176,0.0,0.0,0.0
223.8125,39880.0,39986.540273543724,954.5016652013891,0.0,0.0,0.0
224.4375,39512.0,39279.55335152468,937.3223621289807,0.0,0.0,0.0
225.0625,38411.0,38584.33387978998,920.271694946501,0.0,0.0,0.0
225.68749999999991,37921.0,37900.70791728652,903.3271468124431,0.0,0.0,0.0
226.3125,37229.0,37228.50403000463,886.4719560353669,0.0,0.0,0.0
226.9375,36352.0,36567.553232077524,869.6952744417706,0.0,0.0,0.0
227.5625,35924.0,35917.68891888803,852.9922121654619,0.0,0.0,0.0
228.1875,35282.0,35278.74680108487,836.3637174536051,0.0,0.0,0.0
228.8125,34869.0,34650.56484420283,819.8161450334744,0.0,0.0,0.0
229.4375,34122.0,34032.9832164419,803.3610704370053,0.0,0.0,0.0
230.0625,33577.0,33425.844224856424,787.0148242673265,0.0,0.0,0.0
230.6875,32703.0,32828.992271698764,770.7978455759054,0.0,0.0,0.0
231.3125,32143.0,32242.273803351196,754.7341388315444,0.0,0.0,0.0
231.9375,31664.0,31665.537255232026,738.8506898304182,0.0,0.0,0.0
232.5625,31281.0,31098.63302054237,723.176561339057,0.0,0.0,0.0
233.1875,30649.0,30541.41339434242,707.7421158231402,0.0,0.0,0.0
233.8125,29839.0,29993.732534557403,692.5785935856653,0.0,0.0,0.0
234.4375,29283.0,29455.44643589354,677.7169267569808,0.0,0.0,0.0
235.0625,28969.0,28926.412878177962,663.1872597906937,0.0,0.0,0.0
235.6875,28487.0,28406.49140158761,649.0181555076416,0.0,0.0,0.0
236.3125,27871.0,27895.54326464358,635.2359443885716,0.0,0.0,0.0
236.9375,27429.0,27393.431426279025,621.8641044811832,0.0,0.0,0.0
237.5625,26945.0,26900.020505691184,608.9226426747911,0.0,0.0,0.0
238.1875,26665.0,26415.176757801273,596.4279145333372,0.0,0.0,0.0
238.8125,25803.0,25938.768060636765,584.391808759085,0.0,0.0,0.0
239.4375,25234.0,25470.66386357788,572.8218709705898,0.0,0.0,0.0
240.0625,25039.0,25010.735190198935,561.720856006617,0.0,0.0,0.0
240.6875,24441.0,24558.85460261451,551.0867525952673,0.0,0.0,0.0
