mass_MeV,dataset_set,eps2_current,density_current_events_per_GeV,density_2021_full_equivalent_events_per_GeV,density_2015,density_2016,density_2021,projection_scale,eps2_observed_equivalent,babar_eps2_90_logy,current_over_babar,proxy_over_babar
108,2016+2021,1.4386729397256801e-06,1608934141.6275525,13242698100.229904,0,316293701.78284681,1292640439.8447058,0.34856268680161939,5.0146770529956733e-07,7.2704471631620321e-07,1.9787956743777209,0.68973433689252084
109,2016+2021,1.54127354051186e-06,1569067110.0540285,12982995745.943094,0,300852817.17746574,1268214292.8765628,0.34764285038999937,5.3581272685422915e-07,7.1684861026546595e-07,2.150068394414673,0.74745590516776628
110,2016+2021,1.6220233574755432e-06,1529796990.4467783,12722624746.443375,0,286149462.00271201,1243647528.4440663,0.34675963901707896,5.6245223391548979e-07,6.0189667239999967e-07,2.6948535053498395,0.9344664287190203
111,2016+2021,1.660552066759613e-06,1491319546.123055,12464987426.211447,0,272023115.00212264,1219296431.1209323,0.34589113595897381,5.7437024069050422e-07,5.0666989154965365e-07,3.2773845346933919,1.1336182596794702
112,2016+2021,1.6252212005335621e-06,1453553525.9936705,12209302153.517357,0,258470345.15770537,1195083180.8359652,0.34504051521543944,5.6076716037115531e-07,5.1178577062398256e-07,3.1755888768694174,1.0957068221874426
113,2016+2021,1.6931800447671812e-06,1416602527.4127457,11956272556.32489,0,245528079.75584075,1171074447.6569049,0.34421207614334454,5.8281301849379253e-07,5.826462505877263e-07,2.9060172326849067,1.0002862249708087
114,2016+2021,1.8847176070371661e-06,1380071400.25139,11702492536.006626,0,233135718.50080818,1146935681.7505817,0.34340893569345227,6.4722886751534345e-07,6.0133375329944161e-07,3.1342288649123069,1.0763221987192324
115,2016+2021,1.9268947580164366e-06,1344738897.7239141,11455088897.232426,0,221366675.55630147,1123372222.1676126,0.34262555477948081,6.6020338546705507e-07,5.60695417854119e-07,3.4366158464269341,1.1774724109459833
116,2016+2021,2.128761145621545e-06,1309848121.4236133,11207993641.746296,0,210054174.72109327,1099793946.7025201,0.34185861817333718,7.2773534366327161e-07,5.9620561744263109e-07,3.5705150762461266,1.2206113501325686
117,2016+2021,2.4413350497526076e-06,1275727316.3471603,10963409535.717308,0,199318180.86158848,1076409135.4855719,0.34111915622114519,8.3278615222471705e-07,5.3078602427071415e-07,4.5994712334540777,1.568967746219285
118,2016+2021,2.7970337914065342e-06,1242226718.6893137,10720837083.468658,0,189047789.26938635,1053178929.4199272,0.34039728292233279,9.5210270283673516e-07,4.2724931127175989e-07,6.5466080754602523,2.2284476012440719
119,2016+2021,3.3392976830380404e-06,1209958269.3576941,10485602387.537207,0,179331145.11552632,1030627124.2421679,0.33969449070362923,1.1343410257474163e-06,3.8709557201985006e-07,8.6265458052483304,2.9303900838453609
120,2016+2021,3.6210627263916079e-06,1178028940.5929353,10250264568.126431,0,170002759.75588045,1008026180.837055,0.33900838678090461,1.2275706333064832e-06,4.2818506628445168e-07,8.4567702414592514,2.866916036933862
121,2016+2021,3.9876946860771642e-06,1146602841.9095724,10015564859.439449,0,161162617.73958611,985440224.16998625,0.33835202736227088,1.3492445815359628e-06,5.4509061321325486e-07,7.3156546625708732,2.4752665865631047
122,2016+2021,3.923120893574014e-06,1116099950.4104757,9785913903.7982979,0,152787288.92293981,963312661.48753583,0.33771538756606029,1.3248982930418568e-06,7.7983226038853841e-07,5.0307240323956135,1.6989529163383781
123,2016+2021,3.9267122780214849e-06,1086342941.4798889,9560853966.6884899,0,144730605.34559995,941612336.13428891,0.33708166547199003,1.3236227145047941e-06,1.0210224706103785e-06,3.845862741565377,1.2963698181035308
124,2016+2021,3.677936563085066e-06,1057149428.4949059,9337483478.5132256,0,137112311.82620376,920037116.66870213,0.33647536001432171,1.2375350291738846e-06,1.1779499958088557e-06,3.1223197726314011,1.0505836695759858
125,2016+2021,3.4558853666899929e-06,1028416901.2516445,9115196017.7415314,0,129885888.30832364,898531012.94332087,0.33589349748418179,1.1608094227219059e-06,1.1112325197227804e-06,3.109957012014132,1.0446143377908823
126,2016+2021,3.3733236832248373e-06,1000706609.7711816,8899650966.1316032,0,123046125.73113462,877660484.04004693,0.33532574407820021,1.1311622740939834e-06,9.7072396623865237e-07,3.4750596467662631,1.1652769617680248
127,2016+2021,3.0191746372759202e-06,973642064.07354617,8687779687.8676033,0,116515661.42976207,857126402.64378405,0.33476902280915799,1.0107261430110538e-06,8.257888200438962e-07,3.6561098479335561,1.2239523210756558
128,2016+2021,2.9138493950749341e-06,947212428.21980834,8479050629.7828751,0,110341516.9350232,836870911.28478515,0.33423357913027052,9.7390631236246883e-07,7.4386970561737965e-07,3.9171502389071824,1.3092431443409418
129,2016+2021,2.9843553100196118e-06,921137936.64315653,8271090391.5817051,0,104476552.76109548,816661383.882061,0.33371901334341475,9.9593610952592559e-07,6.7691359049680408e-07,4.4087684926362867,1.4712898714221156
130,2016+2021,2.8146456728469141e-06,895680042.11608386,8066687617.2983589,0,98901422.651386663,796778619.46469724,0.33321828819524751,9.3789141298220938e-07,6.9572278339818079e-07,4.0456425174105837,1.3480820743014663
131,2016+2021,2.436801282789529e-06,871368623.05749941,7870822134.0919771,0,93651566.275890842,777717056.78160858,0.33272919523688177,8.1079492977476119e-07,8.8869552706272844e-07,2.7419979155780401,0.9123427597914886
