mass_MeV,width_scale,sigma_template_MeV,eps2_90,epsilon_90,A90_full_template_events,A90_fitted_window_events,limit_ratio_to_nominal,template_fraction_in_fixed_window,signal_yield_per_eps2_total,signal_yield_per_eps2_fitted_window,nominal_saved_eps2_90,cls_at_limit,limit_optimizer_ok,limit_convergence_reason,limit_numerical_method,limit_initial_error
64,0.9,1.9007946000000004,6.51549584118883e-06,0.0025525469322206064,19276.982663809238,19004.810333223537,0.8315029562880455,0.9858809682338575,2958636323.87676,2916863243.635481,7.83580598492397e-06,0.09999987220394081,True,bracket_width,tighter_optimizer_retry,"profile likelihood nesting failed: checks={'unbounded_le_bounded': True, 'unbounded_le_null': True, 'bounded_le_null': True, 'denominator_le_fixed': False}, tolerance=1.01728e-06, nll={'nll_unbounded': -176987834.42956367, 'nll_bounded': -176987834.42956367, 'nll_null': -176987832.70141268, 'nll_fixed': -176987834.42957792, 'denom_nll': -176987834.42956367}"
64,1.0,2.111994,7.835805984713495e-06,0.002799250968511665,23183.30021322425,22556.187679480896,1.0,0.9729498161186889,2958636323.87676,2878604667.2779675,7.83580598492397e-06,0.09999981736689367,True,bracket_width,production,
64,1.1,2.3231934000000005,9.133537064858237e-06,0.0030221742280778976,27022.814525564307,25825.486311847177,1.1656155196640172,0.9556919501266449,2958636323.87676,2827544918.0813084,7.83580598492397e-06,0.09999984692902301,True,bracket_width,production,
64,1.2,2.5343928,1.0505659948580168e-05,0.003241243580569064,31082.42713016654,29058.71483242,1.3407248685170567,0.9348920761795189,2958636323.87676,2766005655.4892836,7.83580598492397e-06,0.10000004608258573,True,bracket_width,production,
65,0.8,1.6973575000000003,6.426098254950551e-06,0.0025349750008531744,20026.78802060942,19910.951535113352,0.7631133709182897,0.9942159229239926,3116477094.81895,3098451151.0969057,8.420895898381368e-06,0.09999983863192125,True,bracket_width,production,
65,0.9,1.9095271875000002,7.4187753931450425e-06,0.0027237429014400467,23120.44358434298,22793.335039222206,0.8809959751217867,0.9858519779723307,3116477094.81895,3072385108.2327237,8.420895898381368e-06,0.0999998431029864,True,bracket_width,production,
65,1.0,2.121696875,8.420895898099295e-06,0.0029018779950403316,26243.529184281306,25529.199549151606,1.0,0.9727807327241051,3116477094.81895,3031648871.815869,8.420895898381368e-06,0.09999985197145914,True,bracket_width,production,
65,1.1,2.3338665625000004,9.39700148386144e-06,0.003065452900284302,29285.539884433863,27977.358395967105,1.115914695725245,0.9553301221821731,3116477094.81895,2977264443.7713313,8.420895898381368e-06,0.1000001939974071,True,bracket_width,production,
65,1.2,2.5460362500000002,1.0273678392447242e-05,0.003205257929160654,32017.6833895982,29914.48638331584,1.2200220162757436,0.9343113934668477,3116477094.81895,2911760057.1678066,8.420895898381368e-06,0.10000021949340691,True,bracket_width,production,
66,0.8,1.7052572000000001,6.286176933040588e-06,0.002507224946637335,20538.564673626784,20469.417785550202,0.7762267725767042,0.9966333144903075,3267258445.379519,3256258613.7150393,8.09837329627897e-06,0.09999983346396402,True,bracket_width,production,
