method,threshold,gp_p,gp_low,gp_high,direct_p,direct_low,direct_high
fixed,3.9000000000000004,0.00294,0.0027074463077872285,0.003187139990973776,0.003,0.0006190999316495711,0.008742023238478303
fixed,4.0,0.001985,0.001794684528011404,0.00218997281910634,0.002,0.00024230111687723182,0.007205838911457497
fixed,4.1000000000000005,0.0013,0.0011468554120666458,0.0014678788682530892,0.002,0.00024230111687723182,0.007205838911457497
fixed,4.2,0.000835,0.0007132002660736132,0.0009716212414258566,0.002,0.00024230111687723182,0.007205838911457497
fixed,4.3,0.00059,0.0004883821968635684,0.0007065164419790796,0.001,2.531748749129404e-05,0.005558924279826672
fixed,4.4,0.000335,0.0002596295356200028,0.00042541891924524383,0.001,2.531748749129404e-05,0.005558924279826672
fixed,4.5,0.000215,0.0001556007988661967,0.00028959278603224523,0.001,2.531748749129404e-05,0.005558924279826672
fixed,4.6000000000000005,0.00014,9.303093563823561e-05,0.00020233267283567474,0.001,2.531748749129404e-05,0.005558924279826672
fixed,4.7,9e-05,5.3340548306151805e-05,0.00014223508613182994,0.001,2.531748749129404e-05,0.005558924279826672
fixed,4.800000000000001,6e-05,3.1003247542343734e-05,0.00010480557713051476,0.001,2.531748749129404e-05,0.005558924279826672
fixed,4.9,3.5e-05,1.4071927328447341e-05,7.211203862894598e-05,0.0,0.0,0.003682083896865671
fixed,5.0,2.5e-05,8.117480179060692e-06,5.8340687798037695e-05,0.0,0.0,0.003682083896865671
fixed,5.1000000000000005,1e-05,1.2110486870274128e-06,3.612296650749235e-05,0.0,0.0,0.003682083896865671
fixed,5.2,1e-05,1.2110486870274128e-06,3.612296650749235e-05,0.0,0.0,0.003682083896865671
fixed,5.300000000000001,1e-05,1.2110486870274128e-06,3.612296650749235e-05,0.0,0.0,0.003682083896865671
fixed,5.4,5e-06,1.265890319090572e-07,2.785789856219694e-05,0.0,0.0,0.003682083896865671
fixed,5.5,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671
fixed,5.6000000000000005,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671
fixed,5.7,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671
fixed,5.800000000000001,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671
fixed,5.9,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671
fixed,6.0,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671
