mass_MeV,eps2_observed,expected_median,p0_local_asymptotic,selected_scope_key
164,4.303705886355318e-06,3.2006142039315121e-06,0.22584886091156861,pair_2016_2021
165,3.7773938342436222e-06,3.2894588050831045e-06,0.36022147824353012,pair_2016_2021
166,3.3286769745908335e-06,3.4089018270416885e-06,0.49800632059926347,pair_2016_2021
167,2.882076248620888e-06,3.3034316532985858e-06,0.5,pair_2016_2021
168,2.5656444283129036e-06,3.4128602822118096e-06,0.5,pair_2016_2021
169,2.2661171864717229e-06,3.3220609539569156e-06,0.5,pair_2016_2021
170,2.1182111964352926e-06,3.6312316092629079e-06,0.5,pair_2016_2021
171,2.0113206240400367e-06,3.594552778474603e-06,0.5,pair_2016_2021
172,1.9122957905475226e-06,3.7004598713655419e-06,0.5,pair_2016_2021
173,1.9143938375454056e-06,3.5866386223682601e-06,0.5,pair_2016_2021
174,2.0375408332485607e-06,3.93746107869194e-06,0.5,pair_2016_2021
175,2.3167229612100777e-06,3.8007791456150583e-06,0.5,pair_2016_2021
176,2.5818807981599391e-06,3.8241182914695145e-06,0.5,pair_2016_2021
177,3.1271685038881895e-06,3.7272289559194121e-06,0.5,pair_2016_2021
178,3.9047307869496007e-06,3.8087646984401263e-06,0.49407052654360351,pair_2016_2021
179,4.8790662384682611e-06,4.107168373683469e-06,0.27908548826292712,pair_2016_2021
180,5.6402212548599452e-06,3.9896867274505952e-06,0.16914549067550011,pair_2016_2021
181,7.0945775109059235e-06,4.2667237860374319e-06,0.058781823381841701,individual_2021_10pct
182,7.1694241069041233e-06,4.0644232389652222e-06,0.058178852308895003,individual_2021_10pct
183,7.1864188681788101e-06,4.0826737987573024e-06,0.0610962888892886,individual_2021_10pct
184,6.7045278396222065e-06,4.1586235786404366e-06,0.095167505589308102,individual_2021_10pct
185,6.158231036899832e-06,4.1783653745248314e-06,0.1542431649293235,individual_2021_10pct
186,5.5382234339401307e-06,4.3386072293569e-06,0.2411294207269703,individual_2021_10pct
187,4.7591326261566946e-06,4.4350471192931795e-06,0.40234393115159123,individual_2021_10pct
188,4.1332860097431463e-06,4.5262118393205073e-06,0.5,individual_2021_10pct
189,3.6311665190690296e-06,4.5760385415632352e-06,0.5,individual_2021_10pct
190,3.289509020784863e-06,4.2997162176306588e-06,0.5,individual_2021_10pct
191,3.146690384086126e-06,4.5671394786441941e-06,0.5,individual_2021_10pct
192,3.0346978065075724e-06,4.698115708472822e-06,0.5,individual_2021_10pct
193,3.0720036234424384e-06,4.5838410160956594e-06,0.5,individual_2021_10pct
194,3.2732961316595478e-06,4.7305173483113749e-06,0.5,individual_2021_10pct
195,3.512925121479368e-06,4.8544734757065723e-06,0.49996556460065622,individual_2021_10pct
196,3.7945487853541632e-06,4.7914678311564805e-06,0.5,individual_2021_10pct
197,4.1875557177634991e-06,4.917720178678883e-06,0.5,individual_2021_10pct
198,4.6780750438185798e-06,5.0977113213892881e-06,0.5,individual_2021_10pct
199,5.2923191144621223e-06,5.1247205411579336e-06,0.45477661713072393,individual_2021_10pct
200,5.5765465216868967e-06,5.2741090928822386e-06,0.41279028649328797,individual_2021_10pct
201,5.908629402981996e-06,5.2340133291940914e-06,0.36762407948742321,individual_2021_10pct
202,6.26832555534087e-06,5.3909169109176671e-06,0.3244954857572257,individual_2021_10pct
