window,mass_GeV,draw_count,summary_scope,quantile_method,eps2_up_mean,eps2_up_median,eps2_up_q16,eps2_up_q84,eps2_up_min,eps2_up_max,p0_analytic_mean,p0_analytic_median,p0_analytic_q16,p0_analytic_q84,p0_analytic_min,p0_analytic_max,Z_analytic_mean,Z_analytic_median,Z_analytic_q16,Z_analytic_q84,Z_analytic_min,Z_analytic_max,A_hat_mean,A_hat_median,A_hat_q16,A_hat_q84,A_hat_min,A_hat_max,sigma_A_mean,sigma_A_median,sigma_A_q16,sigma_A_q84,sigma_A_min,sigma_A_max
window_3p0,0.175,10,pointwise descriptive statistics across ten conditional draws,numpy linear,2.581100495094133e-06,2.588577222073502e-06,2.551154207366958e-06,2.602124059799931e-06,2.5442889198036433e-06,2.610195922284771e-06,0.499963909152256,0.5,0.49992286470690683,0.5,0.4997768331173693,0.5,9.046634301393e-05,0.0,0.0,0.0001933495104806719,0.0,0.0005593964471381,-3133.9438454423157,-3098.4239401664518,-3261.059841631113,-3037.3242599556115,-3316.484552721885,-3023.933824838412,2810.8285601646962,2810.478731780735,2806.2459695705506,2814.8851391916874,2802.8627140063754,2819.3126590341003
window_3p0,0.176,10,pointwise descriptive statistics across ten conditional draws,numpy linear,2.7764019063290233e-06,2.7860556926815724e-06,2.7383028780406603e-06,2.803290556303525e-06,2.729696231846172e-06,2.8147479644406374e-06,0.49999311292015697,0.5,0.5,0.5,0.4999311292015692,0.5,1.726334915006e-05,0.0,0.0,0.0,0.0,0.0001726334915006,-2326.3327474506095,-2288.9547305549668,-2463.4795955988484,-2227.268539172687,-2511.840899563395,-2200.6514653932854,2791.2155137662085,2791.0013568987542,2786.5201369694937,2795.3013556482383,2783.261218898495,2799.6838042840495
window_3p0,0.177,10,pointwise descriptive statistics across ten conditional draws,numpy linear,3.177186764692078e-06,3.1675290861524308e-06,3.0993279464177665e-06,3.2029434501594376e-06,3.089225280318448e-06,3.409722257400067e-06,0.49999026019825654,0.5,0.49997272855511843,0.5,0.4999513009912829,0.5,2.44140625e-05,0.0,0.0,6.835937499999995e-05,0.0,0.0001220703125,-1000.3156670210922,-1015.0464983306686,-1194.4241768374627,-930.8268110944421,-1232.2433041564748,-456.1142518779349,2766.2566586902994,2764.659646397232,2759.0365892511013,2769.8051581975483,2755.846256907752,2791.2363765824452
window_3p0,0.178,10,pointwise descriptive statistics across ten conditional draws,numpy linear,3.828432001809331e-06,3.848635491641473e-06,3.7451024234194684e-06,3.885438236870768e-06,3.733218408844508e-06,3.920608273865844e-06,0.4447567347232469,0.4468174142281655,0.42509415909732723,0.462097031456354,0.4185070148875122,0.4642314341876642,0.13903629242001828,0.1337064355972482,0.09515323800674953,0.1888783357254612,0.0897789597131204,0.2057143741230926,416.7660197431642,453.939599938604,272.4388776931047,517.4556064032299,245.45883540581897,564.4086492634445,2735.323483925364,2734.999348801254,2731.1120764801276,2739.0601137773474,2727.981174520139,2743.090854125503
window_3p0,0.179,10,pointwise descriptive statistics across ten conditional draws,numpy linear,4.569820361853325e-06,4.59319501814413e-06,4.4752897977481295e-06,4.636824355937141e-06,4.458022674116568e-06,4.676616584267156e-06,0.27538474483527137,0.27081455568165974,0.2633078584836428,0.2928979667356372,0.2570447057111608,0.2954605501297388,0.5970598601088388,0.610351549241287,0.5449546775797779,0.6331820598071537,0.5375017155021082,0.6524833484147285,1618.32223640033,1654.9310355630525,1474.6884395025163,1718.3812727512534,1452.8860140737952,1773.343933556702,2709.645713720573,2709.3655023902284,2705.4807632740467,2713.3129287324455,2702.4464652392153,2717.273320709758
window_3p0,0.18,10,pointwise descriptive statistics across ten conditional draws,numpy linear,6.444255483836769e-06,5.378037688021928e-06,5.261793629895987e-06,5.462041403715078e-06,5.234790023697089e-06,1.626701160262693e-05,0.16135549414983985,0.159769993561876,0.15330044859223457,0.1718764805144056,0.1467994704993485,0.1747647328492588,0.9895494974392657,0.9954355381478522,0.946797648041488,1.0224351149642013,0.9355023638304466,1.0502592371334858,3205.1763226536455,2706.178578653791,2547.180018590665,2813.4373346177845,2514.0016404362755,8021.510641500211,3247.782395743212,2692.934710336106,2689.4330086157124,2699.0188839531875,2686.4529054221384,8241.19661918474
window_3p0,0.181,10,pointwise descriptive statistics across ten conditional draws,numpy linear,6.055783289296087e-06,6.06444418501128e-06,5.963447681886728e-06,6.127561105609943e-06,5.926540104484748e-06,6.181536142476481e-06,0.09264881719352694,0.09164238018773095,0.08731392808845873,0.09975255713455763,0.083838328407803,0.1024171815206439,1.3254316727649051,1.3307090683949294,1.2829826555237307,1.3574911204110376,1.2678980430965665,1.3797077140752954,3520.7517287370074,3532.862239168224,3406.438504194805,3608.8421392719365,3362.733285171999,3672.8054297148065,2657.6377388425153,2657.200449672899,2654.1603941008234,2660.812188632959,2651.27662298614,2664.37415492565
window_3p0,0.182,10,pointwise descriptive statistics across ten conditional draws,numpy linear,6.337204417074516e-06,6.339409494787393e-06,6.249679864916309e-06,6.407723185415537e-06,6.206478216941e-06,6.465265290578495e-06,0.07918997962407218,0.0788370645303228,0.0747583681397646,0.08478039032884838,0.0715464381426339,0.0875292411965149,1.4113051914456898,1.4129376177963806,1.3736318330024624,1.4412513989889675,1.3561278837575743,1.464370015152552,3732.531865804144,3736.095190699353,3628.2176922079325,3816.0200518637694,3578.1367252817167,3882.3064986629192,2642.4987694799443,2642.162443672412,2638.954553084684,2645.680551635871,2636.1672754089686,2649.163261972067
window_3p0,0.183,10,pointwise descriptive statistics across ten conditional draws,numpy linear,6.307052189516693e-06,6.302702025319524e-06,6.231085617317742e-06,6.370669429238429e-06,6.183139167606708e-06,6.4288953601283345e-06,0.08682581565818866,0.0871046911416635,0.08240209159336004,0.09205072548494457,0.078910158979937,0.0953501769816719,1.3612131770986242,1.358802955810987,1.3282413346640138,1.3891064186307174,1.3085100915841807,1.412440433976346,3567.5736190868947,3561.721275820565,3477.8744274105266,3643.070966437385,3422.62240512558,3709.1934696796734,2619.065371798056,2618.8530515316434,2615.425482977688,2622.2737788000836,2612.741218412069,2625.6688349876567
window_3p0,0.184,10,pointwise descriptive statistics across ten conditional draws,numpy linear,5.970673203847058e-06,5.963241394054752e-06,5.906157221184787e-06,6.028777021518499e-06,5.8559650158428395e-06,6.08444629206054e-06,0.12428759164670647,0.1248020074440923,0.1191795711810766,0.12980659206755318,0.1147594558103777,0.1344166669757047,1.154260122567716,1.151311939752543,1.1273100086827983,1.1791064080099645,1.105753252063879,1.2015990451369574,3007.844664999559,2999.4976844236207,2933.3667648228115,3075.866722843666,2874.3683765036913,3138.9809790873737,2604.7717519499174,2604.7258355542035,2600.89380000349,2608.1020818613943,2598.2638639633715,2611.4986944465054
