draw_index,mass_GeV,eps2_up_ratio_3p0_over_2p25eq2p5,delta_log10_eps2_up_3p0_minus_2p25eq2p5,delta_p0_3p0_minus_2p25eq2p5,delta_Z_3p0_minus_2p25eq2p5,delta_A_hat_3p0_minus_2p25eq2p5,scope
4,0.149,1.0000110706857372,4.807911112791885e-06,0.0,0.0,-1.6250461213451217,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.15,0.999838019394334,-7.035298127888723e-05,0.0,0.0,-3.5041011012987724,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.151,0.9996866623170669,-0.00013610215075043897,0.0,0.0,-4.799534184896203,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.152,0.9995872949008281,-0.00017927254311533858,0.0,0.0,-6.174821753036213,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.153,0.9994345763540211,-0.00024562981838549547,-6.887079843082011e-05,0.0001726334915006,-7.4090408999491615,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.154,0.9992691754114175,-0.0003175091219338455,0.0009650527819171084,-0.0024207250996771956,-8.340435554711789,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.155,0.9991832945761827,-0.00035483557670534793,0.0010253738629448228,-0.0026402290808348883,-8.80552220023435,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.156,0.9991285468682582,-0.00037863229047285785,0.0009558827384674173,-0.0027571584989911635,-9.13690695102423,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.157,0.9991459943831728,-0.0003710483881675941,0.0007827353600360076,-0.002791598908741033,-8.855259870497775,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.158,0.999149308746575,-0.00036960775050509653,0.000647114539584992,-0.0028694250919623077,-8.896342057784295,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.159,0.9991891576693235,-0.00035228719390012486,0.0005193176654482018,-0.002864747594215844,-8.66102581346695,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.16,0.9992343519553352,-0.00033264408127919864,0.00044820644996619585,-0.002737999666805102,-8.217473655859976,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.161,0.999265967781104,-0.00031890319914129606,0.0004792383578405973,-0.002583915200592868,-7.6749335860763495,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.162,0.8429351985539856,-0.07420581089382505,-0.05535101507722681,0.22384733478782892,-68.17339113574417,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.163,1.4436319525265948,0.15945648592031159,-0.018159936073185,0.06807503620975974,1416.5196964016045,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
4,0.164,0.9994079863415456,-0.0002571844009304769,0.0007091671947805911,-0.002040185430845609,-6.117696405743345,"paired conditional difference with common Poisson counts in the shared [60,70) MeV bins"
