mass_GeV,paired_draw_count,summary_scope,eps2_up_ratio_3p0_over_2p25eq2p5_mean,eps2_up_ratio_3p0_over_2p25eq2p5_median,eps2_up_ratio_3p0_over_2p25eq2p5_q16,eps2_up_ratio_3p0_over_2p25eq2p5_q84,delta_log10_eps2_up_3p0_minus_2p25eq2p5_mean,delta_log10_eps2_up_3p0_minus_2p25eq2p5_median,delta_log10_eps2_up_3p0_minus_2p25eq2p5_q16,delta_log10_eps2_up_3p0_minus_2p25eq2p5_q84,delta_p0_3p0_minus_2p25eq2p5_mean,delta_p0_3p0_minus_2p25eq2p5_median,delta_p0_3p0_minus_2p25eq2p5_q16,delta_p0_3p0_minus_2p25eq2p5_q84,delta_Z_3p0_minus_2p25eq2p5_mean,delta_Z_3p0_minus_2p25eq2p5_median,delta_Z_3p0_minus_2p25eq2p5_q16,delta_Z_3p0_minus_2p25eq2p5_q84,delta_A_hat_3p0_minus_2p25eq2p5_mean,delta_A_hat_3p0_minus_2p25eq2p5_median,delta_A_hat_3p0_minus_2p25eq2p5_q16,delta_A_hat_3p0_minus_2p25eq2p5_q84
0.081,10,pointwise descriptive paired differences across ten conditional draws,1.150635208554018,1.0135008471312714,0.9984399945867817,1.025643897889687,0.04193445018975286,0.005823808542038567,-0.000678882866599615,0.010996385524726158,0.014402762901087777,-0.005274801781928851,-0.009918088226246435,0.0083074170001649,-0.05299837739887382,0.0267439479813103,-0.042669926858160984,0.056779779080374605,440.5422119536591,228.6645103411547,-44.21014330588416,472.5895248410192
0.082,10,pointwise descriptive paired differences across ten conditional draws,1.2636486421607418,1.0006839497979214,0.9745820089717829,1.031566852065391,0.055547789134663184,0.00029691778259843815,-0.011182857898975378,0.013496547547075721,-0.034423134216773885,-0.00012872433028872365,-0.024433543034262,0.019938007982902253,0.10168100192191676,0.00021507117638880358,-0.07482067001644752,0.08378167074439637,3603.3171883209243,4.8892576608272975,-464.7965695989789,536.7927673304645
0.083,10,pointwise descriptive paired differences across ten conditional draws,0.9967093185825089,0.9964945361141716,0.9613429239704876,1.0313513052296317,-0.0016221624619653595,-0.0015293749181437555,-0.01712286279785822,0.01340618857518649,-0.001477634672900152,0.0076801633966123994,-0.034219533795349776,0.028393509197517132,0.0036885125464741373,-0.019566906218055194,-0.073898370313283,0.09160446467241959,-97.48916598233181,-121.44907976237802,-723.6540208508028,537.1504453256658
0.084,10,pointwise descriptive paired differences across ten conditional draws,0.9097523871902302,0.9889399226537958,0.9594200528379816,1.029758105861159,-0.09598099447411332,-0.004834347972404007,-0.018002933362904264,0.012733650085211464,-0.0026078800422735748,0.0,-0.02141952321873524,0.013913861990223627,0.006666820847730728,0.0,-0.035121544126329986,0.0537527765837241,4772.325124087553,-70.18276941802566,-515.5413246181856,658.3202372900455
0.085,10,pointwise descriptive paired differences across ten conditional draws,0.9921003784420186,0.9888147898050137,0.9671693089189127,1.0195179359112339,-0.0035982853990392805,-0.0048873914263176665,-0.014503640302863517,0.008392641551024765,-1.9479603341721054e-05,0.0,-5.454288935681895e-05,0.0,4.8828125e-05,0.0,0.0,0.0001367187499999999,-234.4872707119501,-293.2012125561705,-835.0811500222342,385.8334691486907
0.086,10,pointwise descriptive paired differences across ten conditional draws,0.9922055204304673,0.9898757316684501,0.9706219367315296,1.0126345092647417,-0.0034965899311281134,-0.004419871156498445,-0.012955524614565981,0.005450943357528287,-9.739801670860527e-06,0.0,-5.454288935681895e-05,0.0,2.44140625e-05,0.0,0.0,0.0001367187499999999,-276.24239088693923,-343.61515965703484,-860.5393476067578,281.82893741264064
0.087,10,pointwise descriptive paired differences across ten conditional draws,0.967951361781459,0.9900788430770222,0.969797212133392,1.0062790017484886,-0.015730479179292177,-0.004330869360221978,-0.013321139601898188,0.0027174624805354234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.5192241242332,-162.88263747351402,-807.9676341541801,411.80327609805147
0.088,10,pointwise descriptive paired differences across ten conditional draws,0.992721135926344,0.9922135732122654,0.9790939962244845,1.0022238652699698,-0.003208805750800625,-0.0033948779436339116,-0.009176479505761463,0.0009643080346255667,1.3774159480922643e-05,0.0,0.0,0.0,-3.452669830012e-05,0.0,0.0,0.0,-275.04071382537404,-253.0929441069743,-699.0605922322347,22.697707310756748
0.089,10,pointwise descriptive paired differences across ten conditional draws,0.9501809038519573,0.9905632134853408,0.9767983079064362,0.9983604545099013,-0.0266960070702817,-0.004118116473258215,-0.010196493784423595,-0.000712805471592937,0.037321829451457775,0.0,0.0,0.0001199904204449531,-0.1140972331982135,0.0,-0.00030077138548067204,0.0,-1201.6857835548853,-295.02937168778953,-691.6033799814365,-63.4822939374935
0.09,10,pointwise descriptive paired differences across ten conditional draws,0.9903460038734302,0.9904233892905808,0.9794379155987736,0.999640730337658,-0.0042369043990992065,-0.004180134176380523,-0.009023148684802536,-0.00015624823882788553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-206.28458364470958,-213.58977010007175,-421.96331096443237,-0.607153820099338
