mass_GeV,epsilon_90,mass_MeV,eps2_90
1.6703,0.00097587,1670.3,9.523222569e-07
1.6716,0.00093864,1671.6,8.810450496e-07
1.6729,0.00088167,1672.9,7.773419889e-07
1.6742,0.00084563,1674.2,7.150900969e-07
1.6756,0.00084723,1675.6,7.177986729e-07
1.6769,0.00089738,1676.9,8.052908644e-07
1.6782,0.00097193,1678.2,9.446479249e-07
1.6795,0.001001,1679.5,1.002001e-06
1.6808,0.0009629,1680.8,9.2717641e-07
1.6821,0.00088666,1682.1,7.861659556e-07
1.6835,0.00081182,1683.5,6.590517124e-07
1.6848,0.00073321,1684.8,5.375969041e-07
1.6861,0.00069346,1686.1,4.808867716e-07
1.6874,0.00068728,1687.4,4.723537984e-07
1.6888,0.00071471,1688.8,5.108103841e-07
1.6901,0.00079089,1690.1,6.255069921e-07
1.6914,0.00089775,1691.4,8.059550625e-07
1.6928,0.00095519,1692.8,9.123879361e-07
1.6941,0.00095019,1694.1,9.028610361e-07
1.6954,0.00086605,1695.4,7.500426025e-07
1.6968,0.0008314,1696.8,6.9122596e-07
1.6981,0.00081845,1698.1,6.698604025e-07
1.6994,0.00081824,1699.4,6.695166976e-07
1.7007,0.00083312,1700.7,6.940889344e-07
1.7021,0.00084344,1702.1,7.113910336e-07
1.7034,0.0008382,1703.4,7.0257924e-07
1.7047,0.00079906,1704.7,6.384968836e-07
1.7061,0.00076192,1706.1,5.805220864e-07
1.7074,0.00071668,1707.4,5.136302224e-07
1.7088,0.00069206,1708.8,4.789470436e-07
1.7101,0.00068967,1710.1,4.756447089e-07
1.7114,0.00072374,1711.4,5.237995876e-07
1.7127,0.00077929,1712.7,6.072929041e-07
1.7141,0.0008079,1714.1,6.5270241e-07
1.7154,0.00079293,1715.4,6.287379849e-07
1.7168,0.00081357,1716.8,6.618961449e-07
1.7181,0.00082633,1718.1,6.828212689e-07
1.7195,0.00087122,1719.5,7.590242884e-07
1.7208,0.00090696,1720.8,8.225764416e-07
1.7221,0.00091844,1722.1,8.435320336e-07
1.7235,0.00090421,1723.5,8.175957241e-07
1.7248,0.00090934,1724.8,8.268992356e-07
1.7262,0.0009119,1726.2,8.3156161e-07
1.7275,0.00091143,1727.5,8.307046449e-07
1.7289,0.00090274,1728.9,8.149395076e-07
1.7302,0.00089281,1730.2,7.971096961e-07
1.7316,0.00087397,1731.6,7.638235609e-07
1.7329,0.00083289,1732.9,6.937057521e-07
1.7343,0.00080667,1734.3,6.507164889e-07
1.7356,0.00077223,1735.6,5.963391729e-07
1.737,0.00073406,1737,5.388440836e-07
1.7383,0.00070335,1738.3,4.947012225e-07
1.7397,0.000701,1739.7,4.91401e-07
1.741,0.00073852,1741,5.454117904e-07
1.7424,0.00079973,1742.4,6.395680729e-07
