scope_key,mass_MeV,truth,method,n,observed_signed_r,null_signed_r_mean,null_signed_r_sd,null_signed_r_skew,null_signed_r_excess_kurtosis,null_signed_r_q05,null_signed_r_q50,null_signed_r_q95,direct_tail_count,direct_tail_fraction,direct_tail_ci95_low,direct_tail_ci95_high,signal_bias_sigma,linearized_zero_noise_bias_sigma,linearized_sampling_sd_sigma,raw_local_rejection_count,calibrated_local_rejection_count,observed_q0_is_zero,source_toy_ledger
individual_2021_10pct,64,stress,fixed,500,6.27668532359732,3.7659619957302692,2.5548894679812575,0.024784456201798512,-0.1309064544806371,-0.40891107169043883,3.6438859832622432,7.899606983736338,80,0.16,0.1289558551042261,0.1951280222797173,1.8118460372849916,1.7791521480711063,1.2214481811911804,399,27,False,study_results/v4p9p13_calibration_20260905/derived/individual_2021_10pct/m064/validation_toys.csv.gz
individual_2021_10pct,64,stress,profiled,500,2.0149329344663633,1.0570523979724185,0.9728424439043575,-0.07337133973084344,-0.07207231430912131,-0.4613825122940236,1.039953758020646,2.619380865749775,80,0.16,0.1289558551042261,0.1951280222797173,1.0579799407906478,1.0244858012462108,0.9780088617301104,141,24,False,study_results/v4p9p13_calibration_20260905/derived/individual_2021_10pct/m064/validation_toys.csv.gz
all_2015_2016_2021,64,gp,fixed,500,5.324098258106405,1.8617185006205117,2.469403748889211,0.004717951738904053,0.18532115058846754,-2.205662606940318,1.7433483952982134,5.806332999508281,37,0.074,0.05263510854899524,0.10055887474646992,0.9136996162502864,0.9038760718134958,1.2316580391590677,255,0,False,study_results/v4p9p13_calibration_20260905/chunked_v1/attempt1_combined/all_2015_2016_2021/m064/validation_toys.csv.gz
all_2015_2016_2021,64,gp,profiled,500,1.6457703874752494,0.5318721329959489,1.0024957122156288,-0.02163327818075298,-0.07404742485857074,-1.0774774842970063,0.5641966914846941,2.1634016406391687,67,0.134,0.10537896426139441,0.1670299236138214,0.5316176550116718,0.5391259631660833,0.9773022446410256,67,0,False,study_results/v4p9p13_calibration_20260905/chunked_v1/attempt1_combined/all_2015_2016_2021/m064/validation_toys.csv.gz
all_2015_2016_2021,64,stress,fixed,500,5.324098258106405,20.181145587017596,2.504160215463271,-0.027531428310607082,-0.1398001617936213,16.184481194192852,20.156529738107963,24.35656846682079,500,1.0,0.9926493899480923,1.0,9.907866927403251,9.91454982866823,1.2311899986160144,500,28,False,study_results/v4p9p13_calibration_20260905/chunked_v1/attempt1_combined/all_2015_2016_2021/m064/validation_toys.csv.gz
all_2015_2016_2021,64,stress,profiled,500,1.6457703874752494,6.824981757296997,0.9968663231495946,-0.012119389335847065,-0.12364840989429737,5.288061935413335,6.835028922402191,8.50601943192092,500,1.0,0.9926493899480923,1.0,6.819626443374368,6.785970028455927,0.9773044398128812,500,29,False,study_results/v4p9p13_calibration_20260905/chunked_v1/attempt1_combined/all_2015_2016_2021/m064/validation_toys.csv.gz
individual_2015_full,65,gp,fixed,500,3.1099915641878173,-0.46723971134089604,2.9111548997135865,-0.01997705070376092,0.25845993176446314,-5.027871806707705,-0.35103234559672636,4.540996922723494,48,0.096,0.07163269397534078,0.1252647465633309,-0.2075470468224192,-0.1764653136240652,1.289129199215944,106,14,False,study_results/v4p9p13_calibration_20260905/derived/individual_2015_full/m065/validation_toys.csv.gz
individual_2015_full,65,gp,profiled,500,2.39517212294695,-0.18762313983758497,1.0345796468726867,-0.012579326481567177,0.07441207665356186,-1.9015750729456489,-0.15957785219482168,1.4674146321836128,3,0.006,0.0012390575435407504,0.017433673725913514,-0.1890325757104277,-0.1625664399863996,0.9695536981231386,18,12,False,study_results/v4p9p13_calibration_20260905/derived/individual_2015_full/m065/validation_toys.csv.gz
individual_2015_full,65,stress,fixed,500,3.1099915641878173,0.7981410420675832,2.9271452341476505,0.10169658011714322,0.3054737262170599,-4.080155313016276,0.8474544319898087,5.862206241098605,97,0.194,0.16023515532152674,0.2314301266931071,0.3527773568930806,0.4034483247926254,1.3066581468432186,187,28,False,study_results/v4p9p13_calibration_20260905/derived/individual_2015_full/m065/validation_toys.csv.gz
individual_2015_full,65,stress,profiled,500,2.39517212294695,0.25642503356755064,0.9413964030248807,-0.03589019504544393,0.002737520919314562,-1.2333818146928466,0.29252796050873214,1.7943034316575535,5,0.01,0.0032547214070242528,0.02318138806965964,0.2583220499709142,0.2978572255198224,0.9816764820263428,33,23,False,study_results/v4p9p13_calibration_20260905/derived/individual_2015_full/m065/validation_toys.csv.gz
