mass_MeV,muon_central_eps2,electron_Rb_central_eps2
10.102977556328801,4.1898570402366997e-07,1.7701996354503087e-07
10.180906040541501,4.1968998781492804e-07,1.7969601036193303e-07
10.259435619690604,4.2039987016544008e-07,1.8241324368540687e-07
10.338570930272329,4.2111539921524196e-07,1.8517230089801627e-07
10.418316644546129,4.2183662357438316e-07,1.8797382925540066e-07
10.498677470810545,4.2256359232824073e-07,1.9081848603917217e-07
10.579658153681184,4.2329635504290073e-07,1.9370693871218177e-07
10.66126347437087,4.2403496177060931e-07,1.9663986507619073e-07
10.743498250971903,4.2477946305529223e-07,1.9961795343198068e-07
10.826367338740546,4.2552990993814597e-07,2.0264190274194634e-07
10.909875630383681,4.2628635396330108e-07,2.0571242279520354e-07
10.994028056347677,4.2704884718355734e-07,2.0883023437525534e-07
11.078829585109496,4.2781744216619211e-07,2.1199606943025406e-07
11.164285223470047,4.2859219199884588e-07,2.1521067124590084e-07
11.250400016849774,4.2937315029548022e-07,2.1847479462101986e-07
11.337179049586558,4.3016037120241584e-07,2.2178920604585509e-07
11.424627445235901,4.309539094044464e-07,2.2515468388312499e-07
11.512750366873426,4.31753820131032e-07,2.2857201855188286e-07
11.601553017399722,4.3256015916257341e-07,2.3204201271422361e-07
11.691040639847504,4.3337298283676599e-07,2.3556548146488088e-07
11.781218517691219,4.3419234805503892e-07,2.3914325252376309e-07
11.872091975158929,4.3501831228907356e-07,2.427761664314668e-07
11.963666377546703,4.3585093358741107e-07,2.4646507674782124e-07
12.055947131535376,4.3669027058214272e-07,2.502108502535055e-07
12.14893968550977,4.3753638249568949e-07,2.5401436715478891e-07
12.242649529880371,4.383893291476678e-07,2.5787652129144112e-07
12.337082197407506,4.3924917096184749e-07,2.6179822034786307e-07
12.43224326352798,4.4011596897319796e-07,2.6578038606748519e-07
12.528138346684271,4.4098978483502815e-07,2.6982395447048806e-07
12.624773108656253,4.4187068082621976e-07,2.7392987607489337e-07
12.722153254895472,4.4275871985855449e-07,2.7809911612107886e-07
12.820284534861997,4.4365396548413832e-07,2.8233265479976984e-07
12.919172742363902,4.4455648190292214e-07,2.8663148748356318e-07
13.018823715899302,4.4546633397032237e-07,2.9099662496203237e-07
13.119243339001093,4.4638358720494062e-07,2.9542909368047783e-07
