current_profile_backbone,mass_MeV,datasets_three,observed_three_ee,observed_three_minimal,scale_three,projected_three_minimal,density_2015,density_2016,density_2021,dimuon_factor,archived_three_ee,parent_replay_relative_error,three_cls,three_max_score,datasets_four,density_2019,observed_four_ee,observed_four_minimal,scale_four,projected_four_minimal,max_score,cls,standalone_2019_replay_ratio,standalone_2019_ee,covariance_load_2019
True,29,2015,8.3980604443153616e-06,8.3980604443153616e-06,1,8.3980604443153616e-06,823046135.583722,0,0,1,8.3979586448133704e-06,1.2121934186204442e-05,0.099999999544410995,2.1444414688431834e-08,2015,0,8.3980604443153616e-06,8.3980604443153616e-06,1,8.3980604443153616e-06,,,,,
True,30,2015,1.0231088724103476e-05,1.0231088724103476e-05,1,1.0231088724103476e-05,822008895.93766797,0,0,1,1.023124658847981e-05,-1.5429632642449675e-05,0.1000000000000582,9.3629237030157242e-08,2015,0,1.0231088724103476e-05,1.0231088724103476e-05,1,1.0231088724103476e-05,,,,,
True,31,2015,8.587577026798653e-06,8.587577026798653e-06,1,8.587577026798653e-06,814302946.6626811,0,0,1,8.5877736955787795e-06,-2.2901020345633682e-05,0.099999999985961291,1.7848622579919038e-08,2015,0,8.587577026798653e-06,8.587577026798653e-06,1,8.587577026798653e-06,,,,,
True,32,2015,6.5001709487278538e-06,6.5001709487278538e-06,1,6.5001709487278538e-06,800432354.02830935,0,0,1,6.498708636725469e-06,0.00022501578146161272,0.10000000000163631,1.5370734463004965e-08,2015,0,6.5001709487278538e-06,6.5001709487278538e-06,1,6.5001709487278538e-06,,,,,
True,33,2015,4.7017310584418014e-06,4.7017310584418014e-06,1,4.7017310584418014e-06,781756301.06386125,0,0,1,4.6841999571655718e-06,0.0037426030990439507,0.10000000003835832,1.8214005415018164e-08,2015,0,4.7017310584418014e-06,4.7017310584418014e-06,1,4.7017310584418014e-06,,,,,
True,34,2015,3.9015989784786646e-06,3.9015989784786646e-06,1,3.9015989784786646e-06,759251610.42053831,0,0,1,3.8926641988458471e-06,0.0022952865123753163,0.099999999985790372,4.7460702257140497e-08,2015,0,3.9015989784786646e-06,3.9015989784786646e-06,1,3.9015989784786646e-06,,,,,
True,35,2015,3.6097184265781581e-06,3.6097184265781581e-06,1,3.6097184265781581e-06,733146781.92594945,0,0,1,3.5881347811780288e-06,0.0060152827907549167,0.099999999888757712,1.5207489045820921e-08,2015,0,3.6097184265781581e-06,3.6097184265781581e-06,1,3.6097184265781581e-06,,,,,
True,36,2015,5.2252062053229668e-06,5.2252062053229668e-06,1,5.2252062053229668e-06,704234099.84490442,0,0,1,5.2069444002342802e-06,0.0035072018606276956,0.099999999998635472,1.6136000802191575e-07,2015,0,5.2252062053229668e-06,5.2252062053229668e-06,1,5.2252062053229668e-06,,,,,
True,37,2015,7.5837948817677732e-06,7.5837948817677732e-06,1,7.5837948817677732e-06,673803749.1307224,0,0,1,7.5823118482130796e-06,0.00019559121075229946,0.10000000177334364,1.8651850730577735e-08,2015,0,7.5837948817677732e-06,7.5837948817677732e-06,1,7.5837948817677732e-06,,,,,
True,38,2015,1.2192053304405872e-05,1.2192053304405872e-05,1,1.2192053304405872e-05,641013054.83998096,0,0,1,1.2192184480002683e-05,-1.075899048497142e-05,0.099999999659397723,1.9943029450075755e-08,2015,0,1.2192053304405872e-05,1.2192053304405872e-05,1,1.2192053304405872e-05,,,,,
True,39,2015+2016,1.1290990317250073e-05,1.1290990317250073e-05,1,1.1290990317250073e-05,607069903.4410162,423346821.00178981,0,1,1.1291577977114103e-05,-5.2044086771729781e-05,0.099999999629761027,1.5276658604790327e-08,2015+2016,0,1.1290990317250073e-05,1.1290990317250073e-05,1,1.1290990317250073e-05,,,,,
True,40,2015+2016,9.7264233125192147e-06,9.7264233125192147e-06,1,9.7264233125192147e-06,572175251.6161536,513587375.67197108,0,1,9.7200667850522827e-06,0.0006539592378838055,0.100000000418294,8.6440521407382676e-08,2015+2016,0,9.7264233125192147e-06,9.7264233125192147e-06,1,9.7264233125192147e-06,,,,,
True,41,2015+2016,6.545723623664503e-06,6.545723623664503e-06,1,6.545723623664503e-06,536941035.2362417,604568032.66780794,0,1,6.5512917374971366e-06,-0.00084992609942313724,0.10000000000006322,1.7814445452124517e-07,2015+2016,0,6.545723623664503e-06,6.545723623664503e-06,1,6.545723623664503e-06,,,,,
True,42,2015+2016,5.0140610303812507e-06,5.0140610303812507e-06,1,5.0140610303812507e-06,501846452.67817783,694489179.90537274,0,1,4.9914821770157959e-06,0.0045234767078650151,0.099999999997918268,8.606562929003303e-08,2015+2016,0,5.0140610303812507e-06,5.0140610303812507e-06,1,5.0140610303812507e-06,,,,,
True,43,2015+2016,3.905266475328748e-06,3.905266475328748e-06,1,3.905266475328748e-06,467028006.50587726,781032039.55401373,0,1,3.8891010733318444e-06,0.0041565908656251427,0.10000000054246708,3.1378924791880536e-08,2015+2016,0,3.905266475328748e-06,3.905266475328748e-06,1,3.905266475328748e-06,,,,,
True,44,2015+2016,3.5649938792057918e-06,3.5649938792057918e-06,1,3.5649938792057918e-06,432783094.09741867,862860675.25917256,0,1,3.5593170678946893e-06,0.0015949158793151508,0.099999997310464883,1.8576448512774846e-07,2015+2016,0,3.5649938792057918e-06,3.5649938792057918e-06,1,3.5649938792057918e-06,,,,,
True,45,2015+2016,4.6459564509315451e-06,4.6459564509315451e-06,1,4.6459564509315451e-06,399895844.01198906,939252500.91589069,0,1,4.6537094832689971e-06,-0.0016659897583477523,0.099999999976656428,1.8888271213768348e-07,2015+2016,0,4.6459564509315451e-06,4.6459564509315451e-06,1,4.6459564509315451e-06,,,,,
