mass_MeV,mass_GeV,dataset_set,includes_2016,sigma_mass_res_min_GeV,v4_k8_eps2_obs_ee,v4p1_k12_eps2_obs_ee,v4_k8_p0_local_asymptotic,v4p1_k12_p0_local_asymptotic,v4_k8_Z_local_asymptotic,v4p1_k12_Z_local_asymptotic,minimal_visible_factor,v4_k8_eps2_obs_minimal_visible,v4p1_k12_eps2_obs_minimal_visible,observed_limit_ratio_k12_over_k8,observed_limit_fractional_change,delta_Z_k12_minus_k8,p0_ratio_k12_over_k8
73,0.073,2015+2016+2021,True,0.002205502875,1.3250582601821028e-06,1.1384917259747678e-06,0.5,0.5,0.0,0.0,1.0,1.3250582601821028e-06,1.1384917259747678e-06,0.8592012594361736,-0.14079874056382635,0.0,1.0
74,0.074,2015+2016+2021,True,0.0022167515,1.4332034394236816e-06,1.2912182897063789e-06,0.5,0.5,0.0,0.0,1.0,1.4332034394236816e-06,1.2912182897063789e-06,0.9009316152810813,-0.09906838471891866,0.0,1.0
75,0.075,2015+2016+2021,True,0.002228171875,1.8128961930666809e-06,1.5345605161825208e-06,0.5,0.5,0.0,0.0,1.0,1.8128961930666809e-06,1.5345605161825208e-06,0.8464690488354274,-0.1535309511645726,0.0,1.0
76,0.076,2015+2016+2021,True,0.002239764,2.8287904153334993e-06,2.078973644731062e-06,0.2717004530689625,0.5,0.607678227437936,0.0,1.0,2.8287904153334993e-06,2.078973644731062e-06,0.7349337842287486,-0.26506621577125145,-0.607678227437936,1.84026192946057
77,0.077,2015+2016+2021,True,0.002251527875,3.9522111648278285e-06,2.8238831689959415e-06,0.0522511690353576,0.225268073316401,1.6234074271301595,0.7545214894939808,1.0,3.9522111648278285e-06,2.8238831689959415e-06,0.7145071584551731,-0.2854928415448269,-0.8688859376361787,4.311254225986128
78,0.078,2015+2016+2021,True,0.0022634635,4.709940421538824e-06,3.695138163161103e-06,0.013277505426058,0.0589424039807404,2.2179973830215385,1.563713746721695,1.0,4.709940421538824e-06,3.695138163161103e-06,0.7845403195044733,-0.21545968049552666,-0.6542836362998434,4.439267926418013
79,0.079,2015+2016+2021,True,0.002275570875,4.975425413486008e-06,4.3778293441685295e-06,0.007246507633461,0.0176232831929329,2.444805811833107,2.10551427109012,1.0,4.975425413486008e-06,4.3778293441685295e-06,0.8798904576686689,-0.12010954233133109,-0.33929154074298706,2.4319691752695847
80,0.08,2015+2016+2021,True,0.00228785,4.6342679712690335e-06,4.323953699857836e-06,0.0118154266957121,0.0166061023537095,2.263078455452943,2.1295085929792177,1.0,4.6342679712690335e-06,4.323953699857836e-06,0.9330392041774352,-0.06696079582256476,-0.13356986247372538,1.405459386391519
81,0.081,2015+2016+2021,True,0.002300300875,4.1688913372411175e-06,4.069829196469043e-06,0.0278212475077002,0.0271482054887599,1.9138251955494456,1.9244643035713913,1.0,4.1688913372411175e-06,4.069829196469043e-06,0.9762377733650328,-0.023762226634967187,0.010639108021945676,0.9758083450875442
82,0.082,2015+2016+2021,True,0.0023129235,3.2113172325038024e-06,3.273910151697193e-06,0.1253834217967349,0.1009110763561428,1.148488776690624,1.276377367768554,1.0,3.2113172325038024e-06,3.273910151697193e-06,1.0194913534420853,0.019491353442085302,0.12788859107792994,0.8048199268299967
