upper_factor,mass_MeV,mass_GeV,A_up,A_up_ratio_to_k8,eps2_up,eps2_up_ratio_to_k8,A_eps2_ratio_difference,p0_analytic,Z_analytic,delta_Z_to_k8,lml,delta_lml_to_k8,ls_lo,ls_hi,ls_opt,sigma_x,ls_lo_over_sigma_x,ls_hi_over_sigma_x,ls_opt_over_sigma_x,ls_opt_over_ls_hi,at_upper_boundary,n_train,blind_lo,blind_hi,sigma_val,row_source,row_source_sha256,row_source_kind,optimizer_repair_applied,review_status,branch_multiplicity,selected_repair_reproduced,repair_reproduction_pending,delta_lml_selected_minus_raw
8,113,0.113,13635.61103749287,1.0,1.6371193500727173e-05,1.0,0.0,0.0284553939269556,1.90399536484642,0.0,2143.6627847145664,0.0,0.0373611330873512,0.3320989607764559,0.3320989607764559,0.0415123700970568,0.9,8.0,8.0,1.0,True,634,0.1022233452140975,0.1237766547859025,0.0047896243492899,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_03/results_single.csv,fb065cd988534049027c8e3c255b341b97f9ed630b9a27e698ba7452a7f67dcc,reviewed_v4,True,resolved_reproduced_max_lml,3,False,False,0.0
8,114,0.114,14197.415772124885,1.0,1.7794302993343803e-05,1.0,0.0,0.016935258239632,2.121609826997821,0.0,2133.7534093967943,0.0,0.0374158395379236,0.3325852403370994,0.3325852403370994,0.0415731550421373,0.9,8.0,8.0,1.0,True,632,0.10311172389996,0.12488827610004,0.00483923382224,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_03/results_single.csv,fb065cd988534049027c8e3c255b341b97f9ed630b9a27e698ba7452a7f67dcc,reviewed_v4,True,resolved_reproduced_max_lml,3,False,False,0.0
8,115,0.115,13387.109929209122,1.0,1.7517095373440657e-05,1.0,0.0,0.0225884846060433,2.0030029744727513,0.0,2136.2965953133476,0.0,0.0374704509618946,0.3330706752168416,0.3330706752168416,0.0416338344021051,0.9,8.0,7.999999999999998,1.0,True,632,0.1039998449359375,0.1260001550640625,0.00488895780625,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_01/results_single.csv,f9f25a337aa644e5c7e03555e6341f63a6ff30e907db7d718d5fc5055fceb719,reviewed_v4,False,resolved_reproduced_max_lml,3,False,False,0.0
8,116,0.116,12702.320098393551,1.0,1.736517220343858e-05,1.0,0.0,0.0281409084961281,1.9088471144944497,0.0,2139.1023122904703,0.0,0.0375248983790422,0.3335546522581545,0.3335546522581545,0.0416943315322692,0.9,8.0,8.0,1.0,True,632,0.10488772990016,0.12711227009984,0.00493878671104,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,a56e71628b94169ba0cb858d13f8e09a16131ff7ee7c63d0dd39a221afff32ff,reviewed_v4,True,resolved_reproduced_max_lml,3,False,False,0.0
8,117,0.117,11533.237282039005,1.0,1.6474179696339855e-05,1.0,0.0,0.0490623116420741,1.65401422096825,0.0,2135.0752263216873,0.0,0.0375791132173122,0.3340365619316649,0.3340365619316649,0.0417545702414581,0.9,8.0,8.0,1.0,True,630,0.1057754009706975,0.1282245990293025,0.0049887106796899,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,a56e71628b94169ba0cb858d13f8e09a16131ff7ee7c63d0dd39a221afff32ff,reviewed_v4,True,resolved_reproduced_max_lml,3,False,False,0.0
8,118,0.1179999999999999,10033.844509097997,1.0,1.4983011210366918e-05,1.0,0.0,0.0964483632435652,1.3020575107557062,0.0,2137.374191748947,0.0,0.0376330272959538,0.3345157981862563,0.3345157981862562,0.0418144747732819,0.9,8.0,7.999999999999998,0.9999999999999997,True,630,0.1066628809255598,0.1293371190744399,0.00503871958864,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_03/results_single.csv,fb065cd988534049027c8e3c255b341b97f9ed630b9a27e698ba7452a7f67dcc,reviewed_v4,True,resolved_reproduced_max_lml,3,False,False,0.0
8,119,0.1189999999999999,8657.797330156427,1.0,1.3514191862595298e-05,1.0,0.0,0.1758495425561422,0.9312986790011856,0.0,2131.9028792278004,0.0,0.0376865728094525,0.3349917583062448,0.3349917583062448,0.0418739697882805,0.9,8.0,8.0,1.0,True,628,0.1075501931426974,0.1304498068573025,0.0050888030476899,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_03/results_single.csv,fb065cd988534049027c8e3c255b341b97f9ed630b9a27e698ba7452a7f67dcc,reviewed_v4,True,resolved_reproduced_max_lml,3,False,False,0.0
8,120,0.12,7018.852593022493,1.0,1.1460782012539502e-05,1.0,0.0,0.3363900245059094,0.4223356381228984,0.0,2130.584105128993,0.0,0.0377396823122024,0.3354638427751339,0.3354638427751339,0.0419329803468916,0.9,8.0,8.0,1.0,True,628,0.1084373615999999,0.1315626383999999,0.0051389503999999,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_03/results_single.csv,fb065cd988534049027c8e3c255b341b97f9ed630b9a27e698ba7452a7f67dcc,reviewed_v4,True,resolved_reproduced_max_lml,3,False,False,0.0
8,121,0.121,6083.791677186144,1.0,1.0392259896969271e-05,1.0,0.0,0.4639226583165249,0.0905560987907397,0.0,2127.688343151957,0.0,0.0377922887038796,0.335931455145598,0.335931455145598,0.0419914318931996,0.9000000000000001,8.0,8.0,1.0,True,626,0.1093244108752975,0.1326755891247025,0.0051891507220899,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,a56e71628b94169ba0cb858d13f8e09a16131ff7ee7c63d0dd39a221afff32ff,reviewed_v4,True,resolved_reproduced_max_lml,3,False,False,0.0
8,122,0.122,5109.364070235339,1.0,9.130722467302757e-06,1.0,0.0,0.5,0.0,0.0,2130.5755483297003,0.0,0.0378443252154722,0.3363940019153091,0.3363940019153091,0.0420492502394136,0.9,8.0,8.0,1.0,True,626,0.11021136614636,0.13378863385364,0.00523939282384,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,a56e71628b94169ba0cb858d13f8e09a16131ff7ee7c63d0dd39a221afff32ff,reviewed_v4,True,resolved_reproduced_max_lml,3,False,False,0.0
8,123,0.123,4530.273444451026,1.0,8.477040825576954e-06,1.0,0.0,0.5,0.0,0.0,2126.0434394358363,0.0,0.0378957253959257,0.3368508924082291,0.3368508924082291,0.0421063615510286,0.9,8.0,8.0,1.0,True,624,0.1110982531908975,0.1349017468091025,0.00528966524849,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,a56e71628b94169ba0cb858d13f8e09a16131ff7ee7c63d0dd39a221afff32ff,reviewed_v4,True,resolved_reproduced_max_lml,3,False,False,0.0
8,124,0.124,4176.878640847144,1.0,8.183499620424672e-06,1.0,0.0,0.5,0.0,0.0,2127.3544912076686,0.0,0.0379464230993714,0.3373015386610802,0.3373015386610802,0.0421626923326349,0.9,8.0,8.0,1.0,True,624,0.11198509838656,0.1360149016134399,0.0053399562726399,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_01/results_single.csv,f9f25a337aa644e5c7e03555e6341f63a6ff30e907db7d718d5fc5055fceb719,reviewed_v4,False,resolved_reproduced_max_lml,3,False,False,0.0
