lower_factor,upper_factor,mass_MeV,mass_GeV,A_up_upper_over_lower,eps2_up_upper_over_lower,A_eps2_ratio_difference,delta_Z_upper_minus_lower,delta_lml_upper_minus_lower,lower_at_upper_boundary,upper_at_upper_boundary
8,10,114,0.114,1.0405946894107103,1.0402002390785743,0.00039445033213603153,0.5838870449849196,5.745311162759663,True,False
8,10,115,0.115,1.087309560146375,1.0857439542213567,0.0015656059250181986,0.7150861968982967,5.439739756715426,True,False
8,10,116,0.116,1.1610781161148207,1.159773709838842,0.001304406275978609,1.0263252262342553,5.91077719763598,True,True
8,10,117,0.117,1.2235156976865422,1.222930767421588,0.0005849302649543198,1.1857315127080983,5.709704023845461,True,True
8,10,118,0.118,1.2949096739922,1.2925289402720606,0.002380733720139361,1.310831477385642,5.492152786156566,True,True
8,10,119,0.119,1.371828252734026,1.3702517399771432,0.001576512756882753,1.4308727883859658,6.114763291154759,True,True
8,10,120,0.12,1.456879589305487,1.4560482525787086,0.0008313367267784866,1.5079962296346656,5.974183617396193,True,True
8,10,121,0.121,1.505736220007938,1.5030235474211082,0.002712672586829834,1.5616219515703083,6.736587069672169,True,True
8,10,122,0.122,1.507663300270954,1.505785448833555,0.0018778514373991584,1.2070252810333708,6.35142757678841,True,True
8,10,123,0.123,1.4343969350778354,1.4335397911038736,0.0008571439739617492,0.7867144405546226,5.962274754386726,True,True
8,10,124,0.124,1.336636428350114,1.333631791353458,0.003004636996655874,0.4418645268997193,5.671065816515693,True,True
8,10,125,0.125,1.2386919019156988,1.2370965446975202,0.0015953572181786058,0.1425380389155117,5.623559087788635,True,True
8,10,126,0.126,1.1476607949353341,1.146918354702115,0.0007424402332192326,0.0,4.597334165582197,True,True
8,10,127,0.127,0.9925392409623865,0.9902646083140092,0.0022746326483773505,0.0,3.8564840111757803,True,False
8,10,128,0.128,0.9515443430344837,0.9502246923127821,0.001319650721701593,8.631674575031098e-05,3.3879284817226107,True,False
8,10,129,0.129,0.9290759222605609,0.9284755627810524,0.0006003594795085387,0.0,3.5637607293347173,True,False
8,10,130,0.13,0.9031200739357883,0.9009457867750291,0.0021742871607591807,0.0,4.023033483551444,True,False
8,10,131,0.131,0.8791171637708783,0.8777979158970899,0.0013192478737884539,0.0,3.7034012402259577,True,False
8,10,132,0.132,0.8511538741190255,0.8505702571099145,0.000583617009111026,0.0,3.704335888235164,True,False
8,10,133,0.133,0.8377090038897184,0.8376960236736533,1.298021606510602e-05,-8.631674575031097e-05,3.3762066803406015,True,False
8,10,134,0.134,0.8191228759520812,0.8177756512224724,0.001347224729608798,0.0,3.428555066799163,True,False
8,10,135,0.135,0.7883414722370232,0.7876020218530038,0.0007394503840194577,0.0,3.8271629608916555,True,False
8,10,136,0.136,0.7542096720448089,0.7541421599088861,6.751213592282035e-05,0.0,4.105780930956371,True,False
8,10,137,0.137,0.7395284078687255,0.7382184220567038,0.0013099858120216856,0.0,3.9867585194369894,True,False
8,10,138,0.138,0.6917301021597223,0.691155049113395,0.0005750530463273229,0.0,4.641999470025439,True,False
8,10,139,0.139,0.684638554110159,0.6845365545688655,0.00010199954129341826,0.0,4.016286431520712,True,False
8,10,140,0.14,0.7041956349764599,0.7028148691942894,0.001380765782170501,0.0,3.4320248126350634,True,False
8,10,141,0.141,0.6374760866405722,0.6367957160812959,0.0006803705592762777,0.0,3.9228093091924165,True,True
8,10,142,0.142,0.6304365593844534,0.6302370616699181,0.00019949771453531273,6.103515625e-05,3.71363788673807,True,True
8,10,143,0.143,0.6214665767245551,0.6200049836994125,0.0014615930251425935,0.0,3.151184950417246,True,True
8,10,144,0.144,0.7211474999239056,0.7201099123380456,0.0010375875858600336,0.0,2.901013786355634,True,False
8,10,145,0.145,0.6158913959644546,0.6156167116302198,0.0002746843342348315,0.0,3.479358246461743,True,True
8,10,146,0.146,0.6177559304624091,0.6163172250277524,0.0014387054346566286,0.0,3.3959423816977505,True,True
8,10,147,0.147,0.6260160374098587,0.6251851719066998,0.0008308655031589174,0.0,3.937781747500594,True,True
8,10,148,0.148,0.6261304026020883,0.6257177325935915,0.0004126700084967627,-0.1025966684537536,4.112263817486564,True,True
8,10,149,0.149,0.7444467535100121,0.7424422866059527,0.002004466904059421,-0.2734487871837695,3.1934549282914304,True,False
8,10,150,0.15,0.7743646476908701,0.7728719549696904,0.0014926927211796892,-0.2859932295370504,3.2038750273291043,True,False
8,10,151,0.151,0.8468349107100654,0.8460114116608085,0.0008234990492569372,-0.23452426666866144,3.105766880484225,True,False
