dataset,study,mass_GeV,inj_nsigma,n_toys,pull_mean_correct,pull_mean_ratio_of_means,delta_z_mean,abs_definition_delta_ratio,abs_definition_delta_deltaZ,sigma_ratio_mean
2016,fixed_lslb1p0,0.18,2.0,10,-0.19289048322214625,-0.13275520517658573,-0.21169190845068114,0.060135278045560514,0.018801425228534896,1.0112128726087461
2016,fixed_lslb1p0,0.18,3.0,10,-0.6107592224440646,-0.5539940698560212,-0.6496152954262089,0.05676515258804338,0.03885607298214433,1.0148265574838917
2016,fixed_lslb1p0,0.18,5.0,10,-1.046318966195639,-0.9900727065096512,-1.1490910380846227,0.05624625968598773,0.10277207188898374,1.0226969914735922
2016,profiled_lslb0p5,0.045,0.0,10,0.11125095715670581,0.09018303845541381,0.11125095715670581,0.021067918701292,0.0,1.0102424260479819
2016,profiled_lslb0p5,0.045,1.0,10,-0.6098163124447578,-0.636551945387101,-0.6414898349121527,0.026735632942343268,0.031673522467394966,1.0329303913215033
2016,profiled_lslb0p5,0.045,2.0,10,-1.3596137865505393,-1.3879339283913523,-1.4644017984248077,0.028320141840812996,0.10478801187426834,1.0558371770663348
2016,profiled_lslb0p5,0.045,3.0,10,-2.104277923956751,-2.1317295975054202,-2.3083308563756164,0.027451673548669397,0.20405293241886557,1.0741353501432314
2016,profiled_lslb0p5,0.045,5.0,10,-3.7020268343559986,-3.7315185357860696,-4.156861036838201,0.02949170143007107,0.4548342024822025,1.102069437824082
2016,profiled_lslb0p5,0.06,0.0,10,0.6151268488362732,0.6182245481988865,0.6151268488362733,0.003097699362613282,1.1102230246251565e-16,1.0020348282864056
2016,profiled_lslb0p5,0.06,1.0,10,-0.21530538465054586,-0.21369423151672207,-0.22941170306371345,0.0016111531338237894,0.01410631841316759,1.0143493932756138
2016,profiled_lslb0p5,0.06,2.0,10,-1.084065339903128,-1.0865441034820966,-1.1349879789563062,0.0024787635789687013,0.05092263905317829,1.0262412571490414
2016,profiled_lslb0p5,0.06,3.0,10,-1.9830622416239838,-1.9847535530425813,-2.087182914369548,0.0016913114185974631,0.10412067274556414,1.0361424420188912
2016,profiled_lslb0p5,0.06,5.0,10,-3.8138776124384632,-3.816418783185797,-4.053417345166199,0.002541170747333954,0.239539732727736,1.0507198792739871
2016,profiled_lslb0p5,0.075,0.0,10,0.21341002078114285,0.18415304221730505,0.21341002078114282,0.0292569785638378,2.7755575615628914e-17,1.0041298134969368
