dataset,mass_GeV,inj_nsigma,toy_index,delta_abs_pull_profiled_minus_fixed,pull_correct_fixed1p0,pull_correct_profiled0p5,A_hat_fixed1p0,A_hat_profiled0p5,sigma_A_fixed1p0,sigma_A_profiled0p5,strength_fixed1p0,strength_profiled0p5
2015,0.045,3.0,3,-19.200484789451647,21.960775333818003,-2.760290544366357,44292.83097024573,11922.580221447088,1776.3872635683429,68637.37751052876,5281.989369165611,201381.68435386365
2015,0.045,3.0,4,-10.040960747264602,12.808782194794352,-2.7678214475297502,28043.51743277029,10572.51132912705,1775.8357348826537,67153.77822750171,5297.224290925811,196442.17898986264
2015,0.045,3.0,0,-3.5146044222705646,8.105075275150059,-4.590470852879494,19691.115656842645,-112632.70565369356,1775.1073106602232,68454.06215880041,5303.737282472356,201603.67144748088
2015,0.045,3.0,7,-3.1523182291315814,6.4628654986535645,-3.310547269521983,16789.454002546703,-24508.491789163087,1776.242879663714,68888.87077612682,5309.835178339032,203551.37125919628
2015,0.045,3.0,8,-0.15461136498934014,2.1869129366778637,-2.0323015716885235,9195.456040978775,60667.89300902779,1775.0164135462903,68070.39336604506,5313.649683378849,199007.4604322972
2015,0.045,3.0,1,-13.324783813913477,-16.672061323108892,-3.3472775091954157,-24237.08046590669,-28791.814406216963,1774.366940542341,66016.28429178441,5345.273976512328,192183.0092443236
2015,0.045,3.0,6,-12.55329804818982,-14.655183375134488,-2.101885326944668,-20676.60185463352,54473.23367055362,1775.6181282415985,67167.14793087133,5345.40741896017,195650.876359174
2015,0.045,3.0,5,-30.229383525227302,-32.251600421477626,-2.0222168962503253,-51839.54532646342,61182.997159877545,1773.9112404067048,67756.22440542323,5371.931182301366,198200.77897865305
2015,0.045,5.0,2,-46.84757348136795,50.42833008066009,-3.5807565992921337,98369.68759272945,78006.38830081158,1777.8057031135104,67768.30961985479,8717.91477684135,320668.2101949792
2015,0.045,5.0,9,-22.903788359084768,26.269732046640488,-3.36594368755572,55502.465472699165,97206.32317384898,1778.1376323946463,68212.58258851685,8791.266327644076,326806.03494954045
2015,0.045,5.0,3,-16.56628325899963,21.230159115059035,-4.6638758560594065,46539.115314695446,11923.396897698874,1777.4619349250456,69408.52494422626,8803.315615276017,335636.1405897728
2015,0.045,5.0,4,-6.8372910987327025,11.579112352537077,-4.741821253804375,29404.362215560897,3927.965376763917,1776.9630726063024,68217.60014962222,8828.70715154302,327403.631649771
2015,0.045,5.0,0,-0.9263849168230216,7.398386350487903,-6.4720014336648815,21980.769463267046,-110182.90794447216,1776.2261530105811,68941.4289531368,8839.562137453926,336006.1190791348
2015,0.045,5.0,7,-0.29001464682519185,5.440658880393886,-5.150644233568694,18520.050420170435,-18456.844952237407,1777.4180178409968,69449.39587419097,8849.725297231718,339252.2854319938
2015,0.045,5.0,8,2.443937206326713,1.6426253482242423,-4.086562554550955,11773.60662749354,50165.20946262063,1776.1346645576302,68887.69901353151,8856.082805631415,331679.1007204953
2015,0.045,5.0,1,-11.490581757334867,-17.016797528168713,-5.526215770833845,-21304.90826122836,-52532.205476076255,1775.5219906723385,67467.00388555857,8908.78996085388,320305.01540720585
2015,0.045,5.0,6,-11.64642122706871,-15.73725813698384,-4.09083690991513,-19052.27836303868,47048.17103272243,1776.757455751519,68210.15578081874,8909.012364933616,326084.79393195664
2015,0.045,5.0,5,-28.923823897205743,-32.65722563086587,-3.733401733660124,-49014.93619132324,73715.99486482707,1775.048360927016,68735.8755026557,8953.218637168942,330334.6316310883
2015,0.06,0.0,0,-33.15221769228994,35.232022172123635,2.079804479833696,34038.96861807378,61969.80034134132,966.1372387817742,29795.974064973885,0.0,0.0
2015,0.06,0.0,1,-4.995128089519523,5.927273975501744,0.9321458859822209,5713.62732179859,25825.34419993086,963.9553267511868,27705.26007602144,0.0,0.0
2015,0.06,0.0,2,-53.69357501302574,-56.77942034530341,-3.085845332277663,-54598.229800156056,-94550.93384961988,961.5848395090604,30640.205087606195,0.0,0.0
2015,0.06,0.0,3,-9.365116055405075,-11.182241595837546,1.817125540432472,-10778.79579044529,47987.14214150096,963.9208470024084,26408.270135303985,0.0,0.0
2015,0.06,0.0,4,-0.015729119321040597,0.8916133956709161,-0.8758842763498755,859.610384280766,-26941.55970941088,964.1066278887962,30759.268589323285,0.0,0.0
2015,0.06,0.0,5,-4.0687924735510315,-4.75328375048926,-0.6844912769382285,-4582.875426160189,-21339.669110944065,964.1493474250236,31175.95480018053,0.0,0.0
2015,0.06,0.0,6,-26.692417393423987,-28.329025670542144,-1.6366082771181563,-27283.93025497665,-49657.438622254704,963.1086706715708,30341.67632935028,0.0,0.0
2015,0.06,0.0,7,-27.365182676147715,-27.72259039712349,-0.3574077209757751,-26711.96024845127,-10250.302202973213,963.5448876098864,28679.5768568972,0.0,0.0
2015,0.06,0.0,8,-35.774067156237315,-36.19584877663131,-0.42178162039399164,-34774.55019472996,-12685.506447806109,960.7331053162384,30076.00576800007,0.0,0.0
2015,0.06,0.0,9,-14.308508773843059,14.613491495298968,-0.30498272145590993,14090.393351297387,-9180.213679644212,964.2044377847787,30100.766482180392,0.0,0.0
