mass_GeV,mass_MeV,dataset_set,wide_support_eps2_obs_ee_channel,narrow_support_eps2_obs_ee_channel,N_eff_BR,wide_support_eps2_obs_minimal_visible,narrow_support_eps2_obs_minimal_visible,wide_over_narrow_observed_ratio_ee_channel,wide_over_narrow_observed_ratio_minimal_visible,wide_relative_change,wide_tightening_percent,source_wide_table,source_narrow_table,source_narrow_sha256,input_fraction_match_validated,ratio_interpretation
0.049000000000000002,49,2015+2016,5.7808992147260935e-06,5.548337536801281e-06,1,5.7808992147260935e-06,5.548337536801281e-06,1.0419155605408406,1.0419155605408406,0.041915560540840557,-4.1915560540840557,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/derived/combined_bands300_reviewed.csv,study_results/finalist_k15_2021_10pct_combined100toy_20260803/derived/combined_bands100_reviewed.csv,1ac0adc3b2ccacc28798a50ac82909d5a894f00ad0bbac05aaf08dd778246619,True,wide-support observed epsilon2 divided by otherwise-matched narrow-support finalist observed epsilon2
0.050000000000000003,50,2015+2016+2021,9.0431797336707003e-06,8.7185029919420412e-06,1,9.0431797336707003e-06,8.7185029919420412e-06,1.0372399644788488,1.0372399644788488,0.037239964478848808,-3.7239964478848808,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/derived/combined_bands300_reviewed.csv,study_results/finalist_k15_2021_10pct_combined100toy_20260803/derived/combined_bands100_reviewed.csv,1ac0adc3b2ccacc28798a50ac82909d5a894f00ad0bbac05aaf08dd778246619,True,wide-support observed epsilon2 divided by otherwise-matched narrow-support finalist observed epsilon2
0.050999999999999997,51,2015+2016+2021,1.0909552861461728e-05,1.073229783208838e-05,1,1.0909552861461728e-05,1.073229783208838e-05,1.0165160371195976,1.0165160371195976,0.016516037119597593,-1.6516037119597593,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/derived/combined_bands300_reviewed.csv,study_results/finalist_k15_2021_10pct_combined100toy_20260803/derived/combined_bands100_reviewed.csv,1ac0adc3b2ccacc28798a50ac82909d5a894f00ad0bbac05aaf08dd778246619,True,wide-support observed epsilon2 divided by otherwise-matched narrow-support finalist observed epsilon2
0.051999999999999998,52,2015+2016+2021,9.455463330046686e-06,9.3925958635815605e-06,1,9.455463330046686e-06,9.3925958635815605e-06,1.006693300486704,1.006693300486704,0.0066933004867040236,-0.66933004867040236,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/derived/combined_bands300_reviewed.csv,study_results/finalist_k15_2021_10pct_combined100toy_20260803/derived/combined_bands100_reviewed.csv,1ac0adc3b2ccacc28798a50ac82909d5a894f00ad0bbac05aaf08dd778246619,True,wide-support observed epsilon2 divided by otherwise-matched narrow-support finalist observed epsilon2
0.052999999999999999,53,2015+2016+2021,8.0949720587890769e-06,8.06329002326332e-06,1,8.0949720587890769e-06,8.06329002326332e-06,1.0039291697848336,1.0039291697848336,0.0039291697848335971,-0.39291697848335971,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/derived/combined_bands300_reviewed.csv,study_results/finalist_k15_2021_10pct_combined100toy_20260803/derived/combined_bands100_reviewed.csv,1ac0adc3b2ccacc28798a50ac82909d5a894f00ad0bbac05aaf08dd778246619,True,wide-support observed epsilon2 divided by otherwise-matched narrow-support finalist observed epsilon2
0.053999999999999999,54,2015+2016+2021,6.0967505490750072e-06,6.0458590383747992e-06,1,6.0967505490750072e-06,6.0458590383747992e-06,1.0084175814184857,1.0084175814184857,0.0084175814184856979,-0.84175814184856979,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/derived/combined_bands300_reviewed.csv,study_results/finalist_k15_2021_10pct_combined100toy_20260803/derived/combined_bands100_reviewed.csv,1ac0adc3b2ccacc28798a50ac82909d5a894f00ad0bbac05aaf08dd778246619,True,wide-support observed epsilon2 divided by otherwise-matched narrow-support finalist observed epsilon2
0.055,55,2015+2016+2021,3.9709970047126591e-06,4.0294574174621633e-06,1,3.9709970047126591e-06,4.0294574174621633e-06,0.98549174077478552,0.98549174077478552,-0.014508259225214482,1.4508259225214482,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/derived/combined_bands300_reviewed.csv,study_results/finalist_k15_2021_10pct_combined100toy_20260803/derived/combined_bands100_reviewed.csv,1ac0adc3b2ccacc28798a50ac82909d5a894f00ad0bbac05aaf08dd778246619,True,wide-support observed epsilon2 divided by otherwise-matched narrow-support finalist observed epsilon2
0.056000000000000001,56,2015+2016+2021,2.8936727998234469e-06,3.0123001552096811e-06,1,2.8936727998234469e-06,3.0123001552096811e-06,0.96061901229162983,0.96061901229162983,-0.039380987708370174,3.9380987708370174,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/derived/combined_bands300_reviewed.csv,study_results/finalist_k15_2021_10pct_combined100toy_20260803/derived/combined_bands100_reviewed.csv,1ac0adc3b2ccacc28798a50ac82909d5a894f00ad0bbac05aaf08dd778246619,True,wide-support observed epsilon2 divided by otherwise-matched narrow-support finalist observed epsilon2
0.057000000000000002,57,2015+2016+2021,2.3808632793878816e-06,2.5087910852355287e-06,1,2.3808632793878816e-06,2.5087910852355287e-06,0.94900818701066247,0.94900818701066247,-0.050991812989337526,5.0991812989337522,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/derived/combined_bands300_reviewed.csv,study_results/finalist_k15_2021_10pct_combined100toy_20260803/derived/combined_bands100_reviewed.csv,1ac0adc3b2ccacc28798a50ac82909d5a894f00ad0bbac05aaf08dd778246619,True,wide-support observed epsilon2 divided by otherwise-matched narrow-support finalist observed epsilon2
0.058000000000000003,58,2015+2016+2021,2.1928443654940022e-06,2.336368193742772e-06,1,2.1928443654940022e-06,2.336368193742772e-06,0.93856968750338532,0.93856968750338532,-0.061430312496614681,6.1430312496614681,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/derived/combined_bands300_reviewed.csv,study_results/finalist_k15_2021_10pct_combined100toy_20260803/derived/combined_bands100_reviewed.csv,1ac0adc3b2ccacc28798a50ac82909d5a894f00ad0bbac05aaf08dd778246619,True,wide-support observed epsilon2 divided by otherwise-matched narrow-support finalist observed epsilon2
0.058999999999999997,59,2015+2016+2021,2.0789715585293425e-06,2.2305810828940315e-06,1,2.0789715585293425e-06,2.2305810828940315e-06,0.93203137714770468,0.93203137714770468,-0.067968622852295324,6.7968622852295324,study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/derived/combined_bands300_reviewed.csv,study_results/finalist_k15_2021_10pct_combined100toy_20260803/derived/combined_bands100_reviewed.csv,1ac0adc3b2ccacc28798a50ac82909d5a894f00ad0bbac05aaf08dd778246619,True,wide-support observed epsilon2 divided by otherwise-matched narrow-support finalist observed epsilon2
