mass_GeV,mass_MeV,dataset_set,dataset,band_lml,reviewed_lml,delta_lml,band_ls_opt,reviewed_ls_opt,delta_ls_opt,band_const_opt,reviewed_const_opt,delta_const_opt,band_sigma_val,reviewed_sigma_val,delta_sigma_val,band_integral_density,reviewed_integral_density,delta_integral_density,band_state_sha256,coordinate_closure_pass,lml_closure_pass,metadata_json_closure_pass,fixed_reviewed_state_closure_pass,reviewed_selected_attempt,reviewed_row_source,review_status,branch_multiplicity,interpolated
0.13100000000000001,131,2016+2021,2021,1608.6598748178967,1608.6598753218414,-5.0394464778946713e-07,0.30053115914875611,0.30053115914875611,0,53.309226988985216,53.309226988985216,0,0.0031418258750000004,0.003141825875,4.3368086899420177e-19,777717056.78160858,777717056.78160858,0,da4ae679b4328568aa457f0b697bc6f7005574058d4fe010a0c2e78f09dad83b,True,True,True,True,attempt_02,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,resolved_reproduced_max_lml,3,False
0.13200000000000001,132,2016+2021,2016,2108.8972220989153,2108.8972243241278,-2.2252124836086296e-06,0.34061217359764467,0.34061217359764467,0,40.857211871625232,40.857211871625232,0,0.0057414592486400001,0.0057414592486400001,0,88682834.668356195,88682834.668356195,0,23df6c5ea017697f4ba05f32db649c9de24511f2566416694e841d3c650c4aa8,True,True,True,True,attempt_03,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_03/results_single.csv,resolved_reproduced_max_lml,3,False
0.13200000000000001,132,2016+2021,2021,1607.7524222808088,1607.7524232125816,-9.3177277449285612e-07,0.3019741624768747,0.3019741624768747,0,54.367742472201016,54.367742472201016,0,0.0031630360000000001,0.0031630360000000001,0,758729637.44514716,758729637.44514716,0,d313d7af1ed3a85079a7a921416804cc3b7a06acce9a97b1f052c3ef6067c6b6,True,True,True,True,attempt_02,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,resolved_reproduced_max_lml,3,False
0.13300000000000001,133,2016+2021,2016,2110.0366136600746,2110.036614454541,-7.9446635936619714e-07,0.34098056053114151,0.34098056053114151,0,41.15819861314526,41.15819861314526,0,0.0057913461196900003,0.0057913461196900003,0,83962435.832517385,83962435.832517385,0,1b2915f0753e189434a7ce2d41419730d32775c8e0dca05de7e8157427168853,True,True,True,True,attempt_02,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,resolved_reproduced_max_lml,3,False
0.13300000000000001,133,2016+2021,2021,1605.1016163316126,1605.1016163316126,0,0.30052451352556703,0.30052451352556703,0,53.29397188609974,53.29397188609974,0,0.0031844178750000006,0.0031844178750000001,4.3368086899420177e-19,740120080.29325938,740120080.29325938,0,62acf611e55304cd54eab4da13036c34ac93389a7f5d80a2c472996a91305871,True,True,True,True,attempt_03,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_03/results_single.csv,resolved_reproduced_max_lml,3,False
0.13400000000000001,134,2016+2021,2016,2106.3690093093487,2106.3690108498586,-1.5405098565679509e-06,0.34133695094555688,0.34133695094555688,0,41.308823209012338,41.308823209012338,0,0.0058411196910400009,0.00584111969104,8.6736173798840355e-19,79501335.139411822,79501335.139411822,0,d723bb103ab276529b408539670a2e60b1a7a593c0061c1e70bd21bcdba0f3c4,True,True,True,True,attempt_02,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,resolved_reproduced_max_lml,3,False
0.13400000000000001,134,2016+2021,2021,1607.0516732346682,1607.0516732346682,0,0.300860773447506,0.300860773447506,0,53.43853543863564,53.43853543863564,0,0.0032059715000000008,0.0032059714999999002,1.0061396160665481e-16,721731213.31488729,721731213.3148874,-1.1920928955078125e-07,75a4badfee80748556f0a700ba6cd8db496675870342bf64c2a35647fb9459be,True,True,True,True,attempt_02,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,resolved_reproduced_max_lml,3,False
0.13500000000000001,135,2016+2021,2016,2109.9453529355133,2109.9453538337721,-8.9825880422722548e-07,0.34168078042870842,0.34168078042870842,0,41.124480410912618,41.124480410912618,0,0.0058907653062500011,0.0058907653062500002,8.6736173798840355e-19,75305196.174746484,75305196.174746484,0,15867e0f9e7970511d7668bcca4dd46503326844cfed94032e946156f5b6a886,True,True,True,True,attempt_02,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,resolved_reproduced_max_lml,3,False
0.13500000000000001,135,2016+2021,2021,1601.6711893537331,1601.6711911224927,-1.7687596027826658e-06,0.30058072388609502,0.30058072388609502,0,53.325497539591829,53.325497539591829,0,0.0032276968750000004,0.0032276968749999002,1.0018028073766061e-16,703839749.13368249,703839749.13368249,0,e097b2cba2229b81e5199ac43f58e701ef866d55fa8bf11fc8a96c3264d734ab,True,True,True,True,attempt_01,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_01/results_single.csv,resolved_reproduced_max_lml,3,False
0.13600000000000001,136,2016+2021,2016,2113.7232209153499,2113.7232226527012,-1.7373513401253149e-06,0.34201148622667071,0.34201148622667071,0,41.088519876130114,41.088519876130114,0,0.00594026804224,0.00594026804224,0,71346997.506362766,71346997.506362766,0,92bc9cffbf92e78087faf35973132025a3a277815b43119e5b7f8c8411be3245,True,True,True,True,attempt_02,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,resolved_reproduced_max_lml,3,False
0.13600000000000001,136,2016+2021,2021,1606.6626692856744,1606.662669969508,-6.838336048531346e-07,0.30034790985804621,0.30034790985804621,0,53.310890526319795,53.310890526319795,0,0.0032495940000000002,0.0032495940000000002,0,686424779.27219319,686424779.27219319,0,c7f99bab7aa9e2783b052ff7c8f8c367b9f6a18740c8852f4eafe7141652c343,True,True,True,True,attempt_03,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_03/results_single.csv,resolved_reproduced_max_lml,3,False
0.13700000000000001,137,2016+2021,2016,2109.976602768731,2109.976602768731,0,0.342328507175301,0.342328507175301,0,41.254444215541341,41.254444215541341,0,0.0059896127092900001,0.0059896127092900001,0,67566701.312240809,67566701.312240809,0,dc0bc06319355c34e800710bee9c4600f9efcf3834e7f51d6fe3da9058dbc003,True,True,True,True,attempt_02,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,resolved_reproduced_max_lml,3,False
0.13700000000000001,137,2016+2021,2021,1602.7514898876193,1602.7514898876193,0,0.29950610285181511,0.29950610285181511,0,52.766977488898362,52.766977488898362,0,0.0032716628750000007,0.0032716628749999001,1.0061396160665481e-16,669116428.58808219,669116428.58808219,0,eb2420db2ac3d4f66663722f1861d6e9a6adc542ad628964b4d852b0eeb0834b,True,True,True,True,attempt_01,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_01/results_single.csv,resolved_reproduced_max_lml,3,False
0.13800000000000001,138,2016+2021,2016,2116.2807981509304,2116.2807989348476,-7.8391713032033294e-07,0.3426312836340184,0.3426312836340184,0,41.265173091864845,41.265173091864845,0,0.0060387838510400031,0.0060387838510398998,1.0321604682062002e-16,63994955.082066223,63994955.082066223,0,47c821067b792a0a8469e158b4cb75de32702172ea19864896b08f93c1bce1a0,True,True,True,True,attempt_02,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,resolved_reproduced_max_lml,3,False
0.13800000000000001,138,2016+2021,2021,1602.0119701115241,1602.0119712054384,-1.0939143066934776e-06,0.3010068244675187,0.3010068244675187,0,53.664305923960541,53.664305923960541,0,0.0032939035000000005,0.0032939035000000001,4.3368086899420177e-19,652262296.79822314,652262296.79822314,0,314d9e2b21c191503f0b2d2695b72a891af75b9f4332e2015e75ce4c55fc58d2,True,True,True,True,attempt_03,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_03/results_single.csv,resolved_reproduced_max_lml,3,False
0.13900000000000001,139,2016+2021,2016,2110.0934839343454,2110.0934841890848,-2.547394615248777e-07,0.34291925742165752,0.34291925742165752,0,41.627479334200274,41.627479334200274,0,0.006087765744490002,0.0060877657444900002,1.7347234759768071e-18,60635664.96750772,60635664.96750772,0,7fb1c30b8fead9816f93e71940d67e38483e4dbca3c8010dd7637dafb3f3781f,True,True,True,True,attempt_02,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,resolved_reproduced_max_lml,3,False
0.13900000000000001,139,2016+2021,2021,1602.0944227844143,1602.0944247733603,-1.9889459963451372e-06,0.30066058184432848,0.30066058184432848,0,53.467210876733397,53.467210876733397,0,0.0033163158750000006,0.0033163158750000002,4.3368086899420177e-19,635785521.24486268,635785521.24486268,0,5031ae37bab55dd01fdd9603e74a8e7ebf4adaf8f09783b96f43d0afbdbf98bf,True,True,True,True,attempt_02,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,resolved_reproduced_max_lml,3,False
0.14000000000000001,140,2016+2021,2016,2114.134537617223,2114.1345394568552,-1.8396322047919966e-06,0.34319187175433891,0.34319187175433891,0,42.027508873309351,42.027508873309351,0,0.0061365424000000019,0.0061365424000000002,1.7347234759768071e-18,57466465.951726526,57466465.951726526,0,d1b294a02ba5659c091ba73e458a80ccbbf1be079fb79a41c7ba125c205319de,True,True,True,True,attempt_02,unchanged_card_max_lml:study_results/v4_wide_support_2015full_2016full_2021_10pct_20260803/observed_attempt_02/results_single.csv,resolved_reproduced_max_lml,3,False
