mass_GeV,mass_MeV,dataset_set,eps2_observed_2015,eps2_observed_2016,eps2_observed_2021,best_active_individual_dataset,best_active_individual_eps2,combined_observed_eps2,combined_over_best_active_individual_epsilon
0.109,109.0,2016+2021,,2.2436871895811775e-05,6.696239717466146e-06,2021,6.696239717466146e-06,6.357796188614314e-06,0.9744011875439704
0.11,110.0,2016+2021,,2.400843839953053e-05,7.106151124450296e-06,2021,7.106151124450296e-06,6.82118827493472e-06,0.9797444202467166
0.111,111.0,2016+2021,,2.6356179145555225e-05,7.358471420417976e-06,2021,7.358471420417976e-06,7.221033528664243e-06,0.9906172289636522
0.112,112.0,2016+2021,,2.922059816175299e-05,7.564571612403545e-06,2021,7.564571612403545e-06,7.623372119200472e-06,1.0038790486464855
0.113,113.0,2016+2021,,3.082014243561433e-05,7.482642722632394e-06,2021,7.482642722632394e-06,7.604740391378532e-06,1.0081257127494037
0.114,114.0,2016+2021,,3.263856182103227e-05,7.654162051785634e-06,2021,7.654162051785634e-06,7.862037240698467e-06,1.013488259185745
0.115,115.0,2016+2021,,3.180440641777721e-05,7.468839399807668e-06,2021,7.468839399807668e-06,7.555196227551684e-06,1.0057645261453172
0.116,116.0,2016+2021,,3.185971440930918e-05,7.140748625468641e-06,2021,7.140748625468641e-06,7.162665916570794e-06,1.0015334876060562
0.117,117.0,2016+2021,,2.994943467823212e-05,7.248594352747303e-06,2021,7.248594352747303e-06,7.1208174632460216e-06,0.9911469032011002
0.118,118.0,2016+2021,,3.007563180845889e-05,7.614528153081484e-06,2021,7.614528153081484e-06,7.459148734062207e-06,0.9897445867648721
0.119,119.0,2016+2021,,2.9424243526706503e-05,8.637909259457124e-06,2021,8.637909259457124e-06,8.344513964546907e-06,0.98287028239313
0.12,120.0,2016+2021,,2.8129439736719576e-05,1.0139544768524937e-05,2021,1.0139544768524937e-05,9.573128364267066e-06,0.9716675800647461
0.121,121.0,2016+2021,,2.71886361905997e-05,1.220293397624168e-05,2021,1.220293397624168e-05,1.1300592753067155e-05,0.9623177165505205
0.122,122.0,2016+2021,,2.7254246158729024e-05,1.3074582665408024e-05,2021,1.3074582665408024e-05,1.2060476590941807e-05,0.9604357502024385
0.123,123.0,2016+2021,,2.6287642908513404e-05,1.3820338327641336e-05,2021,1.3820338327641336e-05,1.251790499102416e-05,0.9517140659619133
0.124,124.0,2016+2021,,2.6017418983089022e-05,1.2860173454062485e-05,2021,1.2860173454062485e-05,1.1562595528040917e-05,0.9482093943970814
0.125,125.0,2016+2021,,2.7510491243897265e-05,1.1676977617070802e-05,2021,1.1676977617070802e-05,1.0659639546624776e-05,0.9554457563139205
0.126,126.0,2016+2021,,2.959647930639294e-05,1.0199923499204382e-05,2021,1.0199923499204382e-05,9.528702813347624e-06,0.966536888511113
0.127,127.0,2016+2021,,3.195343171776456e-05,8.646997770159068e-06,2021,8.646997770159068e-06,8.269687202783886e-06,0.9779392294520226
0.128,128.0,2016+2021,,3.468669722025559e-05,7.719707065736873e-06,2021,7.719707065736873e-06,7.518661086679082e-06,0.9868924898526419
0.129,129.0,2016+2021,,3.726888333261365e-05,7.51798903448982e-06,2021,7.51798903448982e-06,7.387795789207751e-06,0.9913034033330561
0.13,130.0,2016+2021,,4.0595083078781607e-05,7.390330078758724e-06,2021,7.390330078758724e-06,7.347028439757904e-06,0.9970660813791892
0.131,131.0,2016+2021,,4.391389328836397e-05,7.0519008830672e-06,2021,7.0519008830672e-06,7.053460187011116e-06,1.0001105530112846
0.132,132.0,2016+2021,,4.930512520460558e-05,6.863058086913144e-06,2021,6.863058086913144e-06,6.941313044186302e-06,1.0056850129023855
0.133,133.0,2016+2021,,5.151718389803098e-05,6.761759330621005e-06,2021,6.761759330621005e-06,6.758323054961628e-06,0.9997458714385771
0.134,134.0,2016+2021,,5.382848589816848e-05,6.535392699836673e-06,2021,6.535392699836673e-06,6.608687391294967e-06,1.0055918854783192
0.135,135.0,2016+2021,,5.223251064396762e-05,6.614231836243721e-06,2021,6.614231836243721e-06,6.641043816523751e-06,1.0020247901856851
0.136,136.0,2016+2021,,5.2198977275355886e-05,6.890583358259779e-06,2021,6.890583358259779e-06,6.936248967753676e-06,1.0033081524058933
0.137,137.0,2016+2021,,5.596626819293197e-05,7.178481219383895e-06,2021,7.178481219383895e-06,7.244576465970057e-06,1.0045931583165615
0.138,138.0,2016+2021,,5.6006442398050965e-05,8.362027288821157e-06,2021,8.362027288821157e-06,8.475707549989692e-06,1.0067744636406066
0.139,139.0,2016+2021,,5.355721381488999e-05,1.0419135063782454e-05,2021,1.0419135063782454e-05,1.0451271998361148e-05,1.0015410200374886
0.14,140.0,2016+2021,,5.243629711422724e-05,1.2139335589457128e-05,2021,1.2139335589457128e-05,1.2054276454442524e-05,0.9964903903119213
0.141,141.0,2016+2021,,4.6994062201793146e-05,1.3861521841731028e-05,2021,1.3861521841731028e-05,1.3388751113815052e-05,0.9827987092073127
