mass_GeV,mass_MeV,dataset_set,density_meta_terms,density_current_samples,density_full_campaign_scale,campaign_scale_sqrt_current_over_full,current_candidate_eps2_observed,current_candidate_eps2_expected_median,projected_full_campaign_eps2_observed_equivalent,projected_full_campaign_eps2_expected_median,campaign_scale_2015,campaign_scale_2016,campaign_scale_2021
0.099,99.0,2016+2021,2016:49894518.518518522;2021:133771840.00000007,183666358.5185186,13876129185.185192,0.11504841518036933,7.90918322768902e-06,7.160869510367869e-06,9.099389957167799e-07,8.238466884812507e-07,1.0,10.0,100.0
0.1,100.0,2016+2021,2016:47622285.714285769;2021:131869257.14285724,179491542.857143,13663148571.428583,0.11461635681859421,7.671285233727311e-06,7.239899364513485e-06,8.792547656061024e-07,8.298108888937911e-07,1.0,10.0,100.0
0.101,101.0,2016+2021,2016:45465000.000000007;2021:129864853.3333334,175329853.3333334,13441135333.33334,0.11421153219952247,7.66829361796402e-06,7.17287832334021e-06,8.758075634634903e-07,8.192254235894272e-07,1.0,10.0,100.0
0.102,102.0,2016+2021,2016:43336571.428571478;2021:127276800.00000007,170613371.42857155,13161045714.285723,0.11385741873432127,7.263907128555686e-06,7.246321125890832e-06,8.27049715583186e-07,8.250474187139108e-07,1.0,10.0,100.0
0.103,103.0,2016+2021,2016:41343172.413793109;2021:125856426.66666675,167199599.08045986,12999074390.804607,0.11341262467300765,6.82843776371688e-06,7.24684204298746e-06,7.744310491994142e-07,8.218833766859087e-07,1.0,10.0,100.0
0.104,104.0,2016+2021,2016:39377517.241379313;2021:123158293.33333322,162535810.57471254,12709604505.747116,0.11308591399276362,6.709586016261119e-06,7.328265879983271e-06,7.587596671619545e-07,8.287236450198924e-07,1.0,10.0,100.0
0.105,105.0,2016+2021,2016:37481034.482758626;2021:121141714.28571418,158622748.7684728,12488981773.399006,0.11269878133618745,6.487116104095771e-06,7.379197754597866e-06,7.310900793179495e-07,8.316265941819103e-07,1.0,10.0,100.0
0.106,106.0,2016+2021,2016:35694999.99999997;2021:119073706.66666673,154768706.6666667,12264320666.666674,0.11233622566190526,6.33654126378508e-06,7.333175772623741e-06,7.118231293245351e-07,8.23781288411877e-07,1.0,10.0,100.0
0.107,107.0,2016+2021,2016:33973533.333333306;2021:116374720.00000007,150348253.33333337,11977207333.333342,0.11203956391066043,6.278272377726688e-06,7.375107041012452e-06,7.034148993128433e-07,8.263037766694763e-07,1.0,10.0,100.0
0.108,108.0,2016+2021,2016:32316866.666666698;2021:115037759.9999999,147354626.6666666,11826944666.666656,0.11162092206412662,6.295678105779899e-06,7.47461682589214e-06,7.027293951860864e-07,8.34323622182116e-07,1.0,10.0,100.0
0.109,109.0,2016+2021,2016:30792000;2021:112308906.66666673,143100906.66666675,11538810666.666674,0.11136293517052412,6.357796188614314e-06,7.392855048262298e-06,7.080228447800611e-07,8.232900374647162e-07,1.0,10.0,100.0
