truth_model,study_scenario,background_toy_index,mass_mev,factor_previous,factor_current,lml_previous,lml_current,delta_lml,lml_tolerance,regression_beyond_tolerance
gengamma,2021_10pct_x10,5,50,6,9,2074.771306751102,2087.5548816379123,12.783574886810129,0.002087554881637912,False
gengamma,2021_10pct_x10,5,70,6,9,2017.057322028121,2046.3879689286784,29.33064690055744,0.0020463879689286784,False
gengamma,2021_10pct_x10,5,90,6,9,1983.5560679738248,2026.0391050654,42.48303709157517,0.0020260391050654,False
gengamma,2021_10pct_x10,5,110,6,9,1961.8059149905696,2011.7403126386644,49.93439764809477,0.0020117403126386642,False
gengamma,2021_10pct_x10,5,130,6,9,1948.190811987654,2001.5961896912056,53.40537770355172,0.0020015961896912055,False
gengamma,2021_10pct_x10,5,150,6,9,1922.2333631693025,1977.995650132965,55.76228696366252,0.001977995650132965,False
gengamma,2021_10pct_x10,5,170,6,9,1910.0275680217949,1965.8492469243392,55.82167890254436,0.001965849246924339,False
gengamma,2021_10pct_x10,5,190,6,9,1905.337124964487,1959.9967276955383,54.659602731051336,0.0019599967276955382,False
gengamma,2021_10pct_x10,5,210,6,9,1892.8093233846744,1941.5504891517016,48.74116576702727,0.0019415504891517016,False
gengamma,2021_10pct_x10,5,230,6,9,1882.7197230361023,1929.456163942412,46.73644090630978,0.001929456163942412,False
gengamma,2021_10pct_x10,5,250,6,9,1876.214247459737,1917.805558672607,41.591311212870096,0.001917805558672607,False
gengamma,2021_10pct_x10,6,50,6,9,2052.4439875868043,2062.4891986385014,10.045211051697152,0.0020624891986385013,False
gengamma,2021_10pct_x10,6,70,6,9,1991.951640520546,2029.5041051816984,37.55246466115227,0.002029504105181698,False
gengamma,2021_10pct_x10,6,90,6,9,1958.187131234048,2007.8862243274689,49.69909309342097,0.002007886224327469,False
gengamma,2021_10pct_x10,6,110,6,9,1934.1031693626585,1991.7836146729903,57.680445310331834,0.00199178361467299,False
gengamma,2021_10pct_x10,6,130,6,9,1918.669090268876,1980.6130604405585,61.943970171682395,0.0019806130604405584,False
gengamma,2021_10pct_x10,6,150,6,9,1903.123037032938,1965.1121412168925,61.989104183954396,0.0019651121412168925,False
gengamma,2021_10pct_x10,6,170,6,9,1886.7870186601308,1946.4309710747816,59.64395241465081,0.0019464309710747814,False
gengamma,2021_10pct_x10,6,190,6,9,1872.466681454008,1930.9186754251311,58.4519939711231,0.001930918675425131,False
gengamma,2021_10pct_x10,6,210,6,9,1877.8194804987256,1933.3818216285792,55.56234112985362,0.001933381821628579,False
