truth_model,study_scenario,factor,mass_mev,anchor_nsigma,injection_rows,injection_toys,sigma_A_over_anchor_median,sigmaA_ref_over_anchor_median,Ahat_minus_Ainj_over_anchor_sigma_median,pull_mean,pull_width,refit_ls_ratio_median,refit_ls_ratio_max,refit_bound_rows,Nsig_win_median,Nsig_train_median,refit_bound_row_fraction,response_rows,paired_response_mean,paired_response_median,paired_response_std,paired_response_candidate_prefit_sigma_units_median,paired_response_anchor_prefit_sigma_units_median,paired_response_anchor_fitted_sigma_units_median
gengamma,2021_10pct,12,120,5.0,10,10,1.006785088022161,1.007279212859896,-0.11261445607468018,-0.2582316090827668,1.6304921721526933,12.000000000000043,12.000000000000043,8,24966.0,470.5,0.8,10.0,0.9818498508584023,0.9821727836937707,0.007593868024155343,4.856429195531191,4.910863918468854,4.906635352396698
gengamma,2021_10pct,12,220,0.0,10,10,0.9999985931366563,0.9999999327289617,0.5136291169124065,0.30477558659595727,1.5034905940753671,11.612215216496676,12.000000000000002,1,0.0,0.0,0.1,,,,,,,
gengamma,2021_10pct,12,220,1.0,10,10,0.9999979391494459,0.9999999327289617,0.4669366437657973,0.24949791325930892,1.452008630829184,11.489612230469898,12.000000000000002,1,1925.0,42.5,0.1,10.0,0.9713583280347743,0.9648056273745778,0.02492927000818093,0.9648079161713201,0.9648056273745778,0.964953716144261
gengamma,2021_10pct,12,220,3.0,10,10,0.9999994356186825,0.9999999327289617,0.47134458274472596,0.22288060369171828,1.47341467678561,11.49676802587761,12.000000000000002,1,5908.5,127.0,0.1,10.0,0.9816602649636978,0.9813463349175872,0.013780209545602369,2.9440399459394317,2.944039004752762,2.939607095952385
gengamma,2021_10pct,12,220,5.0,10,10,1.0000026287351904,0.9999999327289617,0.4507269382273963,0.1690137404651989,1.4184477300698604,11.505825065489297,12.000000000000002,1,9802.5,214.5,0.1,10.0,0.9782334773327209,0.97885548382737,0.015639914873049793,4.888839077988282,4.894277419136849,4.883738983040164
gengamma,2021_10pct,15,60,0.0,10,10,1.0,1.0,-1.243624654877475,-0.8458916602856247,1.0869607090018054,8.864230893719736,9.63861360837924,0,0.0,0.0,0.0,,,,,,,
gengamma,2021_10pct,15,60,1.0,10,10,1.0,1.0,-1.319173877362005,-0.9216785592466537,1.072881810922894,8.862260745630415,9.634282623650055,0,6706.0,241.5,0.0,10.0,0.9237629083651593,0.924011163708756,0.02772940828661587,0.924011163708756,0.924011163708756,0.9240336694125092
gengamma,2021_10pct,15,60,3.0,10,10,1.0,1.0,-1.4255905891901977,-1.2581499160477847,0.8358515076061268,8.937067002051723,9.621116426303457,0,19911.5,720.0,0.0,10.0,0.867383587653457,0.9263111188695408,0.1921012305332712,2.778933356608622,2.778933356608622,2.777941081824272
gengamma,2021_10pct,15,60,5.0,10,10,1.0,1.0,-1.450987645695893,-1.3055102760825625,0.8452628496512119,8.85608869428717,9.609765907174868,0,33197.0,1214.5,0.0,10.0,0.7111292824107874,0.9268893989265661,0.5866805778891702,4.634446994632831,4.634446994632831,4.6362968562678954
gengamma,2021_10pct,15,120,0.0,10,10,1.0,1.0,0.009312311892196612,-0.11161346281942246,1.6424449994197812,12.252275434776319,12.749045841866716,0,0.0,0.0,0.0,,,,,,,
gengamma,2021_10pct,15,120,1.0,10,10,1.0,1.0,-0.0057213521693395275,-0.12749412396563597,1.645186213339298,12.249259560223788,12.744293087059104,0,4968.0,94.0,0.0,10.0,0.9839671637551752,0.9820956794865816,0.02487376676829721,0.9820956794865816,0.9820956794865816,0.9819302145083972
gengamma,2021_10pct,15,120,3.0,10,10,1.0,1.0,-0.061629114291499726,-0.16415261307256665,1.6390509089016427,12.24330681945331,12.731410491030667,0,14941.5,295.0,0.0,10.0,0.9823294274695217,0.9832784492704281,0.007843055648074748,2.949835347811284,2.949835347811284,2.947172102806447
gengamma,2021_10pct,15,120,5.0,10,10,1.0,1.0,-0.08380659954220272,-0.20436895629017865,1.6279627653527702,12.236560699194946,12.719907640318572,0,24966.0,470.5,0.0,10.0,0.9812792943027965,0.9813316973395856,0.0075064963847309134,4.906658486697928,4.906658486697928,4.902963987569196
