factor,truth_model,study_scenario,background_toy_index,mass_mev,injection_toy,anchor_nsigma,inj_nsigma,strength,anchor_strength,A_hat,sigmaA_ref,injection_anchor_sigmaA_ref,anchor_sigma_A,sigma_A_over_anchor,sigmaA_ref_over_anchor,Ahat_minus_Ainj_over_anchor_sigma,A_hat_zero,delta_A_hat,paired_response,paired_response_candidate_prefit_sigma_units,paired_response_anchor_prefit_sigma_units,paired_response_anchor_fitted_sigma_units
6,gengamma,2021_10pct,6,220,0,3.0,1.7977967785676607,5896.715050764029,5896.715050764029,1746.547807188448,3279.9675252850634,1965.5716835880096,1967.4359289000267,1.6680174838417088,1.6687091865801194,-2.109429426703566,-3876.880599694897,5623.428406883345,0.9536544259764977,1.7144768548873393,2.8609632779294936,2.8582523701431772
6,gengamma,2021_10pct,6,220,0,5.0,2.996327964279434,9827.858417940048,9827.858417940048,5628.132421183955,3279.9675252850634,1965.5716835880096,1969.1762864828056,1.6681676945009547,1.6687091865801194,-2.1327323640776354,-3876.880599694897,9505.01302087885,0.9671499747623687,2.8978985150326344,4.835749873811844,4.826897970549904
6,gengamma,2021_10pct,7,60,0,1.0,0.6828128910196574,6793.043437619439,6793.043437619439,420.7372047973423,9948.616270960056,6793.043437619439,6792.037277917424,1.4656152942754819,1.4645300537701933,-0.9382024821241816,-5686.072484188438,6106.80968898578,0.898979926312065,0.6138350824537797,0.898979926312065,0.8991130995173588
6,gengamma,2021_10pct,7,60,0,3.0,2.048438673058972,20379.130312858317,20379.130312858317,13130.273385836012,9948.616270960056,6793.043437619439,6795.114582327623,1.4658097130355607,1.4645300537701933,-1.0667747893280197,-5686.072484188438,18816.34587002445,0.9233144683388269,1.891353064340137,2.769943405016481,2.769099128800714
6,gengamma,2021_10pct,7,60,0,5.0,3.414064455098287,33965.217188097195,33965.217188097195,26172.908574485467,9948.616270960056,6793.043437619439,6797.299889099771,1.466208579707268,1.4645300537701933,-1.146382937452497,-5686.072484188438,31858.981058673904,0.9379884392389105,3.2023529896986838,4.689942196194552,4.687005366610841
6,gengamma,2021_10pct,7,120,0,1.0,0.5550905499053213,5100.713760849321,5100.713760849321,7730.734538638597,9188.976035926613,5100.713760849321,5102.0548339541,1.8009728100801041,1.8015078804180054,0.515482656181295,2463.6862414000852,5267.048297238512,1.0326100511002785,0.5731920811030153,1.0326100511002785,1.032338629954814
6,gengamma,2021_10pct,7,120,0,3.0,1.6652716497159636,15302.141282547964,15302.141282547964,17135.221557213008,9188.976035926613,5100.713760849321,5103.320889573467,1.8010435498209425,1.8015078804180054,0.3591936141836952,2463.6862414000852,14671.535315812922,0.9587896912535865,1.596645290884519,2.8763690737607592,2.8748996258080024
6,gengamma,2021_10pct,7,120,0,5.0,2.775452749526606,25503.568804246606,25503.568804246606,26940.74291779578,9188.976035926613,5100.713760849321,5105.780942107172,1.8007456687396108,1.8015078804180054,0.2814797833759091,2463.6862414000852,24477.056676395692,0.9597502555140444,2.6637414855253168,4.798751277570222,4.793988804833827
6,gengamma,2021_10pct,7,220,0,1.0,0.608520577194162,1991.140043629776,1991.140043629776,4175.110957106627,3272.0997748519167,1991.140043629776,1991.785056365455,1.643862508509348,1.6433298026024314,1.0964892554531414,2286.726385618024,1888.3845714886033,0.9483936489199156,0.5771170506480245,0.9483936489199156,0.9480865244237079
6,gengamma,2021_10pct,7,220,0,3.0,1.825561731582486,5973.420130889328,5973.420130889328,8224.783295439118,3272.0997748519167,1991.140043629776,1993.38191078329,1.6440010306371933,1.6433298026024314,1.129418879729438,2286.726385618024,5938.056909821094,0.9940799039254973,1.8147542307415823,2.982239711776492,2.9788857206433477
