truth_model,study_scenario,background_toy_index,mass_GeV,low_factor,high_factor,adjacent_factors,low_lml,high_lml,delta_lml_high_minus_low,lml_tolerance,low_ls_opt_over_sigma_x,high_ls_opt_over_sigma_x,low_at_upper_bound,high_at_upper_bound,high_solution_feasible_in_low_domain,status,repair_factor,warm_start_source_factor,low_attempt_path,high_attempt_path
gengamma,2021_10pct,0,0.09,6,9,True,1577.427411765046,1619.689484690004,42.26207292495815,0.001619689484690004,6.0,8.999999999999998,True,True,False,allowed_domain_gain,,,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f06/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f09/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001
gengamma,2021_10pct,0,0.09,6,12,False,1577.427411765046,1626.19725960192,48.76984783687408,0.0016261972596019198,6.0,11.58287564730489,True,False,False,allowed_domain_gain,,,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f06/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f12/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001
gengamma,2021_10pct,0,0.09,6,15,False,1577.427411765046,1626.1972611268798,48.76984936183385,0.0016261972611268797,6.0,11.582579233235064,True,False,False,allowed_domain_gain,,,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f06/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f15/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001
gengamma,2021_10pct,0,0.09,6,20,False,1577.427411765046,1626.1972616979674,48.76984993292149,0.0016261972616979673,6.0,11.582149018583191,True,False,False,allowed_domain_gain,,,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f06/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f20/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001
gengamma,2021_10pct,0,0.09,6,25,False,1577.427411765046,1626.1972566523375,48.76984488729158,0.0016261972566523374,6.0,11.583012705319629,True,False,False,allowed_domain_gain,,,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f06/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f25/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001
gengamma,2021_10pct,0,0.09,9,12,True,1619.689484690004,1626.19725960192,6.507774911915931,0.0016261972596019198,8.999999999999998,11.58287564730489,True,False,False,allowed_domain_gain,,,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f09/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f12/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001
gengamma,2021_10pct,0,0.09,9,15,False,1619.689484690004,1626.1972611268798,6.507776436875702,0.0016261972611268797,8.999999999999998,11.582579233235064,True,False,False,allowed_domain_gain,,,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f09/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f15/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001
gengamma,2021_10pct,0,0.09,9,20,False,1619.689484690004,1626.1972616979674,6.507777007963341,0.0016261972616979673,8.999999999999998,11.582149018583191,True,False,False,allowed_domain_gain,,,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f09/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f20/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001
gengamma,2021_10pct,0,0.09,9,25,False,1619.689484690004,1626.1972566523375,6.507771962333436,0.0016261972566523374,8.999999999999998,11.583012705319629,True,False,False,allowed_domain_gain,,,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f09/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f25/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001
gengamma,2021_10pct,0,0.09,12,15,True,1626.19725960192,1626.1972611268798,1.5249597709043883e-06,0.0016261972611268797,11.58287564730489,11.582579233235064,False,False,True,consistent_lml_plateau,,,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f12/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan/f15/gengamma/2021_10pct/toy_0000/grid_050_020_250/attempt_001
