variant,dataset,bin_center_MeV,observed,gp_mean_preprofile,in_extraction_window,null_profiled_background,standalone_profiled_background,standalone_profiled_total,shared_profiled_background,shared_profiled_total
common_0p5MeV,2015,109.75,289,284.52648393488772,False,,,,,
common_0p5MeV,2015,110.25,275,273.9536922368892,False,,,,,
common_0p5MeV,2015,110.75,272,263.93084000694586,False,,,,,
common_0p5MeV,2015,111.25000000000001,250,254.42720299483136,False,,,,,
common_0p5MeV,2015,111.75000000000001,246,245.41370638243311,False,,,,,
common_0p5MeV,2015,112.25,229,236.8628438095632,False,,,,,
common_0p5MeV,2015,112.75,215,228.74859911624614,False,,,,,
common_0p5MeV,2015,113.25,228,221.04637091971105,False,,,,,
common_0p5MeV,2015,113.75,185,213.73289993718024,False,,,,,
common_0p5MeV,2015,114.25,195,206.78619915422632,False,,,,,
common_0p5MeV,2015,114.75,202,200.18548680003326,False,,,,,
common_0p5MeV,2015,115.25000000000001,184,193.91112211427088,False,,,,,
common_0p5MeV,2015,115.75000000000001,179,187.94454388762227,False,,,,,
common_0p5MeV,2015,116.25000000000001,166,182.26821174784544,False,,,,,
common_0p5MeV,2015,116.75,174,176.86555015068947,False,,,,,
common_0p5MeV,2015,117.25,168,171.72089501950322,False,,,,,
common_0p5MeV,2015,117.75000000000001,162,166.8194429978515,False,,,,,
common_0p5MeV,2015,118.25000000000001,166,162.14720322691707,False,,,,,
common_0p5MeV,2015,118.75000000000001,168,157.69095162540611,False,,,,,
common_0p5MeV,2015,119.25000000000001,165,153.43818755095128,False,,,,,
common_0p5MeV,2015,119.75000000000001,159,149.37709282252135,False,,,,,
common_0p5MeV,2015,120.25000000000001,160,145.49649299334467,False,,,,,
common_0p5MeV,2015,120.75000000000001,134,141.78582081449858,False,,,,,
common_0p5MeV,2015,121.25,139,138.23508181257557,False,,,,,
common_0p5MeV,2015,121.75,114,134.83482189412604,False,,,,,
common_0p5MeV,2015,122.25,149,131.57609689694084,False,,,,,
common_0p5MeV,2015,122.75,140,128.4504440293791,False,,,,,
common_0p5MeV,2015,123.25000000000001,118,125.44985508655226,False,,,,,
common_0p5MeV,2015,123.75000000000001,116,122.56675138443218,False,,,,,
common_0p5MeV,2015,124.25000000000001,148,119.79396034355342,False,,,,,
common_0p5MeV,2015,124.75000000000001,110,117.12469361042557,False,,,,,
common_0p5MeV,2015,125.25,126,114.55252667218369,False,,,,,
common_0p5MeV,2015,125.75,118,112.07137987994047,False,,,,,
common_0p5MeV,2015,126.25,124,109.67550078588448,False,,,,,
common_0p5MeV,2015,126.75,98,107.35944775986212,False,,,,,
common_0p5MeV,2015,127.25000000000003,101,105.11807477236353,False,,,,,
common_0p5MeV,2015,127.75000000000003,124,102.94651729625853,False,,,,,
common_0p5MeV,2015,128.25,117,100.84017924628586,False,,,,,
common_0p5MeV,2015,128.75,99,98.794720896209228,False,,,,,
common_0p5MeV,2015,129.25,92,96.806047694846782,False,,,,,
common_0p5MeV,2015,129.75,102,94.870299916142343,False,,,,,
common_0p5MeV,2015,130.25,87,92.983843082709157,False,,,,,
common_0p5MeV,2015,130.75,108,91.143259091967892,False,,,,,
common_0p5MeV,2015,131.25000000000003,81,89.345337982776087,False,,,,,
common_0p5MeV,2015,131.75000000000003,90,87.587070282140402,False,,,,,
common_0p5MeV,2015,132.25000000000003,74,85.865639867301184,False,,,,,
common_0p5MeV,2015,132.75,68,84.17841728842474,False,,,,,
common_0p5MeV,2015,133.25,80,82.522953490582239,False,,,,,
common_0p5MeV,2015,133.75,70,80.896973883813715,False,,,,,
common_0p5MeV,2015,134.25,73,79.298372700954488,False,,,,,
common_0p5MeV,2015,134.75,70,77.725207601491064,False,,,,,
common_0p5MeV,2016,30.25,1538,1535.174253618645,False,,,,,
common_0p5MeV,2016,30.75,2573,2625.635614079049,False,,,,,
common_0p5MeV,2016,31.25,4242,4294.5318612720012,False,,,,,
common_0p5MeV,2016,31.75,6737,6737.951041782535,False,,,,,
common_0p5MeV,2016,32.25,10255,10171.095345646121,False,,,,,
common_0p5MeV,2016,32.75,14731,14814.621556074539,False,,,,,
common_0p5MeV,2016,33.249999999999993,21086,20878.521761936634,False,,,,,
