model,scenario,toy_index,status,accepted_rows,raw_primary_rows,excluded_rows,success_marker_sha256,optimizer_attempts_sha256,accepted_rows_sha256,raw_primary_rows_sha256,exclusions_sha256
knot_spline,2021_1pct_x10,11,pass,20,20,0,22bbddb5d02f4d949d49652a4004b5ee777390939906f2d72089de0a4aa1a718,4553a972e07ae68e28e3d5c69c5ce11b99a9c8488339683c7ade9b2b14d02ca9,d605e1301d2d44729f33d3f5b55e381dd2656110718b0b380337d74913ea3923,da161445e4ebb4f0711e47b0e862e36ebd81a520bf0adea8cf0ea7e69e28b52e,01c0a1e08ffbabaebc48f4d4e7a0fa8423c7ac09911f66ca8c34191865575730
knot_spline,2021_1pct_x10,12,pass,20,20,0,9f9dfb44f75908eadfcf95a26a8a432a00ea5d6f2c702c6fb0aaaf5471ba3c05,a9ba2b08f5dee556cba3838ea59f1d9d468ca17b94797a0a0602fa9a6afa3625,a9bbaa8b9f660ee33aafec6a39aae077d8de594db16492929c67b849a9f001e9,8ddc69f1211afd76f42b7882ea66132fda1fb04b2668abd45c7641a821eb7822,01c0a1e08ffbabaebc48f4d4e7a0fa8423c7ac09911f66ca8c34191865575730
knot_spline,2021_1pct_x10,13,pass,20,20,0,1e593243f3886fb03bc446d2a6b13d462685ef3ec84051b733cfbcc651768536,51674eeb3fb28ec5d118d35fb903b515e57e41b73d333bf804f9caf43de14aa9,fe130aaabb93d6876735ad3c3d16c762a100767ee11a7f97377bf485c3c83e38,280d57d6600a856c0a77cad58fc5687263bed54e649fbf3fc92dc536bb697ff5,01c0a1e08ffbabaebc48f4d4e7a0fa8423c7ac09911f66ca8c34191865575730
knot_spline,2021_1pct_x10,14,pass,20,20,0,9eb850058b57fcc5fa63cda69efbee4d56771c9ee45ca154d1392c2ab76f98d5,4ae79cb31218fa4bce4f18eada451eec8f5c7c7148b38be112a63f8bb74c8341,4d29c652fa629cd7cdfcaf0f87d21ad3fb5851c9892e3c7572f818f3fe51f1ee,70c3597adbd6c5a7469d655f3455f98dd29a535c95e8d83c6339d4ae0c3398a8,01c0a1e08ffbabaebc48f4d4e7a0fa8423c7ac09911f66ca8c34191865575730
knot_spline,2021_1pct_x10,15,pass,20,20,0,1b481c222bc6ef1d55d3c31dd2e8fce1ecfd3d7bfa15ed7c8ccad49d5dd208ea,1db813d33712e924ba1732b818b73cc8b65cfe8b4b3be95703edd9c2bf35e934,6fffe348342b55acacb18f3fc2a955aa4b9cf6217286493f2f00bf2131a7f68d,6609f814f705990aa94fa25c8d09ac7d29cf1b5eb7a0a8116b1f4bebe60e5d75,01c0a1e08ffbabaebc48f4d4e7a0fa8423c7ac09911f66ca8c34191865575730
knot_spline,2021_1pct_x10,16,pass,20,20,0,38055f5f69a99c283b5e38d9eb5342a267fc32f353955a8257dc48fd0efafab5,555b682e0b2e7dba1e971bd7b78f7148f816e66fc3bf986fb1abb9b7c5e0d75d,a7ddfc5f60ef333988b42f5dbb489e770ef37b1b969364b176f8695fbba130ef,2b064cb308d50f2ea1223eeb95440956d52ad3cebb0bfeb144e683ea49bfd137,01c0a1e08ffbabaebc48f4d4e7a0fa8423c7ac09911f66ca8c34191865575730
knot_spline,2021_1pct_x10,17,pass,20,20,0,c0dacc7b2d84010e4ba7ae7f95bad10ad7993e174854278ccbdf4bf45e4202d6,5fb127e3ae83e75a29350d9635775ce586d53b57677c3cca309b44198e069241,eaa67f8a0647526c4961ac42cc97faa416774e64ad3a5773b6aa299544d0570c,a6f944deaa56c99f358398cf58b1249df816714a4411db72c9130317868f49ac,01c0a1e08ffbabaebc48f4d4e7a0fa8423c7ac09911f66ca8c34191865575730
knot_spline,2021_1pct_x10,18,pass,20,20,0,8e1c770c69557c0a0f8b976c7077fe90bf3ecc1dbe6b26a0a70b71da78005648,19f0de44c107b0cceebfae6a2d872c1bbe54c0fb4c958882fa2bb140da4ea3c4,9861550ddb79b7dd98fff28c2550a10d351de61ca81361dbd195f593854ef183,41d67a4539522d475b56888dab5b1e496712037f95a469b96b7efef04c3e2246,01c0a1e08ffbabaebc48f4d4e7a0fa8423c7ac09911f66ca8c34191865575730
knot_spline,2021_1pct_x10,19,pass,20,20,0,73eeaf35de632c3ef40da33ee25489256f1c2070a2c967eaca2c40e16561ca58,d4ac9d31049bbd6415289be9031a88c16ea80c43eda000dd36d95c18dc6dda53,fb4d88a271ce4346795d8c1386bfea383fdd7a3e47087baba3bde2f59e4ec451,d72daf2e853d0797173427ce6f2b66042b068b4b1cd594e574e820835a03521b,01c0a1e08ffbabaebc48f4d4e7a0fa8423c7ac09911f66ca8c34191865575730
knot_spline,2021_1pct_x100,0,pass,20,20,0,6a431ee4c2d55610cd46bcd5ac55a304ecc70a794753982f71544f6c2d6fc55f,a8595bf45fe1c0664e13f078182652aba482017344c12740c0042cfbb602d3d4,f25bb802b834cc1071acbed063ac04a8f4b7c164022e0057c47f7f7ec3e60360,d295adb440a9a7632696210a851c01b0ce3c8d8a710977948a596c14b65e911c,01c0a1e08ffbabaebc48f4d4e7a0fa8423c7ac09911f66ca8c34191865575730
