mass_GeV,mass_MeV,dataset_set,n_active_datasets,hps_v4p2_eps2_obs_ee_channel,N_eff_BR,BR_ee_minimal,dimuon_correction_applied,hps_v4p2_eps2_obs_minimal_visible,density_2015_counts_per_GeV,density_2016_counts_per_GeV,density_2021_10pct_counts_per_GeV,density_current_counts_per_GeV,density_2021_100pct_equivalent_counts_per_GeV,full2021_projection_scale_eps2,hps_v4p2_projected_full2021_eps2_minimal_visible,gp_state_sha256_by_dataset,babar_visible2014_eps2_90_log_interp,hps_v4p2_observed_over_babar,hps_v4p2_projected_full2021_over_babar,hps_v4p2_observed_below_babar_on_grid,hps_v4p2_projected_full2021_below_babar_on_grid
0.049000000000000002,49,2015+2016,2,6.5098513034046651e-06,1,1,False,6.5098513034046651e-06,282792287.34600091,1182668546.1841764,,1465460833.5301774,1465460833.5301774,1,6.5098513034046651e-06,"{""2015"": ""689dcdfca223b39c0a01cf1eb7d48ed3ca6c1a80b50613465e80876339ac5874"", ""2016"": ""67aa76c74e5e83845631a436bef6db272c230d545d85ceb5466830ef5cd39da8""}",5.5538770351210456e-07,11.721273737676089,11.721273737676089,False,False
0.050000000000000003,50,2015+2016+2021,3,8.8084759846554863e-06,1,1,False,8.8084759846554863e-06,257618672.70439032,1228412134.0044506,432274745.50351012,1918305552.2123508,5808778261.7439423,0.57466730959531864,5.0619431957369439e-06,"{""2015"": ""5481710629bd0c58e549286106e27286ad76a030bb4a86cb0922510d626d8113"", ""2016"": ""ce64e3c3e73a3dff92f30884683d78afc1210a60abdab0061a52b5ac6a96cb50"", ""2021"": ""d71c4301421145c19b759eb343d0aab57512175a086482ce8495d45dc1f04052""}",4.5607290603111934e-07,19.313745386257292,11.098978099329477,False,False
0.0509999999999999,51,2015+2016+2021,3,9.7998719933794203e-06,1,1,False,9.7998719933794203e-06,234115558.1361174,1268115691.0640624,505722115.71658146,2007953364.9167614,6559452406.3659945,0.55327751164503336,5.4220487909368185e-06,"{""2015"": ""139c6b48ab3f1458c5b09bfea36fb7779dae668837fa9f5ccf56cd25f1a46dcc"", ""2016"": ""19e8aeddf94ddd187bfe0364fe342b227b10904e459c3dc7fc3b82f560716084"", ""2021"": ""3be0af678fa034a176d212a08ba84d3088549d6081f3a5c2cbdebdd8a37f123f""}",5.1729074552418983e-07,18.944611088003995,10.481627281853759,False,False
0.0519999999999999,52,2015+2016+2021,3,8.1688789870086897e-06,1,1,False,8.1688789870086897e-06,212381663.76433375,1302717925.8798501,582496150.29128814,2097595739.935472,7340061092.557066,0.53457797168033616,4.3669027597772247e-06,"{""2015"": ""1cf46d16185948cf0e078e88da741971e0ff2b9a633adbc2d8ad70d6635aa099"", ""2016"": ""c49b482eb7c22f2e37552899d4389c127203fad91cf5457a25fd92e9f2b046f0"", ""2021"": ""5d166fe4c8c8779d4a1b6b6916a26b96ba9bca3d57043be7fe4831e843338c0d""}",6.0680559305018524e-07,13.462102328270879,7.1965433572001771,False,False
0.052999999999999901,53,2015+2016+2021,3,6.4091330800327293e-06,1,1,False,6.4091330800327293e-06,192211269.0725427,1331961002.9627495,661992830.05194449,2186165102.0872364,8144100572.5547371,0.51810754235802314,3.3206201887412648e-06,"{""2015"": ""a55ac95fc6aaaf58ea58fdd4ee5242757e1baca601187fadd0cdb705a5994950"", ""2016"": ""d87adb9d883fe82433f4053072425e3269809f7cf9962b986df8a057be3bd76f"", ""2021"": ""04a6b97c523de07d5c4fa0db96f3a1541c7331f509fb9b1a18afb05cac4ee6a0""}",8.0541379620100888e-07,7.9575655523452049,4.1228747314784391,False,False
0.053999999999999902,54,2015+2016+2021,3,4.5334450482882263e-06,1,1,False,4.5334450482882263e-06,173609269.79326248,1356437535.8597162,743432117.46763396,2273478923.1206126,8964367980.329319,0.50359989202463218,2.2830424368175543e-06,"{""2015"": ""eb55a79c8e7cc6725a57d90759bb780c82b65e9c67b6aa6b9f4d07cde1e14f6f"", ""2016"": ""8ea1a57b906bf8c52963996a56b529f725cadc79f65b1341b818e8ab72fde502"", ""2021"": ""88955434ab686fe95a835f5a57037e04b72999a939c8365dfbf68c447ad032a4""}",7.5894427740621333e-07,5.9733569159804984,3.0081818979123689,False,False
0.055,55,2015+2016+2021,3,3.0339045073039063e-06,1,1,False,3.0339045073039063e-06,156600051.37024823,1375839606.4196298,825863093.24217498,2358302751.032053,9791070590.211628,0.49077754966691806,1.4889722200180294e-06,"{""2015"": ""a1a31cb448f2fc35b2de7da438eef9ce4b74de7ee8345b94e53157e4cc625f85"", ""2016"": ""24ff4c687280c76e307e89e2a56bed76e17cd5e910d367e878c65f722bf1d38b"", ""2021"": ""3ac594c5fab374c0fa25df83c4ac2db978beea5b627b1a5fe57f17f6c08c42c9""}",9.017771134520262e-07,3.364361838470308,1.6511532592773452,False,False
0.056000000000000001,56,2015+2016+2021,3,2.5575514240834826e-06,1,1,False,2.5575514240834826e-06,141035715.38668299,1391082376.7044239,908527012.00900602,2440645104.1001129,10617388212.181168,0.47945016002624774,1.2262184395521836e-06,"{""2015"": ""fda6af1aabde683857b8b7478fa748df11a76065b404fb7074370cb59c977483"", ""2016"": ""6d1d3a72e8b4670997ab444b804c93ac6753e38abe363fe0239bcd1fa3a1abeb"", ""2021"": ""d3101ffa5b4cc46e588c202d2ad32f10b88abad5d23b10117ea8df86aeef4dff""}",1.2492873601200171e-06,2.047208277075486,0.98153433605090079,False,True
0.057000000000000002,57,2015+2016+2021,3,2.1524290091894478e-06,1,1,False,2.1524290091894478e-06,126862017.54150768,1402509719.4788651,990836705.9222877,2520208442.9426603,11437738796.24325,0.46940546758959634,1.0103619455119842e-06,"{""2015"": ""36c3c4cad84a81d6a617c2126655d6569a318a45b8a4599b39c4bc222c02def9"", ""2016"": ""9106b0a7b3841e321cf81ea07b0cc140ab582460d4326ef50e0d97993ad8cac0"", ""2021"": ""962655a2d0d4c813f6d9a20279c0099354f246060ebc2df63d37f7b611b2ab80""}",1.6572531742937878e-06,1.2987931129512975,0.60966058848705118,False,True
0.058000000000000003,58,2015+2016+2021,3,2.0488407757413198e-06,1,1,False,2.0488407757413198e-06,113943238.38032207,1409422221.9140892,1072404600.9264188,2595770061.22083,12247411469.558598,0.46037417662883767,9.432333851754992e-07,"{""2015"": ""9e91507c29685d60168d21a6e0a0a2550eb12823de4e20bb67bd3313bd740c5b"", ""2016"": ""df8190bc2cb10d94ada0ba9eb9fe0c5fcfb21846c3fd7adb3fcc763d4a246e50"", ""2021"": ""5f877536cf2aef1c2ba0c9f70fb88ae900587f5af52b0a94c7cdceaf41ad142d""}",1.766776721957833e-06,1.1596489529649909,0.53387243189975142,False,True
