group,scope_key,scope_label,dataset_set,source_state,source_file,mass_GeV,mass_MeV,A90_events,eps2_90,p0_local_asymptotic,Z_local_asymptotic,gp_support,edge_diagnostic,yield_coordinate,limit_method,pvalue_method,limit_coordinate
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.0859999999999999,86.0,11437.066202738171,1.6630978593261058e-06,0.5,0.0,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.0869999999999999,87.0,10820.623115637947,1.5830101731435571e-06,0.5,0.0,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.0879999999999999,88.0,11311.492507943016,1.6658488135095563e-06,0.5,0.0,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.0889999999999999,89.0,12499.726315786033,1.8546972242568097e-06,0.5,0.0,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,all_2015_2016_2021,2015 full + 2016 full + 2021 10%,2015+2016+2021,historical_v4p2,v4p2_all_period_source.csv,0.0899999999999999,90.0,15694.600880648777,2.347444818377433e-06,0.3165670166644795,0.4773203343019087,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,pair_2015_2016,2015 full + 2016 full,2015+2016,historical_v4p2,v4p2_standalone_pairwise_source.csv,0.039,39.0,19248.31590637583,1.1292680637828364e-05,0.05324037587177,1.6142152202546562,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,pair_2015_2016,2015 full + 2016 full,2015+2016,historical_v4p2,v4p2_standalone_pairwise_source.csv,0.04,40.0,17348.536586869257,9.720089270044487e-06,0.1064872468401789,1.2454279253797362,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,pair_2015_2016,2015 full + 2016 full,2015+2016,historical_v4p2,v4p2_standalone_pairwise_source.csv,0.041,41.0,12235.458488925155,6.551489453256481e-06,0.4129605983960268,0.2199357456962256,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,pair_2015_2016,2015 full + 2016 full,2015+2016,historical_v4p2,v4p2_standalone_pairwise_source.csv,0.042,42.0,9901.832090103946,5.077011556766866e-06,0.5,0.0,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,pair_2015_2016,2015 full + 2016 full,2015+2016,historical_v4p2,v4p2_standalone_pairwise_source.csv,0.0429999999999999,43.0,8655.051084919116,4.259276683787285e-06,0.5,0.0,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,pair_2015_2016,2015 full + 2016 full,2015+2016,historical_v4p2,v4p2_standalone_pairwise_source.csv,0.0439999999999999,44.0,8467.223608551301,4.011680653529865e-06,0.5,0.0,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,pair_2015_2016,2015 full + 2016 full,2015+2016,historical_v4p2,v4p2_standalone_pairwise_source.csv,0.0449999999999999,45.0,10322.723268171292,4.720621510068636e-06,0.4999026019832914,0.000244140625,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,pair_2015_2016,2015 full + 2016 full,2015+2016,historical_v4p2,v4p2_standalone_pairwise_source.csv,0.0459999999999999,46.0,9509.989576685448,4.215577280403488e-06,0.5,0.0,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,pair_2015_2016,2015 full + 2016 full,2015+2016,historical_v4p2,v4p2_standalone_pairwise_source.csv,0.047,47.0,11566.784150312813,4.97894846758083e-06,0.5,0.0,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,pair_2015_2016,2015 full + 2016 full,2015+2016,historical_v4p2,v4p2_standalone_pairwise_source.csv,0.048,48.0,14120.503291156858,5.915153602933956e-06,0.3469001606019314,0.3937030067860006,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,pair_2015_2016,2015 full + 2016 full,2015+2016,historical_v4p2,v4p2_standalone_pairwise_source.csv,0.049,49.0,15923.527638959067,6.509851303404665e-06,0.2415644392892493,0.7012790608631767,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,pair_2015_2016,2015 full + 2016 full,2015+2016,historical_v4p2,v4p2_standalone_pairwise_source.csv,0.05,50.0,17455.05918089174,6.978908847598215e-06,0.1717089666911015,0.9474334882677315,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,pair_2015_2016,2015 full + 2016 full,2015+2016,historical_v4p2,v4p2_standalone_pairwise_source.csv,0.0509999999999999,51.0,19448.585229513184,7.630269095670764e-06,0.1082260498418983,1.236017390006915,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,pair_2015_2016,2015 full + 2016 full,2015+2016,historical_v4p2,v4p2_standalone_pairwise_source.csv,0.0519999999999999,52.0,19910.439523886824,7.670736632564496e-06,0.102265876869431,1.2687457662427195,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,pair_2015_2016,2015 full + 2016 full,2015+2016,historical_v4p2,v4p2_standalone_pairwise_source.csv,0.0529999999999999,53.0,17472.539964149775,6.62263928250848e-06,0.1777332704037523,0.9240379820980976,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,pair_2015_2016,2015 full + 2016 full,2015+2016,historical_v4p2,v4p2_standalone_pairwise_source.csv,0.0539999999999999,54.0,14808.553888105069,5.532113995132013e-06,0.3069437475837095,0.5045321222405855,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,pair_2015_2016,2015 full + 2016 full,2015+2016,historical_v4p2,v4p2_standalone_pairwise_source.csv,0.055,55.0,11031.022223354015,4.072191035678734e-06,0.5,0.0,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
combination,pair_2015_2016,2015 full + 2016 full,2015+2016,historical_v4p2,v4p2_standalone_pairwise_source.csv,0.056,56.0,10334.150905034154,3.7715366345146457e-06,0.5,0.0,v4p2 campaign-specific supports,False,derived total signal yield at shared eps2 limit,observed asymptotic 90% CLs,fixed-mass local asymptotic profile LRT,electron-channel epsilon^2
