method,mass_MeV,observed_r,asimov_r,response_sd,z_standardized,p_asymptotic,p_local_common_truth,p_global_gp,p_global_gp_low,p_global_gp_high,p_global_direct,p_global_direct_low,p_global_direct_high,p_global_raw_ordering,parent_envelope_p
fixed,111,-2.0133244243466706,-1.990954514215534,1.7851004897626446,-0.012531457057698163,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,112,-3.5303260932360687,-2.3878394730857617,1.7648035597803613,-0.6473732522913175,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,113,-3.270279272001449,-2.543892124377108,1.7572846686965777,-0.4133576992753942,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,114,-1.6298609007805922,-2.550898452372008,1.754170349303708,0.5250559342523422,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,115,-1.802637511613472,-2.6397029676111377,1.7988013084113943,0.46534625702319354,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,116,-1.5744568341215024,-2.2168671221490897,1.7361307705003466,0.370024135821547,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,117,-1.1672377173203607,-2.0520723779055112,1.7811482937086964,0.49677764827921933,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,118,0.6964654457987945,-1.4597887854967553,1.7738850034657352,1.2155546876391419,0.24306869485347976,0.11207730211116729,0.999385,0.9992662614858118,0.9994888495990127,1.0,0.9963179161031344,1.0,1.0,0.2847434688457254
fixed,119,0.3752886956529569,-1.1231685767438095,1.7651963508101054,0.8488898539298907,0.35372288619048936,0.1979712925369705,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.3690135798229494
fixed,120,0.6367473196858492,-0.4688755950570878,1.758165124770751,0.628850441386784,0.2621447227403051,0.2647234867719995,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.3216799255515101
fixed,121,1.9274446985772753,-0.012479421184909122,1.8029587916720313,1.0759669764626922,0.026962116829568002,0.1409710129115696,0.99994,0.9998951944228694,0.9999689967524577,1.0,0.9963179161031344,1.0,1.0,0.1457351260788048
fixed,122,1.4552348554799153,0.34780105972845815,1.7344027129949267,0.63851018420005,0.07280212722724151,0.26157081336152144,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.2706786997027394
fixed,123,2.2805606441717643,0.7467026252609505,1.773204685440523,0.8650202830530828,0.011287229190772961,0.19351382811937573,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.1952143266346083
fixed,124,2.252673333158063,1.184080376973555,1.7605913191864557,0.606951167223913,0.012139876769449392,0.27194165999552716,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.2923820246492751
fixed,125,2.5793624768483094,1.363847273077581,1.6990043082223718,0.7154279703048507,0.004949143099636446,0.23717231716805964,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.2312945112627233
fixed,126,3.124018565979598,1.6372143451225523,1.7316575238846033,0.8586017733585786,0.0008919959986975111,0.1952801296980085,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.1954044167614343
fixed,127,2.38060859775193,1.8190794924165115,1.7220071806324888,0.3260898744505642,0.008642032814538422,0.3721781788565769,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.3605357330122833
fixed,128,1.4323118629792817,1.845420601967982,1.7211743215689426,-0.2400156299172123,0.07602729476799766,0.594840930102037,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.5823439582197126
fixed,129,1.8867968199056424,1.8444144125040787,1.709026162628023,0.024799156577211774,0.029593829514251956,0.49010758190327913,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.485621795827497
fixed,130,0.9768890943889776,1.8120761744619291,1.7527816373226874,-0.4764923720610575,0.16431203069848227,0.6831381797978787,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.6705346299206388
fixed,131,-0.5300401841517495,1.3729724703073745,1.7095516282309746,-1.1131647755080323,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,132,-1.1408027995750614,1.1942766711916697,1.7509034919073991,-1.3336425917015804,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,133,-0.2967185527443958,1.0689569358858346,1.7317553843147977,-0.7886076180271766,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,134,-0.0113280775416265,0.8556556439050014,1.7253610103471515,-0.5024940961614672,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,135,-1.332013296470889,0.44418610347615495,1.719783922387684,-1.0328038172848102,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,136,-1.7040744126080445,0.16808989845657124,1.757587482225007,-1.0651898298083922,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,137,-2.1643501278423587,-0.13002817688544074,1.704621957455762,-1.1934153153777571,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,138,-1.3718960596741012,-0.37260694329092997,1.7379148842701844,-0.5749931285057209,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,139,-1.8659660836096088,-0.6992434590212059,1.7292376148747937,-0.6747034731099577,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,140,-1.8360549265590265,-0.8728095721727842,1.7226118147594875,-0.5591772598638141,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,141,-2.7317286795320546,-1.0408338006227695,1.7055874998449956,-0.9913855953229923,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,142,-1.6056333863462906,-1.2696198847166997,1.74414735525008,-0.1926520145320018,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,143,-0.4700081664057548,-1.2944530824471951,1.6969565935056508,0.4858373627213789,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,144,-1.2443866178856322,-1.4216664311668947,1.7249362307177551,0.10277470559447606,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,145,0.2153424823980439,-1.3829721126336032,1.724883129528657,0.9266219650883847,0.41475015515237657,0.17706142320694856,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.3208574594475057
fixed,146,-0.7750615318765485,-1.4644875044126215,1.7526353833433586,0.3933653166472719,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,147,-0.3478137824717724,-1.2838175350699628,1.7073085623025033,0.5482335022884679,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,148,-0.0906419747491571,-1.1137668627845556,1.70238953611144,0.6009934074033357,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,149,-0.8237075279870927,-1.100645575995381,1.7327298417006658,0.15982759766893323,0.5,1.0,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,1.0
fixed,150,0.0227350207348,-0.7806235013372224,1.6930320163614776,0.4745087596149145,0.49093082027118284,0.317568576476962,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.4384934544429466
fixed,151,0.561039526711598,-0.6115945032290587,1.7288327192734225,0.6782807942421868,0.2873852958767197,0.2487968368118944,1.0,0.9999815557728263,1.0,1.0,0.9963179161031344,1.0,1.0,0.3069284015466725
