method,threshold,gp_p,gp_low,gp_high,direct_p,direct_low,direct_high
fixed,4.0,0.004075,0.0038005117694766993,0.004364011432238067,0.006,0.0022049824851513764,0.013013423270974496
fixed,4.1000000000000005,0.002635,0.002415063203537445,0.0028695432009517036,0.004,0.0010909079877259714,0.010209664683929871
fixed,4.2,0.00173,0.001552627762761566,0.0019220542390811974,0.002,0.00024230111687723182,0.007205838911457497
fixed,4.3,0.00108,0.0009408284455802877,0.001233941177877553,0.002,0.00024230111687723182,0.007205838911457497
fixed,4.4,0.00066,0.000552244927226238,0.0007826277786290379,0.002,0.00024230111687723182,0.007205838911457497
fixed,4.5,0.000405,0.0003216410648731051,0.0005033532586234561,0.002,0.00024230111687723182,0.007205838911457497
fixed,4.6000000000000005,0.00026,0.00019418634150388967,0.00034094160712434997,0.002,0.00024230111687723182,0.007205838911457497
fixed,4.7,0.000165,0.00011358104426273953,0.00023171361583470884,0.001,2.531748749129404e-05,0.005558924279826672
fixed,4.800000000000001,9e-05,5.3340548306151805e-05,0.00014223508613182994,0.0,0.0,0.003682083896865671
fixed,4.9,6.5e-05,3.461020184123893e-05,0.00011114941464963615,0.0,0.0,0.003682083896865671
fixed,5.0,4.5e-05,2.057706532413993e-05,8.542229067156457e-05,0.0,0.0,0.003682083896865671
fixed,5.1000000000000005,3e-05,1.1009548282571499e-05,6.529621770560541e-05,0.0,0.0,0.003682083896865671
fixed,5.2,1e-05,1.2110486870274128e-06,3.612296650749235e-05,0.0,0.0,0.003682083896865671
fixed,5.300000000000001,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671
fixed,5.4,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671
fixed,5.5,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671
fixed,5.6000000000000005,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671
fixed,5.7,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671
fixed,5.800000000000001,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671
fixed,5.9,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671
fixed,6.0,0.0,0.0,1.8444227173720117e-05,0.0,0.0,0.003682083896865671
