dataset,mass_GeV,mass_MeV,eps2_observed_raw,p0_analytic,Z_analytic,eps2_observed_v3_review,dimuon_factor,eps2_observed_dimuon_v3_review
2016,0.069,69.0,1.423537397116152e-05,0.4972594310181197,0.0068696417301716,1.423537397116152e-05,1.0,1.423537397116152e-05
2016,0.07,70.0,1.1696228570620287e-05,0.5,0.0,1.1696228570620287e-05,1.0,1.1696228570620287e-05
2016,0.071,71.0,1.0128718549451045e-05,0.5,0.0,1.0128718549451045e-05,1.0,1.0128718549451045e-05
2016,0.072,72.0,9.599795789680704e-06,0.5,0.0,9.599795789680704e-06,1.0,9.599795789680704e-06
2016,0.073,73.0,9.683119667582892e-06,0.5,0.0,9.683119667582892e-06,1.0,9.683119667582892e-06
2016,0.074,74.0,1.033575806299994e-05,0.5,0.0,1.033575806299994e-05,1.0,1.033575806299994e-05
2016,0.075,75.0,1.2184685388237176e-05,0.5,0.0,1.2184685388237176e-05,1.0,1.2184685388237176e-05
2016,0.076,76.0,1.4675434861560424e-05,0.4843695144246021,0.0391898463609949,1.4675434861560424e-05,1.0,1.4675434861560424e-05
2016,0.077,77.0,1.7503908941152906e-05,0.304738127779412,0.5108212105355971,1.7503908941152906e-05,1.0,1.7503908941152906e-05
2016,0.078,78.0,2.0274739820681865e-05,0.1878498198236596,0.8858476300549724,2.0274739820681865e-05,1.0,2.0274739820681865e-05
2016,0.079,79.0,2.1339938495272124e-05,0.153426672618041,1.021846947591163,2.1339938495272124e-05,1.0,2.1339938495272124e-05
2016,0.08,80.0,2.0567490076153166e-05,0.1828092150358996,0.9047111546844986,2.0567490076153166e-05,1.0,2.0567490076153166e-05
2016,0.081,81.0,1.8335678113321385e-05,0.2898723873489327,0.5537575629785618,1.8335678113321385e-05,1.0,1.8335678113321385e-05
2016,0.082,82.0,1.7104016759240792e-05,0.3634630249956312,0.3492174722447584,1.7104016759240792e-05,1.0,1.7104016759240792e-05
2016,0.083,83.0,1.5539114322136916e-05,0.4785499488146047,0.0537932372291141,1.5539114322136916e-05,1.0,1.5539114322136916e-05
2016,0.084,84.0,1.4010821780829176e-05,0.5,0.0,1.4010821780829176e-05,1.0,1.4010821780829176e-05
2016,0.085,85.0,1.3437158575114928e-05,0.5,0.0,1.3437158575114928e-05,1.0,1.3437158575114928e-05
2016,0.086,86.0,1.3326521009616364e-05,0.5,0.0,1.3326521009616364e-05,1.0,1.3326521009616364e-05
2016,0.087,87.0,1.3507405971106602e-05,0.5,0.0,1.3507405971106602e-05,1.0,1.3507405971106602e-05
2016,0.088,88.0,1.411063046562776e-05,0.5,0.0,1.411063046562776e-05,1.0,1.411063046562776e-05
2016,0.089,89.0,1.4756141088084216e-05,0.5,0.0,1.4756141088084216e-05,1.0,1.4756141088084216e-05
2016,0.09,90.0,1.5800618784867795e-05,0.5,0.0,1.5800618784867795e-05,1.0,1.5800618784867795e-05
2016,0.091,91.0,1.8383131056037333e-05,0.3975529690694795,0.2596860706436904,1.8383131056037333e-05,1.0,1.8383131056037333e-05
2016,0.092,92.0,2.123453253940366e-05,0.2667538286660437,0.6226604812124118,2.123453253940366e-05,1.0,2.123453253940366e-05
2016,0.093,93.0,2.2406495936623266e-05,0.2364114021311029,0.7178937460831196,2.2406495936623266e-05,1.0,2.2406495936623266e-05
2016,0.094,94.0,2.2305804210883208e-05,0.2515330030761283,0.6696734092759089,2.2305804210883208e-05,1.0,2.2305804210883208e-05
2016,0.095,95.0,2.141896024000864e-05,0.3007459005055024,0.5222564297011397,2.141896024000864e-05,1.0,2.141896024000864e-05
2016,0.096,96.0,2.152578292272849e-05,0.3137062677501684,0.4853719365470009,2.152578292272849e-05,1.0,2.152578292272849e-05
2016,0.097,97.0,2.1119173122414705e-05,0.345186118152094,0.3983499627161924,2.1119173122414705e-05,1.0,2.1119173122414705e-05
2016,0.098,98.0,0.000112159194446,0.5,0.0,1.857245845161674e-05,1.0,1.857245845161674e-05
