mass_GeV,mass_MeV,dataset_set,band_eps2_obs_raw,scan_eps2_obs,eps2_obs_used,band_A_obs_raw,scan_A_obs,A_obs_used,scan_over_band,hard_mismatch,plotted_value_changed,observed_source_used,repair_type,column,raw_value,corrected_value,raw_over_log_linear_neighbors,detection_min_band_ratio,correction
0.217,217.0,2021,,,,,,,,,,,2021_expected_eps2,eps2_lo1,0.0001068804850518,1.9784727638824162e-05,5.402171159640592,5.402171159640592,log_linear_neighbors_same_dataset_set
0.217,217.0,2021,,,,,,,,,,,2021_expected_eps2,eps2_lo2,9.079964668457068e-05,1.6794568421600942e-05,5.406488836461283,5.402171159640592,log_linear_neighbors_same_dataset_set
0.217,217.0,2021,,,,,,,,,,,2021_expected_eps2,eps2_mean,0.000154700801155,2.8520250971791385e-05,5.424244033056035,5.402171159640592,log_linear_neighbors_same_dataset_set
0.217,217.0,2021,,,,,,,,,,,2021_expected_eps2,eps2_med,0.0001415243923539,2.6130648532902178e-05,5.416030611551825,5.402171159640592,log_linear_neighbors_same_dataset_set
0.217,217.0,2021,,,,,,,,,,,2021_expected_eps2,toy_eps2_uls_mean,0.000154700801155,2.8520250971791385e-05,5.424244033056035,5.402171159640592,log_linear_neighbors_same_dataset_set
0.217,217.0,2021,,,,,,,,,,,2021_expected_eps2,toy_eps2_uls_q02,9.079964668457068e-05,1.6794568421600942e-05,5.406488836461283,5.402171159640592,log_linear_neighbors_same_dataset_set
0.217,217.0,2021,,,,,,,,,,,2021_expected_eps2,toy_eps2_uls_q16,0.0001068804850518,1.9784727638824162e-05,5.402171159640592,5.402171159640592,log_linear_neighbors_same_dataset_set
0.217,217.0,2021,,,,,,,,,,,2021_expected_eps2,toy_eps2_uls_q50,0.0001415243923539,2.6130648532902178e-05,5.416030611551825,5.402171159640592,log_linear_neighbors_same_dataset_set
0.217,217.0,2021,,,,,,,,,,,2021_expected_eps2,toy_eps2_uls_q84,0.0002052880741997,3.768882208312193e-05,5.446922001089376,5.402171159640592,log_linear_neighbors_same_dataset_set
0.217,217.0,2021,,,,,,,,,,,2021_expected_eps2,toy_eps2_uls_q97,0.0002834677592093,5.205095372553405e-05,5.4459666715048565,5.402171159640592,log_linear_neighbors_same_dataset_set
