stage,region,support_lower_MeV,anchor_GeV,block,seed,success,lml,const_opt,length_opt,warning_text,error_text
development,low,30.0,0.14,L4,5813,True,48.92966675479517,124.26431386899395,0.4747493701604736,,
development,low,30.0,0.14,L4,9049,True,48.92966675468906,124.26171597174522,0.4747471023654543,,
development,low,30.0,0.18,L1,1961,True,52.354076791609586,119.30562217867117,0.44442120919323236,,
development,low,30.0,0.18,L1,5813,True,52.354076791859896,119.30560730978073,0.4444213986523904,,
development,low,30.0,0.18,L1,9049,True,52.35407679120438,119.3055276164502,0.4444211510105313,,
development,low,30.0,0.18,L2,1961,True,51.83813025077515,115.96174944190169,0.4362788550229792,,
development,low,30.0,0.18,L2,5813,True,51.83813025118751,115.9619874546518,0.43627898962981804,,
development,low,30.0,0.18,L2,9049,True,51.838130250861354,115.9616853304311,0.4362785324243101,,
development,low,30.0,0.18,L3,1961,True,51.84880485623932,128.02470843023696,0.4692510601955974,,
development,low,30.0,0.18,L3,5813,True,51.848804855897136,128.02468456273488,0.469251340937015,,
development,low,30.0,0.18,L3,9049,True,51.84880485615151,128.025019912874,0.4692516880870376,,
development,low,30.0,0.18,L4,1961,True,48.92966675504062,124.26391210556426,0.47474902693784155,,
development,low,30.0,0.18,L4,5813,True,48.92966675448097,124.26420148695729,0.47474961123926473,,
development,low,30.0,0.18,L4,9049,True,48.92966675459494,124.26194311379294,0.47474692595380164,,
development,low,31.0,0.039,L1,1961,True,51.73315182684278,83.3564838812414,0.4893065606927682,,
development,low,31.0,0.039,L1,5813,True,51.73315182653899,83.35653770290506,0.48930680833471196,,
development,low,31.0,0.039,L1,9049,True,51.73315182728967,83.3546604160635,0.489304214386821,,
development,low,31.0,0.039,L2,1961,True,50.99076038426241,81.01944490170187,0.47707944682633746,,
development,low,31.0,0.039,L2,5813,True,50.990760384296856,81.0196970822784,0.4770802610801704,,
development,low,31.0,0.039,L2,9049,True,50.9907603837237,81.01941859321137,0.47707986330757085,,
development,low,31.0,0.039,L3,1961,True,51.78607704782377,76.16854784984403,0.5000757327708713,,
development,low,31.0,0.039,L3,5813,True,51.7860770475896,76.16955323248528,0.5000765615999003,,
development,low,31.0,0.039,L3,9049,True,51.78607704750564,76.16940287914278,0.5000761162279066,,
development,low,31.0,0.039,L4,1961,True,49.00122745697536,58.87930880603997,0.46122447490992996,,
development,low,31.0,0.039,L4,5813,True,49.001227457024626,58.879207225693065,0.46122411476564956,,
development,low,31.0,0.039,L4,9049,True,49.001227457085236,58.879379383709,0.4612245024253695,,
development,low,31.0,0.065,L1,1961,True,51.73237187053092,80.10476592382622,0.4820698911691814,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.4820698911691814. Increasing the bound and calling fit again may find a better value.,
development,low,31.0,0.065,L1,5813,True,51.73237187010016,80.10458102042433,0.4820698911691814,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.4820698911691814. Increasing the bound and calling fit again may find a better value.,
development,low,31.0,0.065,L1,9049,True,51.73237187004073,80.10478610420235,0.4820698911691814,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.4820698911691814. Increasing the bound and calling fit again may find a better value.,
development,low,31.0,0.065,L2,1961,True,50.990760383959234,81.01964388994413,0.4770795956770105,,
development,low,31.0,0.065,L2,5813,True,50.99076038402968,81.01941433486625,0.4770798705972,,
development,low,31.0,0.065,L2,9049,True,50.99076038391956,81.01992280580109,0.4770776295972855,,
development,low,31.0,0.065,L3,1961,True,51.78006401127135,68.66504289125166,0.4820698911691814,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.4820698911691814. Increasing the bound and calling fit again may find a better value.,
development,low,31.0,0.065,L3,5813,True,51.7800640112261,68.66497192629215,0.4820698911691814,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.4820698911691814. Increasing the bound and calling fit again may find a better value.,
development,low,31.0,0.065,L3,9049,True,51.780064011348145,68.6650314802049,0.4820698911691814,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.4820698911691814. Increasing the bound and calling fit again may find a better value.,
development,low,31.0,0.065,L4,1961,True,49.0012274571302,58.87929141773287,0.46122444049597333,,
development,low,31.0,0.065,L4,5813,True,49.001227457179866,58.87924818574143,0.4612244611526934,,
development,low,31.0,0.065,L4,9049,True,49.00122745702673,58.87951039867362,0.4612261638327509,,
development,low,31.0,0.1,L1,1961,True,51.73315027788889,83.2069041231834,0.48898070173970687,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.48898070173970687. Increasing the bound and calling fit again may find a better value.,
development,low,31.0,0.1,L1,5813,True,51.73315027879159,83.20669170113015,0.48898070173970687,The optimal value found for dimension 0 of parameter k2__length_scale is close to the specified upper bound 0.48898070173970687. Increasing the bound and calling fit again may find a better value.,
