method,mass_MeV,sigma_MeV,r,p0,Ahat_window,sigma_A_window,Ahat_total,sigma_A_total,signal_fraction_in_fit,fit_low_MeV,fit_high_MeV,support_low_MeV,support_high_MeV,nfit,nleft,nright,left_events,right_events,count_min_fit,nll_fit,nll_null,max_score,min_lambda,kernel_constant,kernel_ls_logmass,kernel_ls_sigma,kernel_upper_factor,kernel_at_boundary,log_marginal_likelihood,covariance_load_relative,warning_count
gp_ceiling16,18.0,0.8657152063674,-1.2315088529688965,0.5,-2252.479001992318,1828.8800887243474,-2300.5031634160778,1867.8728751289764,0.9791244966807837,16.0,19.999999999999996,11.999999999999998,27.999999999999996,16,16,32,37756.0,5327406.0,13308.0,13.289122167319999,14.047429194790382,3.4828806505515786e-12,13211.993480313822,629.3965605623868,0.6118390801898659,13.024917647370758,16.0,False,135.64971415495648,1e-07,0
gp_ceiling16,18.25,0.879019977333825,-2.6918593767154677,0.5,-5034.604598434201,1869.9190232651256,-5152.547802737324,1913.7246960005466,0.9771097311818311,16.249999999999996,20.249999999999996,11.999999999999998,27.999999999999996,16,17,31,51064.0,5229061.0,16475.0,12.474694045417799,16.097747497423292,1.8954393610215448e-11,16420.58261048474,802.4144434593788,0.6543568913839237,13.910212770863208,16.0,False,135.66053638098387,1e-07,0
gp_ceiling16,18.5,0.8923247483002499,-3.5806898882096085,0.5,-7081.573128077864,1977.1781075578217,-7263.1838723512765,2027.8839014796501,0.9749957115962946,16.499999999999996,20.499999999999996,11.999999999999998,27.999999999999996,16,18,30,67539.0,5124142.0,20115.0,9.448743114488282,15.859413152251552,7.369160837100708e-12,20049.31650485335,966.6604547535654,0.6715423976797962,14.255795432038948,16.0,False,134.34890857819013,1e-07,0
gp_ceiling16,18.75,0.9056295192666749,-2.606213907197579,0.5,-6284.504915999838,2411.0533741830714,-6460.327936740565,2478.5079617889664,0.9727841957153904,16.749999999999996,20.749999999999996,11.999999999999998,27.999999999999996,16,19,29,87654.0,5013279.0,24011.0,7.491893140679299,10.888068605714334,1.0763612223740893e-13,24093.030077527168,237.51116648343486,0.48103204971891156,10.197831225928773,16.0,False,133.28731892944322,1e-07,0
gp_ceiling16,19.0,0.9189342902330999,-2.277676268417484,0.5,-5883.0237098963,2582.6349952808628,-6061.990711115895,2661.2011311903075,0.9704771897965099,16.999999999999996,20.999999999999996,11.999999999999998,27.999999999999996,16,20,28,111665.0,4896879.0,28510.0,7.017527256272571,9.611431848128667,2.9169057003120002e-08,28491.09008315329,175.95108007645572,0.4457169371634435,9.43680318575781,16.0,False,131.92245560548514,1e-07,1
gp_ceiling16,19.25,0.9322390611995248,-1.8246933964495413,0.5,-4937.039600292469,2705.4533576521744,-5099.842272670329,2794.6677598606025,0.968076920094116,17.249999999999996,21.249999999999996,11.999999999999998,27.999999999999996,16,21,27,140175.0,4774389.0,33345.0,8.832855845299463,10.497608840822744,1.8142606306170705e-08,33230.36103195473,150.36522884146373,0.4341386279154803,9.179978070378693,16.0,False,132.18379765783743,1e-07,0
gp_ceiling16,19.5,0.94554383216595,-1.3883738464456792,0.5,-4181.8836442839,3011.9649924765854,-4255.643481388338,3065.089867797545,0.9826677593113662,17.249999999999996,21.75,11.999999999999998,27.999999999999996,18,21,25,140175.0,4514237.0,33345.0,9.990933534538625,10.95472450328581,4.086227578525836e-08,33229.88728492597,158.3531303833582,0.4351305909842356,9.189569369148996,16.0,False,123.07504809646983,1e-07,0
gp_ceiling16,19.75,0.9588486031323749,-0.6236138673489275,0.5,-1967.8161632863896,3155.452783835551,-2005.8212434475026,3216.395080291739,0.9810526086084362,17.499999999999996,22.0,11.999999999999998,27.999999999999996,18,22,24,173520.0,4376024.0,38639.0,10.856622684105252,11.051069811880195,1.7664612506074207e-07,38284.41235336565,167.23579997303764,0.4387704417713164,9.25527907418213,16.0,False,122.395665745109,1e-07,1
gp_ceiling16,20.0,0.9721533740988,0.15524883312039275,0.4383125758405299,503.6226155165232,3243.98410165466,514.2380690771862,3312.36141737017,0.9793569278530609,17.75,22.25,11.999999999999998,27.999999999999996,18,23,23,212159.0,4232316.0,43342.0,11.313262150456877,11.325313250549499,1.609823385706477e-13,43624.421298863126,219.49354874766388,0.46708378148826923,9.840955646704373,16.0,False,121.50556630732382,1e-07,0
gp_ceiling16,20.25,0.9854581450652249,1.2444518428280271,0.10666665635688166,4399.391162307147,3535.305225902621,4500.280580238933,3616.37891844181,0.9775815271663729,18.0,22.5,11.999999999999998,27.999999999999996,18,24,22,255501.0,4084232.0,49502.0,8.163883297277314,8.93821349183635,3.089160094393861e-08,49163.27491029897,158.4889233617788,0.43921558009586037,9.24322963880418,16.0,False,118.95919803330816,1e-07,1
