source,lower_edge_MeV,family,fit_ok,native_pearson_chi2ndf,native_poisson_deviance_ndf,rebin5_pearson_chi2ndf,rebin5_poisson_deviance_ndf,rebin5_max_abs_pearson_residual,minimum_normalized_free_parameter_bound_distance,aggregate_validation_pass,audit_gate_pass,root_path_at_audit,root_sha256,metadata_path_at_audit,metadata_sha256
1pct,40,fSigPow,False,75.48402808824916,72.82474825132789,376.27045740920073,363.68457048177817,50.57025246460337,0.0,True,False,/tmp/v4p8_common_family_1pct_0040.root,1ff09fbc12d9bb3435ddc7a39c07547f7b63e5bde92a0b45ed44d4ca091394f3,/tmp/v4p8_common_family_1pct_0040.root.metadata.json,a8f34889a96dcb96f31855ce4b468ffc2b893b1aa6fcb72a1ab7bc76b804af4b
1pct,40,fShiftSigPow,False,21.363226896294186,20.17108486873595,103.57459725371245,98.08080777000822,18.29808455228796,0.0,True,False,/tmp/v4p8_common_family_1pct_0040.root,1ff09fbc12d9bb3435ddc7a39c07547f7b63e5bde92a0b45ed44d4ca091394f3,/tmp/v4p8_common_family_1pct_0040.root.metadata.json,a8f34889a96dcb96f31855ce4b468ffc2b893b1aa6fcb72a1ab7bc76b804af4b
1pct,40,fShiftSigPowTail,False,1.6650028214545158,1.6801748066789706,4.508782807085154,4.549656997008185,5.8027984463728,1.9978726e-09,True,False,/tmp/v4p8_common_family_1pct_0040.root,1ff09fbc12d9bb3435ddc7a39c07547f7b63e5bde92a0b45ed44d4ca091394f3,/tmp/v4p8_common_family_1pct_0040.root.metadata.json,a8f34889a96dcb96f31855ce4b468ffc2b893b1aa6fcb72a1ab7bc76b804af4b
1pct,40,fGenGammaThresh,False,1.2103209733548226,1.2106519727438738,2.1603489342119584,2.1601637655942922,5.680417404358237,1.084842e-07,True,False,/tmp/v4p8_common_family_1pct_0040.root,1ff09fbc12d9bb3435ddc7a39c07547f7b63e5bde92a0b45ed44d4ca091394f3,/tmp/v4p8_common_family_1pct_0040.root.metadata.json,a8f34889a96dcb96f31855ce4b468ffc2b893b1aa6fcb72a1ab7bc76b804af4b
1pct,40,fGenGammaShift,False,7.264582917764837,6.325020911358928,31.927407929638424,27.728719323915865,54.62355416277023,5.5196281e-06,True,False,/tmp/v4p8_common_family_1pct_0040.root,1ff09fbc12d9bb3435ddc7a39c07547f7b63e5bde92a0b45ed44d4ca091394f3,/tmp/v4p8_common_family_1pct_0040.root.metadata.json,a8f34889a96dcb96f31855ce4b468ffc2b893b1aa6fcb72a1ab7bc76b804af4b
1pct,40,fEndpoint,False,12.381919064423316,12.605998203785223,58.491677325132834,59.84339620796673,30.830366985975534,8.2575924e-10,True,False,/tmp/v4p8_common_family_1pct_0040.root,1ff09fbc12d9bb3435ddc7a39c07547f7b63e5bde92a0b45ed44d4ca091394f3,/tmp/v4p8_common_family_1pct_0040.root.metadata.json,a8f34889a96dcb96f31855ce4b468ffc2b893b1aa6fcb72a1ab7bc76b804af4b
1pct,40,fLogPolyThresh,False,6898.662430218412,7204.1741192320105,34823.19547589399,36364.68669882243,429.4697000853648,6.95332679999999e-13,False,False,/tmp/v4p8_common_family_1pct_0040.root,1ff09fbc12d9bb3435ddc7a39c07547f7b63e5bde92a0b45ed44d4ca091394f3,/tmp/v4p8_common_family_1pct_0040.root.metadata.json,a8f34889a96dcb96f31855ce4b468ffc2b893b1aa6fcb72a1ab7bc76b804af4b
1pct,40,fBern5,False,1179930837.5094097,804.5123975430802,64028108.932516985,4020.1267435923287,159494.10364680388,3.5083047999999004e-14,True,False,/tmp/v4p8_common_family_1pct_0040.root,1ff09fbc12d9bb3435ddc7a39c07547f7b63e5bde92a0b45ed44d4ca091394f3,/tmp/v4p8_common_family_1pct_0040.root.metadata.json,a8f34889a96dcb96f31855ce4b468ffc2b893b1aa6fcb72a1ab7bc76b804af4b
1pct,50,fSigPow,False,4.657930510844872,4.67214045968727,19.530474245597343,19.62651979223155,23.442921842368996,7.520623e-11,True,False,/tmp/v4p8_common_family_1pct_0050.root,52f3354285f758f1b30483a1f22ff796a97c1b00d03280c1a2736e6a0ff1550a,/tmp/v4p8_common_family_1pct_0050.root.metadata.json,300a0e02ebf62d93e77d1a294871f86b94b501aff64e4e7ec733926076952d1d
1pct,50,fShiftSigPow,False,14.653635124137852,13.725165739551828,69.67274187691159,65.48549653772345,13.334266857574777,6.8654415e-11,True,False,/tmp/v4p8_common_family_1pct_0050.root,52f3354285f758f1b30483a1f22ff796a97c1b00d03280c1a2736e6a0ff1550a,/tmp/v4p8_common_family_1pct_0050.root.metadata.json,300a0e02ebf62d93e77d1a294871f86b94b501aff64e4e7ec733926076952d1d
