model,scenario,background_toy_index,mass_MeV,comparable,delta_lml_25_minus_20,abs_delta_lml_per_training_bin_20_to_25,abs_delta_ell_over_sigma_x_20_to_25,factor20_upper_exact,factor20_upper_near,factor20_top_branch_replicates,factor25_upper_exact,factor25_upper_near
regional_blend,2021_1pct_x10,0,65,True,-2.699243850656785e-07,6.748109626641962e-10,1.4611151467146834e-06,False,False,3,False,False
regional_blend,2021_1pct_x10,0,120,True,5.838046490680426e-09,1.4817376879899558e-11,4.0414673390749327e-05,False,False,3,False,False
regional_blend,2021_1pct_x10,0,210,True,7.339895091718063e-08,1.9417711882852018e-10,2.4848046506407114e-05,False,False,3,False,False
regional_blend,2021_1pct_x10,1,65,True,-2.7992155082756653e-07,6.998038770689163e-10,1.8501023935751453e-05,False,False,3,False,False
regional_blend,2021_1pct_x10,1,120,True,-2.5902409106492996e-08,6.574215509262182e-11,2.6029672023648393e-06,False,False,3,False,False
regional_blend,2021_1pct_x10,1,210,True,6.639038474531844e-08,1.7563593847967841e-10,4.1630864292852246e-05,False,False,2,False,False
regional_blend,2021_1pct_x10,2,65,True,6.489510724350112e-07,1.6223776810875278e-09,2.848763034655522e-05,False,False,3,False,False
regional_blend,2021_1pct_x10,2,120,True,1.6266949387500063e-07,4.1286673572335184e-10,1.635186516705656e-05,False,False,3,False,False
regional_blend,2021_1pct_x10,2,210,True,-4.687576620199252e-07,1.240099634973347e-09,4.129229679448667e-05,False,False,3,False,False
regional_blend,2021_1pct_x100,0,65,True,8.476024731862708e-06,2.119006182965677e-08,4.4221960086445116e-08,False,False,3,False,False
regional_blend,2021_1pct_x100,0,120,True,4.7173011807899456e-07,1.1972845636522705e-09,0.00012190216625521191,False,False,3,False,False
regional_blend,2021_1pct_x100,0,210,True,2.548300471971743e-06,6.7415356401368854e-09,4.940948640757263e-05,False,False,3,False,False
regional_blend,2021_1pct_x100,1,65,True,-3.5449206734483596e-06,8.8623016836209e-09,0.00020232936075595284,False,False,3,False,False
regional_blend,2021_1pct_x100,1,120,True,-2.726000275288243e-06,6.918782424589449e-09,6.853173230381029e-07,False,False,3,False,False
regional_blend,2021_1pct_x100,1,210,True,-3.597172508307267e-06,9.516329387056263e-09,3.161147511776118e-05,False,False,3,False,False
regional_blend,2021_1pct_x100,2,65,True,-2.5437450403842377e-06,6.359362600960594e-09,2.0397177375692708e-05,False,False,3,False,False
regional_blend,2021_1pct_x100,2,120,True,-9.92698460322572e-07,2.5195392393973907e-09,9.165421396146812e-06,False,False,3,False,False
regional_blend,2021_1pct_x100,2,210,True,-6.474140946011175e-06,1.7127357000029563e-08,2.3725307880011196e-05,False,False,2,False,False
