scope_key,selected_scope_key,mass_MeV,mass_GeV,dataset_set,sigma_by_dataset_GeV,sigma_effective_GeV,next_mass_step_GeV,next_interval_sigma_mid_GeV,N_eff_next_interval_contribution,independence_width_sigma,p0_local_asymptotic,is_scope_scan_minimum,report_target_toys
final_total_search_window,all_2015_2016_2021,65,0.065,2015+2016+2021,"{""2015"":0.0033670121480552997,""2016"":0.0026643708062500005,""2021"":0.002121696875}",0.002121696875,0.0010000000000000009,0.0021266341875000004,0.20898960764235563,2.25,0.0052224867521403,False,300
final_total_search_window,all_2015_2016_2021,66,0.066,2015+2016+2021,"{""2015"":0.003420231231921,""2016"":0.00270243172304,""2021"":0.0021315715000000002}",0.0021315715000000002,0.0010000000000000009,0.0021365946875,0.2080153278694534,2.25,0.002844895053562,True,300
final_total_search_window,all_2015_2016_2021,67,0.067,2015+2016+2021,"{""2015"":0.0034734503157867,""2016"":0.0027407539156900002,""2021"":0.002141617875}",0.002141617875,0.0010000000000000009,0.0021467269375,0.20703352470250763,2.25,0.01979720387392,False,300
final_total_search_window,all_2015_2016_2021,68,0.068,2015+2016+2021,"{""2015"":0.0035266693996524002,""2016"":0.00277934059264,""2021"":0.002151836}",0.002151836,0.0010000000000000009,0.0021570309375000003,0.2060445386840655,2.25,0.1546843414163939,False,300
final_total_search_window,all_2015_2016_2021,69,0.069,2015+2016+2021,"{""2015"":0.0035798884835181,""2016"":0.002818194695690001,""2021"":0.0021622258750000002}",0.0021622258750000002,0.0010000000000000009,0.0021675066875,0.20504870735004124,2.25,0.5,False,300
final_total_search_window,all_2015_2016_2021,70,0.07,2015+2016+2021,"{""2015"":0.0036331075673838,""2016"":0.002857318900000001,""2021"":0.0021727875000000004}",0.0021727875000000004,0.000999999999999987,0.0021781541875,0.20404636503467855,2.25,0.5,False,300
final_total_search_window,all_2015_2016_2021,71,0.071,2015+2016+2021,"{""2015"":0.0036863266512494994,""2016"":0.00289671561409,""2021"":0.002183520875}",0.002183520875,0.0010000000000000009,0.0021889734375,0.20303784268485206,2.25,0.5,False,300
final_total_search_window,all_2015_2016_2021,72,0.072,2015+2016+2021,"{""2015"":0.0037395457351151996,""2016"":0.00293638697984,""2021"":0.002194426}",0.002194426,0.0010000000000000009,0.0021999644375,0.20202346768364285,2.25,0.5,False,300
final_total_search_window,all_2015_2016_2021,73,0.073,2015+2016+2021,"{""2015"":0.0037927648189808997,""2016"":0.00297633487249,""2021"":0.002205502875}",0.002205502875,0.0010000000000000009,0.0022111271875,0.20100356368326042,2.25,0.5,False,300
final_total_search_window,all_2015_2016_2021,74,0.074,2015+2016+2021,"{""2015"":0.0038459839028465994,""2016"":0.00301656090064,""2021"":0.0022167515}",0.0022167515,0.0010000000000000009,0.0022224616875,0.19997845044716653,2.25,0.5,False,300
final_total_search_window,all_2015_2016_2021,75,0.075,2015+2016+2021,"{""2015"":0.0038992029867122996,""2016"":0.0030570664062500004,""2021"":0.002228171875}",0.002228171875,0.0010000000000000009,0.0022339679375000003,0.19894844370139703,2.25,0.5,False,300
final_total_search_window,all_2015_2016_2021,76,0.076,2015+2016+2021,"{""2015"":0.003952422070578,""2016"":0.00309785246464,""2021"":0.002239764}",0.002239764,0.0010000000000000009,0.0022456459375,0.19791385499498176,2.25,0.4341895495474167,False,300
final_total_search_window,all_2015_2016_2021,77,0.077,2015+2016+2021,"{""2015"":0.0040056411544437,""2016"":0.00313891988449,""2021"":0.002251527875}",0.002251527875,0.0010000000000000009,0.0022574956875,0.196874991569367,2.25,0.1881234839691591,False,300
final_total_search_window,all_2015_2016_2021,78,0.078,2015+2016+2021,"{""2015"":0.0040588602383094,""2016"":0.0031802692078400003,""2021"":0.0022634635}",0.0022634635,0.0010000000000000009,0.0022695171875000003,0.1958321562367303,2.25,0.0630995221926668,False,300
final_total_search_window,all_2015_2016_2021,79,0.079,2015+2016+2021,"{""2015"":0.0041120793221751,""2016"":0.0032219007100900005,""2021"":0.002275570875}",0.002275570875,0.0010000000000000009,0.0022817104375,0.1947856472670603,2.25,0.0311304781958761,False,300
final_total_search_window,all_2015_2016_2021,80,0.08,2015+2016+2021,"{""2015"":0.0041652984060407995,""2016"":0.003263814400000001,""2021"":0.00228785}",0.00228785,0.0010000000000000009,0.0022940754375000002,0.19373575828386191,2.25,0.0487498921847231,False,300
final_total_search_window,all_2015_2016_2021,81,0.081,2015+2016+2021,"{""2015"":0.0042185174899065,""2016"":0.0033060100196900003,""2021"":0.0023003008750000003}",0.0023003008750000003,0.0010000000000000009,0.0023066121875000003,0.19268277816833687,2.25,0.0839878204256946,False,300
final_total_search_window,all_2015_2016_2021,82,0.082,2015+2016+2021,"{""2015"":0.0042717365737722,""2016"":0.0033484870446400007,""2021"":0.0023129235000000003}",0.0023129235000000003,0.0010000000000000009,0.0023193206875000002,0.19162699097187472,2.25,0.3957622986964634,False,300
final_total_search_window,all_2015_2016_2021,83,0.083,2015+2016+2021,"{""2015"":0.0043249556576379,""2016"":0.0033912446836900003,""2021"":0.002325717875}",0.002325717875,0.0010000000000000009,0.0023322009375,0.19056867583668263,2.25,0.5,False,300
final_total_search_window,all_2015_2016_2021,84,0.084,2015+2016+2021,"{""2015"":0.0043781747415036,""2016"":0.003434281879040001,""2021"":0.002338684}",0.002338684,0.0010000000000000009,0.0023452529375000003,0.18950810692437084,2.25,0.5,False,300
final_total_search_window,all_2015_2016_2021,85,0.085,2015+2016+2021,"{""2015"":0.0044313938253693,""2016"":0.00347759730625,""2021"":0.002351821875}",0.002351821875,0.000999999999999987,0.0023584766875,0.1884455533523007,2.25,0.5,False,300
final_total_search_window,all_2015_2016_2021,86,0.086,2015+2016+2021,"{""2015"":0.004484612909235,""2016"":0.0035211893742400006,""2021"":0.0023651315}",0.0023651315,0.0010000000000000009,0.0023718721875,0.1873812791375146,2.25,0.5,False,300
final_total_search_window,all_2015_2016_2021,87,0.087,2015+2016+2021,"{""2015"":0.0045378319931007,""2016"":0.0035650562252900002,""2021"":0.002378612875}",0.002378612875,0.0010000000000000009,0.0023854394375000003,0.18631554314798854,2.25,0.5,False,300
final_total_search_window,all_2015_2016_2021,88,0.088,2015+2016+2021,"{""2015"":0.004591051076966399,""2016"":0.0036091957350400006,""2021"":0.002392266}",0.002392266,0.0010000000000000009,0.0023991784375,0.18524859906108793,2.25,0.5,False,300
final_total_search_window,all_2015_2016_2021,89,0.089,2015+2016+2021,"{""2015"":0.004644270160832099,""2016"":0.00365360551249,""2021"":0.002406090875}",0.002406090875,0.0010000000000000009,0.0024130891875,0.18418069532891843,2.25,0.4319897972982636,False,300
final_total_search_window,all_2015_2016_2021,90,0.09,2015+2016+2021,"{""2015"":0.004697489244697799,""2016"":0.0036982828999999992,""2021"":0.0024200875}",0.0024200875,0.0010000000000000009,0.0024271716875,0.18311207515040892,2.25,0.1060444580309974,False,300
final_total_search_window,pair_2016_2021,91,0.091,2016+2021,"{""2016"":0.00374322497329,""2021"":0.002434255875}",0.002434255875,0.0010000000000000009,0.0024414259375,0.18204297644988252,2.25,0.0236184348601711,False,300
final_total_search_window,pair_2016_2021,92,0.092,2016+2021,"{""2016"":0.00378842854144,""2021"":0.002448596}",0.002448596,0.0010000000000000009,0.0024558519375,0.1809736318618943,2.25,0.0078888423595228,False,300
final_total_search_window,pair_2016_2021,93,0.093,2016+2021,"{""2016"":0.0038338901468899997,""2021"":0.0024631078750000004}",0.0024631078750000004,0.0010000000000000009,0.0024704496875,0.17990426872210682,2.25,0.0088544250944544,False,300
final_total_search_window,pair_2016_2021,94,0.094,2016+2021,"{""2016"":0.0038796060654399996,""2021"":0.0024777915}",0.0024777915,0.0010000000000000009,0.0024852191875000002,0.1788351090639746,2.25,0.0311367747806303,False,300
final_total_search_window,pair_2016_2021,95,0.095,2016+2021,"{""2016"":0.003925572306250001,""2021"":0.002492646875}",0.002492646875,0.0010000000000000009,0.0025001604375,0.1777663696210075,2.25,0.1578860700122812,False,300
final_total_search_window,pair_2016_2021,96,0.096,2016+2021,"{""2016"":0.0039717846118400004,""2021"":0.002507674}",0.002507674,0.0010000000000000009,0.0025152734375,0.1766982618343835,2.25,0.481832742668617,False,300
final_total_search_window,pair_2016_2021,97,0.097,2016+2021,"{""2016"":0.004018238458090001,""2021"":0.002522872875}",0.002522872875,0.0010000000000000009,0.0025305581875000004,0.17563099186568093,2.25,0.5,False,300
final_total_search_window,pair_2016_2021,98,0.098,2016+2021,"{""2016"":0.004064929054240001,""2021"":0.0025382435000000005}",0.0025382435000000005,0.0010000000000000009,0.0025460146875000006,0.17456476061450243,2.25,0.5,False,300
final_total_search_window,pair_2016_2021,99,0.099,2016+2021,"{""2016"":0.00411185134289,""2021"":0.0025537858750000002}",0.0025537858750000002,0.0010000000000000009,0.0025616429375,0.17349976374076326,2.25,0.5,False,300
final_total_search_window,pair_2016_2021,100,0.1,2016+2021,"{""2016"":0.004159,""2021"":0.0025695}",0.0025695,0.0010000000000000009,0.0025774429375000005,0.17243619169141927,2.25,0.5,False,300
final_total_search_window,pair_2016_2021,101,0.101,2016+2021,"{""2016"":0.0042063694348900005,""2021"":0.0025853858750000003}",0.0025853858750000003,0.000999999999999987,0.0025934146875,0.1713742297314103,2.25,0.5,False,300
final_total_search_window,pair_2016_2021,102,0.102,2016+2021,"{""2016"":0.004253953790240001,""2021"":0.0026014435}",0.0026014435,0.0010000000000000009,0.0026095581875,0.17031405797861515,2.25,0.5,False,300
final_total_search_window,pair_2016_2021,103,0.103,2016+2021,"{""2016"":0.00430174694209,""2021"":0.002617672875}",0.002617672875,0.0010000000000000009,0.0026258734375,0.16925585144255256,2.25,0.5,False,300
final_total_search_window,pair_2016_2021,104,0.104,2016+2021,"{""2016"":0.00434974249984,""2021"":0.002634074}",0.002634074,0.0010000000000000009,0.0026423604375,0.16819978006669833,2.25,0.5,False,300
final_total_search_window,pair_2016_2021,105,0.105,2016+2021,"{""2016"":0.0043979338062500005,""2021"":0.002650646875}",0.002650646875,0.0010000000000000009,0.0026590191875,0.16714600877412616,2.25,0.4998622584051908,False,300
final_total_search_window,pair_2016_2021,106,0.106,2016+2021,"{""2016"":0.00444631393744,""2021"":0.0026673915}",0.0026673915,0.0010000000000000009,0.0026758496874999997,0.1660946975163174,2.25,0.5,False,300
final_total_search_window,pair_2016_2021,107,0.107,2016+2021,"{""2016"":0.004494875702890001,""2021"":0.002684307875}",0.002684307875,0.0010000000000000009,0.0026928519375,0.1650460013249224,2.25,0.5,False,300
final_total_search_window,pair_2016_2021,108,0.108,2016+2021,"{""2016"":0.00454361164544,""2021"":0.002701396}",0.002701396,0.0010000000000000009,0.0027100259375,0.16400007036628034,2.25,0.4998622584051908,False,300
final_total_search_window,pair_2016_2021,109,0.109,2016+2021,"{""2016"":0.004592514041290001,""2021"":0.002718655875}",0.002718655875,0.0010000000000000009,0.0027273716875,0.16295704999850513,2.25,0.4999026019832914,False,300
final_total_search_window,pair_2016_2021,110,0.11,2016+2021,"{""2016"":0.004641574900000001,""2021"":0.0027360875000000005}",0.0027360875000000005,0.0010000000000000009,0.0027448891875000003,0.1619170808309524,2.25,0.4999026019832914,False,300
final_total_search_window,pair_2016_2021,111,0.111,2016+2021,"{""2016"":0.00469078596449,""2021"":0.002753690875}",0.002753690875,0.0010000000000000009,0.0027625784375,0.16088029878588556,2.25,0.5,False,300
final_total_search_window,pair_2016_2021,112,0.112,2016+2021,"{""2016"":0.004740138711040001,""2021"":0.002771466}",0.002771466,0.0010000000000000009,0.0027804394375,0.15984683516216483,2.25,0.4999026019832914,False,300
final_total_search_window,pair_2016_2021,113,0.113,2016+2021,"{""2016"":0.004789624349289999,""2021"":0.002789412875}",0.002789412875,0.0010000000000000009,0.0027984721875,0.15881681670078945,2.25,0.5,False,300
final_total_search_window,pair_2016_2021,114,0.114,2016+2021,"{""2016"":0.004839233822240001,""2021"":0.0028075315}",0.0028075315,0.0010000000000000009,0.0028166766875000002,0.15779036565212629,2.25,0.5,False,300
final_total_search_window,pair_2016_2021,115,0.115,2016+2021,"{""2016"":0.00488895780625,""2021"":0.0028258218750000005}",0.0028258218750000005,0.0010000000000000009,0.0028350529375000006,0.15676759984466596,2.25,0.5,False,300
final_total_search_window,pair_2016_2021,116,0.116,2016+2021,"{""2016"":0.004938786711040002,""2021"":0.0028442840000000003}",0.0028442840000000003,0.0010000000000000009,0.0028536009375000003,0.15574863275515194,2.25,0.5,False,300
final_total_search_window,pair_2016_2021,117,0.117,2016+2021,"{""2016"":0.004988710679689999,""2021"":0.0028629178750000004}",0.0028629178750000004,0.000999999999999987,0.0028723206875,0.1547335735799308,2.25,0.3621183317167684,False,300
final_total_search_window,pair_2016_2021,118,0.118,2016+2021,"{""2016"":0.00503871958864,""2021"":0.0028817235}",0.0028817235,0.0010000000000000009,0.0028912121875,0.153722527307396,2.25,0.2428039409349742,False,300
final_total_search_window,pair_2016_2021,119,0.119,2016+2021,"{""2016"":0.005088803047690001,""2021"":0.0029007008750000004}",0.0029007008750000004,0.0010000000000000009,0.0029102754375,0.15271559479134175,2.25,0.116401515801647,False,300
final_total_search_window,pair_2016_2021,120,0.12,2016+2021,"{""2016"":0.0051389504,""2021"":0.00291985}",0.00291985,0.0010000000000000009,0.0029295104375,0.15171287282516974,2.25,0.0772104479167184,False,300
