dataset,latent_clip_fallback,latent_draw_attempts,latent_minimum_before_fallback,mass_GeV,mass_MeV,observation_max,observation_min,observation_sha256,observation_sum,seed_descriptor,toy_id
2015,False,1,67068.01010646712,0.021,21,161446,66732,64462bd72536facf6ea1a96b5c77670d5eae984c93fb2cf76c35468a01c851c8,2102509,"[491204,21,32,0]",32
2015,False,1,66993.96420816382,0.021,21,161285,67294,ac681841bdcdab952c33159c428b3aae56d5b632d9eba8581f4a3fcbb7455604,2107003,"[491204,21,33,0]",33
2015,False,1,66983.12856572222,0.021,21,160448,66634,4bf539e6b5eefb1dce184d48252fe392c0f977b7f08e6466aa5ac5ac11249f5a,2101139,"[491204,21,34,0]",34
2015,False,1,66684.77644346208,0.021,21,161405,66315,c6a18d382c0f1526b8d03e7ab9b5058f57ef7dbb877b17eaa0053b5e6f14c5bd,2100690,"[491204,21,35,0]",35
2015,False,1,67168.49338583898,0.021,21,161649,67168,aad7ab6ba3abb41ae2d9beb200e817748375558998dc282b6891d67fdc97f828,2111655,"[491204,21,36,0]",36
2015,False,1,67058.47486493425,0.021,21,161049,67060,8d68e3c5bd7345b692de29eb7a5375d6b1c7e159c474f66ab4eb0593b6f2a706,2104079,"[491204,21,37,0]",37
2015,False,1,66846.15013171585,0.021,21,161707,66119,5d48555b1eb446ebaf38919ffc81ee6a5fe687a0d2ee76807c58eb82f3d30088,2100643,"[491204,21,38,0]",38
2015,False,1,67071.59115831855,0.021,21,160573,67527,3d94d19fd69263b4369756b83c1c24f9910f42299d4b85114756040648fff934,2106253,"[491204,21,39,0]",39
2015,False,1,67213.52937259368,0.021,21,161704,67055,c5cf8aa8fb16f91d095766d1f1dd76759ad8c40c7e6e26c39f6651c6b91f7064,2105267,"[491204,21,40,0]",40
2015,False,1,66943.05750401401,0.021,21,160595,66454,f789678288c13f782f92635760bdf83b9b02f1e3fd25a20e60a80c5d61ccac0e,2098666,"[491204,21,41,0]",41
2015,False,1,66906.44943829245,0.021,21,161759,66987,d69827ad62f6838089d43d030e8c9c52a4a8f51934c0bd677b45edb697ec9deb,2101795,"[491204,21,42,0]",42
2015,False,1,67070.48594735168,0.021,21,161889,67378,10b103842fb187c207cf904eb0cd6a4f6d03df77f8d294bc43eab29343b21ff1,2108891,"[491204,21,43,0]",43
2015,False,1,66658.91270105068,0.021,21,160732,66962,61ac982a165aec2a49492faba7784ea7d1e47c1ef7751e61fe7dc2eebc964064,2095439,"[491204,21,44,0]",44
2015,False,1,66889.22089994409,0.021,21,161672,67012,ad12a58791af714ae02f9cdfb6d84d3f6db90e8ff417802c532e87947897d7b9,2101689,"[491204,21,45,0]",45
2015,False,1,66841.26098336159,0.021,21,160635,66556,45f909752db96caca3cecb133e1155c0eff77e63a58625604552722fe8f28c2d,2095942,"[491204,21,46,0]",46
2015,False,1,67048.27957910186,0.021,21,161015,66434,4e5a6636bd2bcc2e77240dba9d3631177983e750766363f536f8d9ab25df6385,2107098,"[491204,21,47,0]",47
2015,False,1,67060.50530633795,0.021,21,161481,66981,08a19048fefa8ce98e4b616b37d9e46db5e1cbd89d284bd1ad489a03ae443a8e,2106747,"[491204,21,48,0]",48
2015,False,1,67035.89309740863,0.021,21,161219,67049,72d7e831e0e10b568ef5c7be602f46552044842b04d7cd1c483c0aca0512e06e,2107583,"[491204,21,49,0]",49
