scope_key,scope_label,dataset_set,mass_MeV,mass_GeV,n_toys,toy_id_min,toy_id_max,eps2_observed,expected_q025,expected_q16,expected_median,expected_q84,expected_q975,expected_mean,expected_std,observed_empirical_cdf,quantile_method,conditional_on_frozen_gp,gp_refit_per_toy
individual_2015_full,2015 full,2015,35,0.035,300,0,299,3.588134781178029e-06,3.490162225096484e-06,4.718177232517541e-06,6.673919670072257e-06,9.606992715879383e-06,1.3951840315288296e-05,7.168030544386396e-06,2.574519112937359e-06,0.043333333333333335,linear,True,False
individual_2015_full,2015 full,2015,36,0.036,300,0,299,5.20694440023428e-06,3.589882370667277e-06,4.844174523855379e-06,6.8775153856563176e-06,9.972078563711858e-06,1.2868738989208093e-05,7.329760491257978e-06,2.540273747689984e-06,0.21666666666666667,linear,True,False
individual_2015_full,2015 full,2015,37,0.037,300,0,299,7.58231184821308e-06,3.6414276988867396e-06,4.824918916585967e-06,6.8487925406165155e-06,9.5638403794374e-06,1.3938968812682418e-05,7.251432760654406e-06,2.6745613865774953e-06,0.6166666666666667,linear,True,False
individual_2015_full,2015 full,2015,38,0.038,300,0,299,1.2192184480002685e-05,3.685171178655304e-06,4.791069297634439e-06,6.920442882732849e-06,1.0378620614777478e-05,1.4403259161646093e-05,7.480889141827845e-06,2.814350540519952e-06,0.9466666666666667,linear,True,False
individual_2015_full,2015 full,2015,39,0.039,300,0,299,1.4949852389226707e-05,3.7705303352469637e-06,5.1337972157607885e-06,7.077260061175979e-06,1.0067291439866156e-05,1.3754803811123188e-05,7.545300242131323e-06,2.5116937980919113e-06,0.9966666666666667,linear,True,False
individual_2015_full,2015 full,2015,40,0.04,300,0,299,1.317242998300001e-05,3.7074329551392824e-06,5.080475921164017e-06,6.9096345347055725e-06,9.874389281077827e-06,1.3924417498575275e-05,7.479345226501079e-06,2.7222710536310384e-06,0.97,linear,True,False
individual_2015_full,2015 full,2015,41,0.041,300,0,299,9.396311128623854e-06,3.61976631864728e-06,5.062871386231372e-06,7.0072450792406185e-06,1.0503636861273525e-05,1.3893251903181705e-05,7.703294587798193e-06,2.7683705951319506e-06,0.7266666666666667,linear,True,False
individual_2015_full,2015 full,2015,42,0.042,300,0,299,5.9512731721207875e-06,3.886099453841653e-06,5.187479223134575e-06,7.2128906206455105e-06,1.0114345148578997e-05,1.3310230886535674e-05,7.592514947769305e-06,2.6742215694778896e-06,0.2966666666666667,linear,True,False
individual_2015_full,2015 full,2015,43,0.043,300,0,299,4.280074516821396e-06,4.073049535591962e-06,5.188841501179714e-06,7.673895713075467e-06,1.1359540631567838e-05,1.4686859084481126e-05,8.218657954659675e-06,3.0025624889631884e-06,0.043333333333333335,linear,True,False
individual_2015_full,2015 full,2015,44,0.044,300,0,299,3.7098331384777297e-06,3.838641772841177e-06,5.392622378251087e-06,7.84891031501878e-06,1.1625294850801943e-05,1.4408052130452968e-05,8.36449447456752e-06,2.9853471784697597e-06,0.023333333333333334,linear,True,False
individual_2015_full,2015 full,2015,45,0.045,300,0,299,3.683545528067656e-06,4.487015989003556e-06,6.095728619934579e-06,8.755648703586287e-06,1.1726205123097677e-05,1.6776306722799543e-05,9.057344631703653e-06,3.0507923300129422e-06,0.0,linear,True,False
individual_2015_full,2015 full,2015,46,0.046,300,0,299,4.575335944936353e-06,4.415633813874479e-06,5.940651207758462e-06,7.966139147011765e-06,1.1086462735540774e-05,1.5698595885196954e-05,8.585085585723243e-06,2.8667610109438823e-06,0.03666666666666667,linear,True,False
individual_2015_full,2015 full,2015,47,0.047,300,0,299,7.24043299558171e-06,4.3681328212520636e-06,6.190424646459181e-06,8.490689499490455e-06,1.2109945091237246e-05,1.7016946320883018e-05,9.103925179167605e-06,3.320634556487276e-06,0.30666666666666664,linear,True,False
