scope_key,scope_label,dataset_set,mass_MeV,mass_GeV,n_toys,toy_id_min,toy_id_max,eps2_observed,expected_q025,expected_q16,expected_median,expected_q84,expected_q975,expected_mean,expected_std,observed_empirical_cdf,quantile_method,conditional_on_frozen_gp,gp_refit_per_toy
individual_2015_full,2015 full,2015,33,0.033,100,0,99,4.684199957165572e-06,3.5905826113693336e-06,4.4599467894331e-06,6.684741377540833e-06,9.951819819421408e-06,1.341917431799848e-05,7.181674663595891e-06,2.75585607247199e-06,0.19,linear,True,False
individual_2015_full,2015 full,2015,34,0.034,100,0,99,3.892664198845847e-06,3.667445638879466e-06,4.712008972360622e-06,6.770799900781776e-06,9.91210791738996e-06,1.3896452702681176e-05,7.214550606320935e-06,2.714006597664005e-06,0.05,linear,True,False
individual_2015_full,2015 full,2015,35,0.035,100,0,99,3.588134781178029e-06,3.511693411700695e-06,4.426408207411602e-06,6.229062289303804e-06,8.499475260718136e-06,1.2799756792867444e-05,6.6716989175441215e-06,2.3691057914621753e-06,0.04,linear,True,False
individual_2015_full,2015 full,2015,36,0.036,100,0,99,5.20694440023428e-06,3.5782015302283954e-06,5.032211630935293e-06,6.7307894522039506e-06,9.327680429615952e-06,1.2161804610638968e-05,6.985489857421579e-06,2.2761391069726127e-06,0.22,linear,True,False
individual_2015_full,2015 full,2015,37,0.037,100,0,99,7.58231184821308e-06,3.557667635643065e-06,4.6565457522768055e-06,6.182644013396095e-06,9.5638403794374e-06,1.487877717480795e-05,7.052771066110493e-06,2.826553524400605e-06,0.64,linear,True,False
individual_2015_full,2015 full,2015,38,0.038,100,0,99,1.2192184480002685e-05,4.115411890625079e-06,4.883958684043663e-06,6.873754755015797e-06,9.888458336401095e-06,1.3717196182768843e-05,7.41345738240228e-06,2.6891415381423358e-06,0.96,linear,True,False
individual_2015_full,2015 full,2015,39,0.039,100,0,99,1.4949852389226707e-05,3.549502780444294e-06,4.9275453753472325e-06,7.15279575188885e-06,9.538869836702113e-06,1.2916606501558636e-05,7.402812645529392e-06,2.391848103666155e-06,0.99,linear,True,False
individual_2015_full,2015 full,2015,40,0.04,100,0,99,1.317242998300001e-05,3.4234904912012985e-06,5.0310245265407755e-06,6.5019860420666316e-06,8.9984976496043e-06,1.148799951873122e-05,6.882861054573319e-06,2.2733032629178026e-06,0.99,linear,True,False
individual_2015_full,2015 full,2015,41,0.041,100,0,99,9.396311128623854e-06,3.535313798414388e-06,4.928054665174087e-06,6.619708686123229e-06,9.985355622027132e-06,1.3963017277966062e-05,7.326911424227788e-06,2.72522807376416e-06,0.78,linear,True,False
individual_2015_full,2015 full,2015,42,0.042,100,0,99,5.9512731721207875e-06,4.339586902726785e-06,5.916651134740434e-06,7.406440677513058e-06,1.025046498624068e-05,1.3319662697771557e-05,7.883336633127461e-06,2.311074269302418e-06,0.18,linear,True,False
individual_2015_full,2015 full,2015,43,0.043,100,0,99,4.280074516821396e-06,3.7389079116682437e-06,4.864872174829374e-06,7.401329314383722e-06,1.1161295632185706e-05,1.4462085561201151e-05,8.031371109409563e-06,3.2572518595992242e-06,0.08,linear,True,False
individual_2015_full,2015 full,2015,44,0.044,100,0,99,3.7098331384777297e-06,4.555913993015042e-06,5.993194623087397e-06,8.008927352373869e-06,1.1788088289629512e-05,1.5230407856523241e-05,8.472575653055125e-06,2.9474893212865405e-06,0.0,linear,True,False
individual_2015_full,2015 full,2015,45,0.045,100,0,99,3.683545528067656e-06,4.806394139766455e-06,5.870171717337727e-06,8.87976183378188e-06,1.1706094369321327e-05,1.712711211640699e-05,9.213340621345025e-06,3.117104072986649e-06,0.0,linear,True,False
individual_2015_full,2015 full,2015,46,0.046,100,0,99,4.575335944936353e-06,4.721635781137263e-06,5.957226102509947e-06,8.302181691018868e-06,1.127124287958099e-05,1.50391885596496e-05,8.693860441513171e-06,2.8529456640775123e-06,0.01,linear,True,False
individual_2015_full,2015 full,2015,47,0.047,100,0,99,7.24043299558171e-06,4.842829748869304e-06,6.190424646459181e-06,8.740847964515038e-06,1.2253176755771516e-05,1.4872686129543776e-05,9.11413391576883e-06,3.0449218017784284e-06,0.28,linear,True,False
individual_2015_full,2015 full,2015,48,0.048,100,0,99,1.2699075567649636e-05,4.128453245760421e-06,5.994278738944706e-06,8.524255403607504e-06,1.1093273635729832e-05,1.586691436542033e-05,8.880758164500983e-06,3.0713194150557267e-06,0.89,linear,True,False
individual_2015_full,2015 full,2015,49,0.049,100,0,99,1.959028266321166e-05,5.372898759372493e-06,7.077899274731734e-06,8.575141748898032e-06,1.3626287825489355e-05,1.7721605751861464e-05,9.761309789551005e-06,3.434822342820573e-06,0.99,linear,True,False
individual_2015_full,2015 full,2015,50,0.05,100,0,99,2.4600041512683968e-05,4.618172650028693e-06,6.644803014736943e-06,8.970289327491936e-06,1.3494817706081767e-05,1.928730327725182e-05,1.00047845577092e-05,3.929184068813908e-06,1.0,linear,True,False
individual_2015_full,2015 full,2015,51,0.051,100,0,99,2.6396501975452937e-05,5.38724495943018e-06,6.84573011684555e-06,9.57418031757422e-06,1.307866697803581e-05,1.8605264940010793e-05,1.0036427437459137e-05,3.629708463440983e-06,1.0,linear,True,False
individual_2015_full,2015 full,2015,52,0.052,100,0,99,2.112987415099241e-05,4.646766089399314e-06,6.538246208532411e-06,9.704584793045705e-06,1.3672261045499465e-05,1.826078344274394e-05,1.018895135832238e-05,3.9927980833396476e-06,0.99,linear,True,False
individual_2015_full,2015 full,2015,53,0.053,100,0,99,1.3931219940487204e-05,5.509952407574984e-06,7.266917816301509e-06,9.99264238868251e-06,1.5573667038828247e-05,2.3232466472790005e-05,1.0947488338215394e-05,4.512707017758089e-06,0.79,linear,True,False
individual_2015_full,2015 full,2015,54,0.054,100,0,99,8.595411764451371e-06,5.273125402284071e-06,7.709413572400104e-06,1.0466293374138968e-05,1.464622529737124e-05,1.9859909537332674e-05,1.1069231275782718e-05,3.8658599741459755e-06,0.25,linear,True,False
individual_2015_full,2015 full,2015,55,0.055,100,0,99,5.880489423159788e-06,5.960145939556815e-06,7.64180674049276e-06,1.201335224990417e-05,1.6556091075536204e-05,2.0797638157539197e-05,1.2251477780340307e-05,4.166198217031164e-06,0.03,linear,True,False
individual_2015_full,2015 full,2015,56,0.056,100,0,99,4.862577527049574e-06,6.144274507391624e-06,7.918609391701983e-06,1.158819111009138e-05,1.6019914183824046e-05,1.9811090892587633e-05,1.209065768434748e-05,4.259340469641208e-06,0.0,linear,True,False
individual_2015_full,2015 full,2015,57,0.057,100,0,99,4.840915191776256e-06,7.378982467679661e-06,9.421890363939979e-06,1.2500523715044333e-05,1.6367693238694003e-05,2.1775183986884258e-05,1.2845334354132715e-05,3.827189670820337e-06,0.0,linear,True,False
individual_2015_full,2015 full,2015,58,0.058,100,0,99,5.283110366417453e-06,6.887991924633583e-06,9.17153592683975e-06,1.2445106728501212e-05,1.802783895052328e-05,2.512058610886371e-05,1.3493819753182579e-05,4.72458816176579e-06,0.0,linear,True,False
individual_2015_full,2015 full,2015,59,0.059,100,0,99,6.560630951998236e-06,7.264552499875704e-06,8.784091161586415e-06,1.2379246211670517e-05,1.8434812165816367e-05,2.4411403545684987e-05,1.3558114012686027e-05,4.860072855522867e-06,0.0,linear,True,False
individual_2015_full,2015 full,2015,60,0.06,100,0,99,9.649835443871993e-06,7.291863963625811e-06,1.0057330553377273e-05,1.3437645166445699e-05,1.863971739653945e-05,2.2672371636580717e-05,1.4071430329166693e-05,4.558777851314544e-06,0.14,linear,True,False
