mass_MeV,old_gp_mean_counts_per_0p625MeV,old_gp_pointwise_std_counts_per_0p625MeV,new_gp_mean_counts_per_0p625MeV,new_gp_pointwise_std_counts_per_0p625MeV,delta_gp_mean_new_minus_old_counts_per_0p625MeV
60.34839177125,787235.08400386921,481.05748451754056,788267.86889964703,476.51218526888113,1032.7848957778187
60.349346534843761,787279.90024691389,481.13693752196161,788313.06887458148,476.60485698079782,1033.16862766759
60.350301298437508,787324.71477927512,481.21642638594983,788358.26694424462,476.69751681127116,1033.5521649695002
60.351256062031254,787369.52711908962,481.29585928579257,788403.46287856728,476.79018315140348,1033.9357594776666
60.352210825625001,787414.33749493863,481.37536464022025,788448.65691782709,476.88285614591877,1034.3194228884531
60.353165589218754,787459.14627277944,481.45476849830953,788493.84903845307,476.97553592472724,1034.7027656736318
60.354120352812508,787503.95287914842,481.53420793341405,788539.03909064655,477.06822210720981,1035.0862114981283
60.355075116406255,787548.75726754905,481.61369206244245,788584.22716555267,477.16090563242989,1035.4698980036192
60.356029880000008,787593.55978110328,481.69315703820797,788629.41331990366,477.25356801739173,1035.8535388003802
60.356984643593755,787638.36064845638,481.7726396022444,788674.59743834753,477.34627863898879,1036.2367898911471
60.357939407187509,787683.1594334254,481.85206629244959,788719.77961200906,477.43895884873649,1036.6201785836602
60.358894170781255,787727.95622707438,481.93144632205957,788764.95986325003,477.53166898540076,1037.0036361756502
60.359848934375009,787772.75077666959,482.01093520610766,788810.13800773653,477.62432996139495,1037.3872310669394
60.360803697968755,787817.54392977583,482.0903410587423,788855.31406784744,477.71707152884335,1037.7701380716171
60.361758461562502,787862.33481461625,482.16980071143917,788900.48841021571,477.80977357565342,1038.1535955994623
60.362713225156256,787907.12340752734,482.24922267381794,788945.6606439295,477.90247289289852,1038.5372364021605
60.363667988750009,787951.91051046329,482.32860744278219,788990.83079132123,477.99521576369972,1038.920280857943
60.364622752343756,787996.69566428452,482.40808278541715,789035.99908131431,478.08790068044408,1039.3034170297906
60.365577515937503,788041.47854716703,482.48746558333494,789081.16529519623,478.18064751397651,1039.6867480291985
60.366532279531256,788086.25957136101,482.56687513027873,789126.32962746895,478.27335474763635,1040.0700561079429
60.36748704312501,788131.03887385805,482.64626549834855,789171.49182490015,478.36607774234415,1040.452951042098
60.368441806718756,788175.81585770252,482.7257004761052,789216.65232322016,478.45877975975503,1040.836465517641
60.369396570312503,788220.5910497962,482.80511637499433,789261.81060504913,478.55153448579091,1041.2195552529301
60.37035133390625,788265.36444954504,482.88451319794376,789306.96695682558,478.6442867362864,1041.6025072805351
60.37130609750001,788310.13559751993,482.96392723717054,789352.12118262809,478.73699911415036,1041.9855851081666
60.372260861093757,788354.90522723866,483.04332237119473,789397.27359199931,478.82975056146154,1042.3683647606522
60.373215624687504,788399.67244326998,483.12267991413853,789442.42394305544,478.92249006884532,1042.7514997854596
60.37417038828125,788444.43786452105,483.20207309522368,789487.57235003065,479.01521308665951,1043.1344855095958
60.375125151875004,788489.20096258668,483.28149258760925,789532.71878934838,479.10797045187826,1043.5178267617011
60.376079915468758,788533.96242521296,483.36085654656853,789577.86317994108,479.20075300852091,1043.9007547281217
60.377034679062504,788578.72204534954,483.4402836716601,789623.0056475075,479.29347734908697,1044.2836021579569
60.377989442656258,788623.4794780477,483.51966406990084,789668.14596165484,479.38623591891542,1044.6664836071432
60.378944206250004,788668.23513579962,483.5989888626965,789713.28445494873,479.47897346155025,1045.0493191491114
60.379898969843758,788712.98871967825,483.67837667512339,789758.42083950865,479.57175449615062,1045.4321198303951
60.380853733437505,788757.74022902572,483.75780022638031,789803.55522956466,479.66450515951107,1045.8150005389471
60.381808497031258,788802.48996157083,483.83714062087023,789848.68784290168,479.7572904141681,1046.1978813308524
60.382763260625005,788847.23780202609,483.9165532733291,789893.8181271439,479.85004033667167,1046.5803251178004
60.383718024218751,788891.98335935874,483.9958643382372,789938.94671388238,479.94284322732176,1046.9633545236429
60.384672787812505,788936.72672485991,484.07527488182222,789984.07294721331,480.03560168258133,1047.3462223534007
