mass_MeV,bin_center_MeV,bin_width_MeV,observed,gp_mean,in_fit,gp_sd,b_gaussian_control,s_gaussian_control,total_gaussian_control,b_log_gp,s_log_gp,total_log_gp,b_fixed,s_fixed,total_fixed
182,191.3125,0.6250000000000144,97870.0,98479.7167507632,True,83.60830911708419,98409.66491078732,27.880174967897467,98437.54508575522,98409.68880018302,27.87312631138986,98437.56192649441,98479.71675004561,11.78930337741482,98491.50605342303
182,191.93749999999997,0.6250000000000144,96687.0,96825.45710160627,True,81.0329579171882,96758.83537581457,20.565461683482532,96779.40083749805,96758.85715121611,20.560262330340233,96779.41741354646,96825.45710090108,8.696231898198155,96834.15333279928
182,192.56250000000003,0.6249999999999867,95291.0,95198.08993459915,False,,,,,,,,,,
182,193.1875,0.6249999999999867,93038.0,93597.16079664651,False,,,,,,,,,,
182,193.81250000000003,0.6250000000000144,92175.0,92022.22299608107,False,,,,,,,,,,
182,194.4375,0.6249999999999867,90465.0,90472.83750462995,False,,,,,,,,,,
182,195.06250000000003,0.6249999999999867,88969.0,88948.57292011264,False,,,,,,,,,,
182,195.6875,0.6250000000000144,87228.0,87449.005463704,False,,,,,,,,,,
182,196.3125,0.6250000000000144,85406.0,85973.71888819085,False,,,,,,,,,,
182,196.93750000000003,0.6249999999999867,84915.0,84522.30444516867,False,,,,,,,,,,
182,197.5625,0.6249999999999867,83133.0,83094.3608437887,False,,,,,,,,,,
182,198.1875,0.6250000000000144,81967.0,81689.49415527449,False,,,,,,,,,,
182,198.81249999999997,0.6250000000000144,80748.0,80307.3177960633,False,,,,,,,,,,
182,199.43750000000003,0.6249999999999867,78687.0,78947.4524093526,False,,,,,,,,,,
