mass_MeV,sigma_MeV,n_fit_bins,eps2_current,r_current,current_Ahat_window,conversion_window_per_eps2,template_window_fraction,lml_delta,log_cov_relative_load,count_cov_relative_load,prediction_hash_exact,log_mean_median_relative,gp_relative_sd_max,log_loading_count_cov_max_relative,eps2_gaussian_control,r_gaussian_control,Ahat_gaussian_control,sigma_A_gaussian_control,cls_gaussian_control,score_gaussian_control,min_lambda_gaussian_control,eps2_log_gp,r_log_gp,Ahat_log_gp,sigma_A_log_gp,cls_log_gp,score_log_gp,min_lambda_log_gp,eps2_fixed,r_fixed,Ahat_fixed,sigma_A_fixed,cls_fixed,score_fixed,min_lambda_fixed,gaussian_control_relative_to_release
178,4.3243635000000005,31,4.165820091868971e-06,0.18110561539334433,520.1912503531454,1213032413.4851613,0.9747862845012633,0.0,1e-06,1e-06,True,3.831655301933523e-07,0.0008754034538063828,1.5851999561259478e-06,4.166120476028438e-06,0.18111117231316,519.9861775834294,2871.1341287808746,0.10000000000003688,1.0805494499166457e-08,108996.58400602032,4.165736951651084e-06,0.18130179978756178,520.5597896379594,2871.216888260526,0.10000000000009919,1.3714918090101946e-09,108996.57054678275,2.76821911491819e-06,0.3184060427601957,576.9367074206444,1812.0728401349143,0.10000000000001663,2.8701485632609547e-12,108978.04672411183,7.210684879388474e-05
179,4.353645875,31,5.176022035476851e-06,0.7366735624530732,2092.1177388037663,1186253343.5954776,0.9737900681195599,-1.4134825505607296e-06,1e-06,1e-06,True,3.8757308162828963e-07,0.0008804239396908609,1.584456994196903e-06,5.176376471305615e-06,0.7366738039286818,2091.3468388842516,2839.0907685405077,0.10000000000000224,2.087771111547454e-08,107153.03773996825,5.175796072039218e-06,0.736833914509295,2091.8613521764746,2838.916555289175,0.09999999999994957,2.656292075187139e-09,107153.02281874025,3.519430471050079e-06,0.9417279885193458,1687.6043886244215,1792.3845231042787,0.10000000003559542,2.2898993812248136e-10,107136.38344325889,6.847649147068147e-05
180,4.3831,31,5.945400428771237e-06,1.0935515632455315,3070.3768424369746,1160297082.978598,0.9728926896419932,1.3137650967109948e-07,1e-06,1e-06,True,3.922847884307856e-07,0.0008857594089347502,1.5810320342616006e-06,5.9455818026577365e-06,1.0935429770655023,3069.311226785345,2807.034824319532,0.09999999998192848,3.2754935208600955e-08,103579.06074631897,5.943408329577538e-06,1.0936103002364748,3068.781076815205,2805.997526844948,0.0999999999821305,4.166914813197309e-09,103579.05454053413,3.182602987402127e-06,0.6338759659205078,1123.4895653715155,1772.651002838892,0.1000000000000109,4.817768406439882e-11,103601.21210430586,3.050658886172286e-05
181,4.4127258750000005,32,7.0945775109059235e-06,1.5650821568935043,4395.390668594144,1139942608.3400505,0.976559203673331,0.0,1e-06,1e-06,True,4.229717842640923e-07,0.0009197520033781829,1.6058226619977187e-06,7.094735067014751e-06,1.5650823408731265,4393.1699183695455,2807.382982767463,0.09999999999879791,5.485562848406289e-08,100114.56548555271,7.0939657815566315e-06,1.5651879697364266,4393.633545086997,2806.940990234095,0.09999999999879969,7.00695235167359e-09,100114.54934587743,5.137676622717614e-06,2.031932416464088,3577.3823704241736,1761.3487665546131,0.09999999999966899,5.2787962889766504e-09,100101.73079302009,2.2207962149245475e-05
182,4.4425235,32,7.169424106904123e-06,1.5702468042248519,4348.905515544503,1114615618.7730994,0.9753868655356128,2.2737367544323206e-13,1e-06,1e-06,True,4.2279462819649893e-07,0.0009195593702208408,1.6001354805149927e-06,7.166816042785595e-06,1.571407880749679,4347.82568424523,2767.23046066847,0.09999999999882976,5.414650416923905e-08,96779.40083749805,7.163677619165018e-06,1.5714978092070244,4346.726468410377,2765.8278784135123,0.09999999999880556,6.908392968796306e-09,96779.41741354646,3.7896432248279114e-06,1.0559657595949419,1838.5048186642964,1741.46318439989,0.09999999997586403,3.9526715234217136e-10,96825.45710090108,-0.00036377595740455515
183,4.472492875,32,7.18641886817881e-06,1.5456356854268023,4232.065005766447,1090877475.483887,0.9745837682631772,-4.677158358390443e-07,1e-06,1e-06,True,4.256281780357085e-07,0.0009226356470784199,1.5988109000799243e-06,7.180901574751033e-06,1.5479022646422738,4231.858980398957,2734.321817308433,0.09999999999868311,5.384224133209159e-08,95156.18376804175,7.177585260415291e-06,1.5479736534325397,4230.671504727653,2732.889820387141,0.09999999999871323,6.86519996406787e-09,95156.20041396527,3.7189623579724802e-06,0.972435060356249,1674.9061214995393,1722.7502619499592,0.09999999995403804,2.9407232204903266e-10,95198.40093761579,-0.00076773891544335
184,4.5026340000000005,32,6.7045278396222065e-06,1.3095887059819535,3537.7115708263423,1066696521.5756098,0.9735857878150165,0.0,1e-06,1e-06,True,4.2917519471608045e-07,0.0009264721115646915,1.596589503107619e-06,6.704101402646149e-06,1.310454546350945,3538.374888642144,2700.443526401422,0.0999999999955958,5.7880769510632035e-08,91987.00870517959,6.700442173321162e-06,1.3104409099148802,3536.949065321962,2698.928572283064,0.0999999999956451,7.367871646124513e-09,91987.04119580203,3.193764862652449e-06,0.5231539398146211,891.1356969734047,1703.588086605557,0.10000000000003137,2.523981024182831e-11,92044.00242032296,-6.360432624918921e-05
185,4.532946875,33,6.158231036899832e-06,1.0184033099414191,2747.617331249067,1047707776.2623049,0.9770817045343658,-1.4471606846200302e-07,1e-06,1e-06,True,4.574684682179253e-07,0.0009565234685170631,1.6230906788641284e-06,6.157800680011743e-06,1.020368023970382,2748.2871505421504,2693.684256024026,0.09999999996898794,4.510886775221934e-08,88921.25371850822,6.155368207339922e-06,1.0204968544741388,2747.8438708686986,2692.5559185122147,0.09999999996923885,5.738348907158297e-09,88921.26685065964,3.1337807852462554e-06,0.4418948078336639,747.6584919592912,1692.1047076257798,0.1000000000000483,1.3357537298475108e-11,88965.85734768114,-6.988319949519095e-05
186,4.5634315,32,5.538223433940131e-06,0.702674148972894,1857.1692568717099,1019533790.5251449,0.9715723273918895,0.0,1e-06,1e-06,True,4.441276528766025e-07,0.0009424730782101199,1.5977152312619228e-06,5.5385025502735244e-06,0.7026795544471982,1857.426264489583,2643.5246299001783,0.09999999999998124,2.4968169309858013e-08,87432.63124852485,5.537678413326341e-06,0.7027761553902692,1857.748034650645,2643.3706989544653,0.09999999999998266,3.180737451202731e-09,87432.62723282611,3.910840467312436e-06,1.0178171914958232,1695.4619659978612,1666.1653933953648,0.09999999996793754,3.83980625073832e-10,87444.89373941654,5.0398171313137397e-05
187,4.594087875,33,4.759132626156695e-06,0.24728474716322615,652.7212896000539,1001186461.1084003,0.9752013686874749,0.0,1e-06,1e-06,True,4.765389893801597e-07,0.0009762572437180429,1.6252266619985923e-06,4.759635740821516e-06,0.24728522395058977,653.1397167373758,2641.302494793485,0.1000000000000062,1.6914288192282356e-08,84518.40335721623,4.7589296729386755e-06,0.24707104484859405,652.7214759919744,2641.811301737777,0.09999999999999057,2.151038680509032e-09,84518.39774041728,3.977752498612467e-06,1.0334806891160409,1710.0085469254873,1655.001099108884,0.09999999997155481,4.244582463286406e-10,84514.53463844245,0.00010571562180383687
188,4.624916000000001,33,4.133286009743146e-06,-0.16217384435242815,-424.7741965675476,978853110.6951028,0.9741155534928773,0.0,1e-06,1e-06,True,4.857594617657668e-07,0.0009856567148682897,1.6284453419368777e-06,4.134114063539664e-06,-0.16216369108515735,-423.7089203217002,2612.806304739772,0.1000000000000089,1.2732787935121337e-08,81692.49016342666,4.133604957426199e-06,-0.16269130203203058,-425.2878942248911,2614.0962964415835,0.1000000000000062,1.619920420026233e-09,81692.46990593887,4.20348784986321e-06,1.1592297448777884,1896.3848703174021,1636.337922562919,0.09999999998851179,6.8923289298084e-10,81663.0229396665,0.00020033788965134747
189,4.655915875000001,34,3.6311665190690296e-06,-0.5591683799994078,-1457.6440001968624,960740975.6930349,0.9774646375531184,-8.71136762725655e-07,1e-06,1e-06,True,5.167542573847328e-07,0.001016616339574141,1.6596125363124784e-06,3.6315903447470524e-06,-0.5591660513931107,-1456.2778727463945,2604.2345867059075,0.09999999999647373,1.412934369504626e-08,78949.82058178414,3.6313555295893113e-06,-0.559734596258233,-1458.561186177564,2605.8682268246275,0.09999999999433669,2.3219322020651134e-09,78949.80023591511,3.869937551796534e-06,0.8920872073323329,1449.2356147893697,1624.8821294282009,0.10000000001086636,2.514680685905546e-10,78919.3738631627,0.00011671887692199512
190,4.687087500000001,33,3.289509020784863e-06,-0.8517774783013622,-2165.042321234401,935044030.890555,0.9721929663800488,0.0,1e-06,1e-06,True,4.911504232207875e-07,0.0009911110370710542,1.6388727435422256e-06,3.2879441776525283e-06,-0.8506933182665448,-2164.142380807457,2543.760451453326,0.10000000000017473,1.2526645276622617e-08,77610.71579261034,3.2880817149548156e-06,-0.8509048652554635,-2165.797903002886,2545.3762031533,0.10000000000014778,1.5952315024492236e-09,77610.70991569302,3.1288429102666697e-06,0.2825445484238063,452.0595365946603,1600.0648547966712,0.09999999999999269,2.5692781235875373e-12,77575.53474732318,-0.0004757072020313835
191,4.718430875,34,3.146690384086126e-06,-1.0279694671442812,-2612.90998670036,918334546.5435007,0.975665586832186,-1.829673692554934e-07,1e-06,1e-06,True,5.262481970191857e-07,0.0010259126038342395,1.6703086581006525e-06,3.1469567364538706e-06,-1.0279698309611978,-2612.607415673278,2541.2634450514115,0.10000000000000416,1.4270136849958703e-08,74998.70842280907,3.1470198902457366e-06,-1.0280587048406542,-2613.9593890388683,2542.726833572698,0.10000000000004465,1.8169434845560772e-09,74998.69490525704,2.7375746313164687e-06,-0.10550204864861684,-167.65044583771268,1589.0330476798508,0.10000000000017521,5.828670879282072e-14,74987.59029118632,8.464524158191544e-05
