mass_MeV,scope_key,dataset_set,n_active,dimuon_factor,signal_yield_per_eps2_fitted_window,inherited_2016_exception,profiled_r,profiled_eps2_ee_raw,profiled_eps2_display,fixed_r,fixed_eps2_ee_raw,fixed_eps2_display,v12_eps2_ee_raw,v12_eps2_display,v12_p0,v12_limit_relative_difference,v12_bounded_root_difference,profiled_Ahat_window,profiled_A90_window,fixed_Ahat_window,fixed_A90_window
80,all_2015_2016_2021,2015+2016+2021,3,1.0,6852297506.927696,True,1.6570491396701765,3.903211314244316e-06,3.903211314244316e-06,0.8521974339043763,1.6403667724409062e-06,1.6403667724409062e-06,3.9026189083612495e-06,3.9026189083612495e-06,0.0487498921847231,0.00015179701041190263,-4.8262082897654324e-05,14937.525686038573,26745.9651576083,4246.749461565362,11240.281145243853
81,all_2015_2016_2021,2015+2016+2021,3,1.0,6810466223.864306,True,1.3827593588556413,3.5064949749248172e-06,3.5064949749248172e-06,1.8299575584079852,2.270638181715857e-06,2.270638181715857e-06,3.507550391398093e-06,3.507550391398093e-06,0.0839878204256946,-0.00030089844920377917,0.004021657452976335,12169.636725157814,23880.865590875386,9037.48027479128,15464.104643192508
82,all_2015_2016_2021,2015+2016+2021,3,1.0,6830144730.419666,True,0.2618156358537285,2.37093337176658e-06,2.37093337176658e-06,-0.24661842987243573,1.085729717062778e-06,1.085729717062778e-06,2.3693916456611577e-06,2.3693916456611577e-06,0.3957622986964634,0.0006506843679665586,-0.002515724375801276,2337.3495656446844,16193.818075347639,-1218.1885824412577,7415.691105656369
83,all_2015_2016_2021,2015+2016+2021,3,1.0,6813343278.156178,True,-0.6760956729013468,1.67008552111688e-06,1.67008552111688e-06,-2.103687782707286,5.867285948791091e-07,5.867285948791091e-07,1.6675718483913278e-06,1.6675718483913278e-06,0.5,0.0015073849609401613,0.0,-5987.733091807729,11378.865959247652,-10345.068944263363,3997.5833280215975
84,all_2015_2016_2021,2015+2016+2021,3,1.0,6780691740.134615,True,-1.3270416647831007,1.3238534816520537e-06,1.3238534816520537e-06,-1.423915737785359,7.191208152512072e-07,7.191208152512072e-07,1.322158868955613e-06,1.322158868955613e-06,0.5,0.0012817012661869853,0.0,-11571.039840734467,8976.642368186533,-6957.298113987081,4876.136572132731
85,all_2015_2016_2021,2015+2016+2021,3,1.0,6744355113.849977,True,-1.0180680119036123,1.4267643730563231e-06,1.4267643730563231e-06,-0.7701999248415361,8.946305550683266e-07,8.946305550683266e-07,1.4258924495463958e-06,1.4258924495463958e-06,0.5,0.0006114931811334046,0.0,-8587.06470241471,9622.605595681369,-3738.930540437736,6033.706159081512
86,all_2015_2016_2021,2015+2016+2021,3,1.0,6744364431.4659,True,-1.0099740001042337,1.431441726366947e-06,1.431441726366947e-06,0.1781975774549703,1.2643720878920248e-06,1.2643720878920248e-06,1.429496923838071e-06,1.429496923838071e-06,0.5,0.0013604803875020277,0.0,-8523.268845351919,9654.164665025382,864.286587911109,8527.386137717249
87,all_2015_2016_2021,2015+2016+2021,3,1.0,6662097627.512751,True,-0.949658483524674,1.4438482103537246e-06,1.4438482103537246e-06,-0.8960904100829089,8.554832302670827e-07,8.554832302670827e-07,1.4429256312202808e-06,1.4429256312202808e-06,0.5,0.0006393809309934717,0.0,-7822.228927189891,9619.05773668608,-4293.204139161652,5699.312798739275
88,all_2015_2016_2021,2015+2016+2021,3,1.0,6608295528.264162,True,-0.4964457173011144,1.6851225626597098e-06,1.6851225626597098e-06,-0.11483181534969795,1.1334348517912388e-06,1.1334348517912388e-06,1.6837251761833967e-06,1.6837251761833967e-06,0.5,0.00082993738887982,0.0,-4034.601022543142,11135.787895401205,-545.6925292032297,7490.072462670797
89,all_2015_2016_2021,2015+2016+2021,3,1.0,6560284219.556126,True,0.17184996942531697,2.1571432943670153e-06,2.1571432943670153e-06,1.040449410388839,1.7353050190012293e-06,1.7353050190012293e-06,2.1550917797488058e-06,2.1550917797488058e-06,0.4319897972982636,0.000951938398859653,0.0005394311345276737,1386.5551671935334,14151.473113357244,4910.110047895469,11384.094132270307
90,all_2015_2016_2021,2015+2016+2021,3,1.0,6501627664.717837,True,1.2484501533736982,3.1961695353558437e-06,3.1961695353558437e-06,3.3638597129741865,3.344104370591297e-06,3.344104370591297e-06,3.194049877471847e-06,3.194049877471847e-06,0.1060444580309974,0.0006636270456974458,0.0006081306983991563,10005.298973031307,20780.30427219791,15741.607108558703,21742.121489540208
91,pair_2016_2021,2016+2021,2,1.0,6468830413.506393,True,1.984180313650248,4.0764493563385035e-06,4.0764493563385035e-06,3.8078734880038727,3.6710169852086845e-06,3.6710169852086845e-06,4.076352754924584e-06,4.076352754924584e-06,0.0236184348601711,2.369800155377355e-05,1.0116391746084474e-05,15954.806065128314,26369.859575401075,17765.445173634536,23747.186322416488
92,pair_2016_2021,2016+2021,2,1.0,6363723373.802068,True,2.4158559091818677,4.55178474001437e-06,4.55178474001437e-06,3.529528079350307,3.476332515078748e-06,3.476332515078748e-06,4.555452062171563e-06,4.555452062171563e-06,0.0078888423595228,-0.0008050402258967804,0.0018379514301236632,18902.65094954786,28966.298942545018,16227.406000456007,22122.41848131476
93,pair_2016_2021,2016+2021,2,1.0,6341298216.142068,True,2.373015821150732,4.551231156485095e-06,4.551231156485095e-06,2.258291718054037,2.56621444570356e-06,2.56621444570356e-06,4.554111523380558e-06,4.554111523380558e-06,0.0088544250944544,-0.0006324761439582272,0.0013656808217334948,18713.50664251282,28860.714013869132,10360.476406001762,16273.13108677799
94,pair_2016_2021,2016+2021,2,1.0,6269110883.556934,True,1.8639506557824324,3.919711877301847e-06,3.919711877301847e-06,2.045554218163876,2.4206747833983063e-06,2.4206747833983063e-06,3.922051751377303e-06,3.922051751377303e-06,0.0311367747806303,-0.0005965943908401439,-0.00039236099960238136,14478.158352886383,24573.10839040039,9296.311862306238,15175.478630154148
95,pair_2016_2021,2016+2021,2,1.0,6192890155.359538,True,1.0134285496017446,2.942712320162253e-06,2.942712320162253e-06,2.41187333886393,2.6875204295364183e-06,2.6875204295364183e-06,2.949717986246188e-06,2.949717986246188e-06,0.1578860700122812,-0.002375029110105009,0.010244650503705044,7730.0294719208905,18223.89415758804,10853.97144194081,16643.518810403722
