test_mass_MeV,lane,bin_mass_MeV,gp_mean,generating_counts,injected_counts
72,inject_78,70.6875,1122802.722726339,1120949.8936353752,11.842316505037424
72,inject_78,71.3125,1131093.8590390063,1129124.1380592184,27.66806944256247
72,inject_78,71.9375,1138222.3021562935,1136180.2078230418,59.92543791712891
72,inject_78,72.5625,1144254.6120420394,1142198.0665166695,120.31919650996863
72,inject_78,73.1875,1149258.31443008,1147261.0528459868,223.94999202053145
72,inject_78,73.8125,1153300.5940065193,1151451.7376218026,386.42086327606455
72,inject_78,74.4375,1156447.182157687,1154845.17378691,618.1079390889714
72,inject_78,75.0625,1158761.445656424,1157500.4955142925,916.564551844622
72,inject_78,75.6875,1160303.673068913,1159453.770884064,1259.9618490166176
72,inject_78,76.31249999999999,1161130.5501568515,1160716.15726261,1605.6387552027518
72,double_65_78,67.5625,1063629.5059835613,1061906.268807451,970.7633107797984
72,double_65_78,68.1875,1078574.5244240898,1076332.7212752094,653.2880987265787
72,double_65_78,68.8125,1092070.87631465,1089408.015799423,403.7295458208553
72,double_65_78,69.4375,1104157.5939727433,1101183.2549184202,230.032325469604
72,double_65_78,70.0625,1114883.6877508955,1111701.5259513939,123.31710908497686
72,double_65_78,70.6875,1124306.2170284267,1121006.4354226217,68.38410375148129
72,double_65_78,71.3125,1132488.3497548879,1129148.8646867943,52.39469701835285
72,double_65_78,71.9375,1139497.4826656305,1136190.1283807738,69.84599564934311
72,double_65_78,72.5625,1145403.4813626572,1142201.71809917,123.97077901034557
72,double_65_78,73.1875,1150277.084834773,1147262.2859445512,225.18309058498636
72,double_65_78,73.8125,1154188.504798771,1151452.11963976,386.8028812336652
72,double_65_78,74.4375,1157206.238003881,1154845.2823635987,618.2165157776393
72,double_65_78,75.0625,1159396.0978729476,1157500.5238251882,916.592862740446
72,double_65_78,75.6875,1160820.462010783,1159453.7776563,1259.9686212525676
72,double_65_78,76.31249999999999,1161537.7252561343,1160716.1587487822,1605.64024137491
