mass_MeV,observed_counts,smooth_truth_counts,truth_gp_variance,injected_signal_counts,background_m66,background_m71,background_m72
155.6875,256271.0,256029.89462784515,8303.56592206264,0.0,256013.79442034758,256037.00948403103,256035.16445791547
156.3125,251303.0,251816.36843857798,8132.690932556411,0.0,251801.53314745842,251823.3068200523,251821.13771567942
156.9375,248015.0,247669.80505827494,7964.335783821784,0.0,247656.33687219137,247676.50082656174,247674.04139739176
157.5625,243739.0,243589.28944273165,7798.559012045903,0.0,243577.27138075762,243595.68175213068,243592.9672354855
158.1875,239593.0,239573.90894607085,7635.452099136213,0.0,239563.40499410513,239579.94240588526,239577.00893499932
158.8125,236068.0,235622.75369397295,7475.122162674286,0.0,235613.8091635543,235628.37885529114,235625.26313373362
159.4374999999999,232322.0,231734.91755177663,7317.69160629721,0.0,231727.5597347009,231740.09099093586,231736.82980112097
160.0625,227160.0,227909.49878150693,7163.290844811555,0.0,227903.73732060322,227914.1832953194,227910.81315720137
160.6875,224769.0,224145.6001774729,7012.04173247046,0.0,224141.42851774415,224149.76504571777,224146.3219475238
161.3125,220323.0,220442.3301297571,6864.0627114898,0.0,220439.72594759808,220445.95093006382,220442.4699201086
161.9375,217070.0,216798.80276008206,6719.453884290512,0.0,216797.7292530235,216801.86145321536,216798.37645455106
162.5625,214080.0,213214.13857831352,6578.306314553088,0.0,213214.5456173574,213216.62327249945,213213.1666471628
163.1875,209644.0,209687.46471992298,6440.676856881671,0.0,209689.29008779154,209689.36955413313,209685.9720284548
163.8125,206373.0,206217.91525967643,6306.600634438366,0.0,206221.08578890885,206219.24025040554,206215.9305492453
164.4375,202672.0,202804.63165634903,6176.094466856319,0.0,202809.06469819302,202805.38237573957,202802.18720883186
165.0625,198777.0,199446.7630967715,6049.132850725102,0.0,199452.36766336602,199446.95021057915,199443.89420613443
165.6875,195900.0,196143.46635466797,5925.674174845907,0.0,196150.14467543102,196143.1056056028,196140.21084271497
166.3125,193656.0,192893.9065769316,5805.644702686008,0.0,192901.55514838794,192893.01811521666,192890.30435073885
166.9375,189203.0,189697.25694733154,5688.943999925878,0.0,189705.7680265461,189695.86511633112,189693.3496069646
167.5625,186263.0,186552.69934040954,5575.453159735288,0.0,186561.96201978545,186550.83205463877,186548.5296651573
168.1875,183364.0,183459.42403169937,5465.029494420589,0.0,183469.32561467146,183457.11257307488,183455.03544381817
168.8125,180422.0,180416.63018723315,5357.52057599927,0.0,180427.05716927262,180413.90865029502,180412.06659108403
169.4375,177557.0,177423.52573165807,5252.759922384618,0.0,177434.36499889445,177420.4305559871,177418.8308669039
170.0624999999999,174824.0,174479.32754266926,5150.571848711529,0.0,174490.46739199228,174475.89718672342,174474.54474330394
170.6875,170920.0,171583.2616347297,5050.778385284841,0.0,171594.59266820014,171579.53594418714,171578.43326207835
171.3124999999999,168814.0,168734.56290959523,4953.201748774354,0.0,168745.97905713643,168730.58293367643,168729.73039134787
171.9375,166023.0,165932.47571066895,4857.671259292856,0.0,165943.87469801502,165928.28308389708,165927.67886754283
172.5625,163404.0,163176.25334118333,4764.0215246769885,0.0,163187.5378033244,163171.88999160178,163171.53027355886
173.1875,160655.0,160465.15853128984,4672.101089337162,0.0,160476.23635521616,160460.666241332,160460.54527961856
173.8125,157456.0,157798.4631432642,4581.770324234847,0.0,157809.24808100608,157793.88321794392,157793.99364601535
174.4375,155057.0,155175.44846049117,4492.908191276417,0.0,155185.8606314424,155170.82139906232,155171.15417174384
175.0625,151933.0,152595.4049943221,4405.41126107595,0.0,152605.37125833263,152590.77016202794,152591.31483485838
175.6875,149582.0,150057.63255728435,4319.193974954345,0.0,150067.08676009803,150053.02796333298,150053.7727134364
176.3124999999999,146925.0,147561.4403833913,4234.1924063248225,0.0,147570.323639728,147556.90230688482,147557.83422687332
176.9375,145484.0,145106.14694290617,4150.361599370816,0.0,145114.4076520221,145101.709773404,145102.8150268887
177.5625,142126.0,142691.08005083632,4067.6747659064213,0.0,142698.67414294794,142686.7760538278,142688.0399633462
178.1875,140480.0,140315.57682311328,3986.124152968551,0.0,140322.4676126115,140311.43600204986,140312.84321450206
178.81249999999991,138628.0,137978.9836497179,3905.718942250542,0.0,137985.1418227481,137975.03355550143,137976.56824494243
179.4375,136160.0,135680.6562181124,3826.48189879589,0.0,135686.05974360197,135676.92184631803,135678.5678431718
180.0625,133012.0,133419.95943325735,3748.4482329687817,0.0,133424.5933539671,133416.46318573167,133418.20407009684
180.6875,131276.0,131196.26737929077,3671.663168453035,0.0,131200.12363586004,131193.028927833,131194.848215921
181.3125,129671.0,129008.96346817682,3596.179478181018,0.0,129012.04051278225,129005.99972187346,129007.88100837148
181.9375,126958.0,126857.44015511901,3522.0546624527465,0.0,126859.74274879298,126854.7652479784,126856.69231163661
182.5625,124793.0,124741.09906500898,3449.347362507306,0.0,124742.63792535997,124738.7244130579,124740.6813140142
183.1875,123334.0,122659.35092973232,3378.1157232696582,0.0,122660.14227994172,122657.285211676,122659.2564309279
183.8125,120479.0,120611.61550108505,3308.4150768838167,0.0,120611.68080479428,120609.86475626656,120611.83527082932
184.4375,119145.0,118597.32161801179,3240.293566976724,0.0,118596.68697879885,118595.88919481088,118597.84462906144
185.0625,116300.0,116615.9070605566,3173.7960168691425,0.0,116614.60293452094,116614.7938135824,116616.72042458458
185.6874999999999,114491.0,114666.81846473081,3108.952858094193,0.0,114664.87920629514,114666.0228927131,114667.90768585299
186.3125,112586.0,112749.5114491172,3045.7879435299787,0.0,112746.97477306185,112749.02970659861,112750.86052410098
186.9375,111212.0,110863.45043456832,2984.310850533232,0.0,110860.35699461172,110863.27646536143,110865.04201112392
187.5625,108696.0,109008.10856609498,2924.520736125893,0.0,109004.50156714563,109008.2343241667,109009.92421654088
188.1875,107366.0,107182.96776905059,2866.402966403569,0.0,107178.8924271635,107183.38328696726,107184.98809909097
188.8125,104820.0,105387.5186109526,2809.931413318333,0.0,105383.02177202194,105388.2121942036,105389.72342454088
189.4375,103959.0,103621.26022901392,2755.065955627384,0.0,103616.38992115564,103622.21860673206,103623.62880068779
190.0625,102501.0,101883.70033374112,2701.757441550756,0.0,101878.50533846472,101884.90879026338,101886.2114982755
190.6875,99870.0,100174.35507535333,2649.945747228608,0.0,100168.88454944479,100175.79768076549,100176.98740570503
191.3125,97870.0,98492.74903506265,2599.559586183066,0.0,98487.05206505537,98494.40875225201,98495.48103353567
191.9374999999999,96687.0,96838.41504491368,2550.5234514510503,0.0,96832.54042705327,96840.27396145597,96841.22532286
192.5625,95291.0,95210.89428796896,2502.7535012231947,0.0,95204.8900195736,95212.93369951005,95213.761620914
193.1875,93038.0,93609.73603613168,2456.162380354114,0.0,93603.64910136691,93611.93666508188,93612.63959486618
193.8125,92175.0,92034.49769377022,2410.6605065075246,0.0,92028.37373327756,92036.83984190013,92037.41711202088
194.4375,90465.0,90484.74465121415,2366.1571421013277,0.0,90478.6277257924,90487.20836838006,90487.66021137891
195.0625,88969.0,88960.05021950384,2322.5638134187584,0.0,88953.98251094145,88962.61542282239,88962.94290211432
195.6875,87228.0,87459.99555683992,2279.794304021486,0.0,87454.01718900073,87462.64217087248,87462.84716782821
196.3125,85406.0,85984.16951867765,2237.7669714138265,0.0,85978.31837049103,85986.87765528874,85986.96279490323
196.9375,84915.0,84532.16865923487,2196.4063251277685,0.0,84526.48015655954,84534.91872303966,84534.88729367011
197.5625,83133.0,83103.59701486494,2155.6442506668945,0.0,83098.10407006662,83106.36981361269,83106.22581213176
198.1875,81967.0,81698.06612838832,2115.420729735345,0.0,81692.79894504676,81700.8429932574,81700.59098840963
198.8124999999999,80748.0,80315.1948412355,2075.68495373516,0.0,80310.18085297149,80317.95774619625,80317.60284475112
199.4375,78687.0,78954.60923744147,2036.3955695279617,0.0,78949.87305573233,78957.34089079585,78956.88868171719
200.0625,78299.0,77615.94256286432,1997.5218680913852,0.0,77611.50592103564,77618.62645063458,77618.08297474275
200.6875,76184.0,76298.83506340363,1959.042448041393,0.0,76294.7167777043,76301.4555833657,76300.82722617057
201.3125,74552.0,75002.93388052033,1920.946730577724,0.0,74999.14991107241,75005.47640567283,75004.76986968992
201.9375,73643.0,73727.89302760697,1883.2330808263875,0.0,73724.45640426147,73730.34388738229,73729.56614400676
202.5625,72525.0,72473.37310014328,1845.908785682896,0.0,72470.29405079584,72475.71972676927,72474.87797094486
203.1875,70915.0,71239.0413272498,1808.9900673364484,0.0,71236.32731594406,71241.27227360338,71240.37378373473
