model,source,mass_GeV,mass_MeV,z,sigmaA_diagonal_poisson,injected_amplitude,refit_absorption_fraction,z_times_abs_absorption,gap_projection_amplitude,gap_abs_shift_sigmaA,tangent_absorption_fraction,tangent_solver_absorption_spread,refit_best_basin_repeats,gap_best_basin_repeats,refit_optimizer_success,gap_optimizer_success,refit_constraints_feasible,gap_constraints_feasible,refit_failure,gap_failure
knot_spline,one_pct,0.19499999999999992,194.99999999999991,1.0,464.0054356019057,464.0054356019057,0.17997430952747764,0.17997430952747764,-233.77152449610801,0.503812038737996,0.17996751372811154,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.19499999999999992,194.99999999999991,3.0,464.0054356019057,1392.016306805717,0.17999319346739226,0.5399795804021768,-233.77152449610801,0.503812038737996,0.17996751372811154,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.19499999999999992,194.99999999999991,5.0,464.0054356019057,2320.027178009528,0.18001022907639574,0.9000511453819787,-233.77152449610801,0.503812038737996,0.17996751372811154,0.0,3,4,True,True,True,True,,
knot_spline,one_pct,0.19999999999999993,199.99999999999991,1.0,440.3880899595955,440.3880899595955,0.16971074786999268,0.16971074786999268,-252.6815205662515,0.5737701048850671,0.16970218219786962,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.19999999999999993,199.99999999999991,3.0,440.3880899595955,1321.1642698787864,0.16972888889493143,0.5091866666847943,-252.6815205662515,0.5737701048850671,0.16970218219786962,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.19999999999999993,199.99999999999991,5.0,440.3880899595955,2201.9404497979776,0.16974607752955034,0.8487303876477517,-252.6815205662515,0.5737701048850671,0.16970218219786962,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.20499999999999993,204.99999999999994,1.0,417.81173109091975,417.81173109091975,0.15787888037543515,0.15787888037543515,-266.93508807883353,0.6388884471526386,0.15787011230935546,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.20499999999999993,204.99999999999994,3.0,417.81173109091975,1253.4351932727593,0.15789623245300094,0.4736886973590028,-266.93508807883353,0.6388884471526386,0.15787011230935546,0.0,3,4,True,True,True,True,,
knot_spline,one_pct,0.20499999999999993,204.99999999999994,5.0,417.81173109091975,2089.058655454599,0.157912952429867,0.789564762149335,-266.93508807883353,0.6388884471526386,0.15787011230935546,0.0,4,4,True,True,True,True,,
knot_spline,one_pct,0.2099999999999999,209.99999999999991,1.0,396.2176037677204,396.2176037677204,0.1450823723554205,0.1450823723554205,-175.2868305221283,0.4424004104191415,0.14507497145715423,0.0,3,3,True,True,True,True,,
knot_spline,one_pct,0.2099999999999999,209.99999999999991,3.0,396.2176037677204,1188.6528113031611,0.14509897600315405,0.4352969280094622,-175.2868305221283,0.4424004104191415,0.14507497145715423,0.0,3,3,True,True,True,True,,
knot_spline,one_pct,0.2099999999999999,209.99999999999991,5.0,396.2176037677204,1981.088018838602,0.14511528610072047,0.7255764305036023,-175.2868305221283,0.4424004104191415,0.14507497145715423,0.0,4,3,True,True,True,True,,
